District,Block,Total_Schools,Growth_Schools,Decline_Schools,Recovery_Schools,Volatile_Schools,Low_Continuity_Schools,Wide_Enroll_Spread_Schools,Girls_Declining_Schools,Avg_Growth_pct,Avg_Continuity_8_9,Avg_Girls_Ratio,Block_Zone,Priority_Action_Flag
AURAIYA,BIDHUNA,2,1,0,1,2,0,0,0,82.21,570.34,0.81,YELLOW,False
AURAIYA,SAHAR,3,2,0,0,3,0,0,1,43.78,570.34,0.716,GREEN,False
AZAMGARH,ATRAULIYA,1,0,0,0,1,0,0,1,-35.04,570.34,1.0,RED,True
AZAMGARH,AZAMGRAH,1,0,0,1,1,0,0,1,-23.44,570.34,1.0,RED,True
AZAMGARH,AZMATGARH,1,0,0,0,0,0,0,0,7.5,570.34,1.0,YELLOW,False
AZAMGARH,BILARIYAGANJ,1,0,0,1,0,0,0,1,-6.32,570.34,1.0,ORANGE,True
AZAMGARH,FOOLPOOR,1,0,0,0,0,0,0,1,-8.57,570.34,0.422,ORANGE,True
AZAMGARH,HARRAIYA,3,0,2,1,3,0,0,3,-57.28,570.34,0.459,RED,True
AZAMGARH,JAHANAGANJ,2,0,1,1,1,0,0,1,3.76,570.34,0.506,ORANGE,True
AZAMGARH,LALGANJ,3,0,0,3,0,0,0,0,10.8,570.34,0.72,YELLOW,False
AZAMGARH,MAHARAJ GANJ,1,0,0,0,1,0,1,0,35.14,570.34,0.42,YELLOW,False
AZAMGARH,MIRZAPUR,1,0,0,0,0,0,0,0,2.52,570.34,1.0,YELLOW,False
AZAMGARH,MOHAMMADPUR,3,2,0,1,3,0,1,0,148.5,570.34,0.654,GREEN,False
AZAMGARH,PALHNA,1,0,0,0,1,0,0,0,66.04,570.34,0.489,YELLOW,False
AZAMGARH,PAWAE,2,0,0,2,2,0,0,1,-29.78,570.34,0.74,RED,True
AZAMGARH,SATHIYAN,1,1,0,0,1,0,0,0,,570.34,0.517,GREEN,False
AZAMGARH,TAHBERPUR,1,0,0,1,0,0,0,1,-21.88,570.34,0.6,RED,True
AZAMGARH,TARWA,1,0,0,0,0,0,0,0,28.0,570.34,1.0,YELLOW,False
AZAMGARH,THEKMA,1,0,1,0,1,0,0,1,-47.69,570.34,0.5,RED,True
BAGHPAT,BAGPAT,4,0,0,1,1,0,0,2,-2.7,570.34,0.623,YELLOW,False
BAGHPAT,BAROUT,2,0,0,0,0,0,0,0,5.21,570.34,0.75,YELLOW,False
BAGHPAT,BAROUT URBAN,1,0,0,0,0,0,0,1,-8.33,570.34,1.0,ORANGE,True
BAGHPAT,BINOLY,3,1,0,0,1,0,0,1,53.68,570.34,0.625,YELLOW,False
BAGHPAT,CHHAPROLI,5,1,0,3,3,0,0,0,37.38,570.34,0.699,YELLOW,False
BAGHPAT,KHEKRA,3,0,0,2,0,0,0,1,4.26,570.34,0.456,YELLOW,False
BAGHPAT,PILANA,3,0,0,2,2,0,0,1,4.8,570.34,0.435,YELLOW,False
BAHRAICH,BALHA,4,1,0,2,3,0,0,1,13.39,570.34,0.65,YELLOW,False
BAHRAICH,CHITTAURA,2,1,0,0,1,0,0,0,-13.15,570.34,0.528,RED,True
BAHRAICH,FAKHAR PUR,2,1,0,1,2,0,1,1,-22.64,570.34,0.735,RED,True
BAHRAICH,HUJUR PUR,6,2,0,0,5,0,0,2,28.27,570.34,0.61,YELLOW,False
BAHRAICH,JARWAL,6,2,0,2,3,0,1,1,7.81,570.34,0.586,YELLOW,False
BAHRAICH,KAISER GANJ,7,3,0,4,3,0,0,2,12.95,570.34,0.594,YELLOW,False
BAHRAICH,MAHSI,3,0,0,1,2,0,0,1,-7.92,570.34,0.491,ORANGE,True
BAHRAICH,MIHIN PURVA,7,1,0,3,6,0,0,1,25.19,570.34,0.531,YELLOW,False
BAHRAICH,NAGAR AREA,2,0,0,1,0,0,0,1,3.15,570.34,0.594,YELLOW,False
BAHRAICH,NAWAB GANJ,3,1,0,1,2,0,0,0,132.35,570.34,0.654,YELLOW,False
BAHRAICH,PAYAGPUR,3,1,0,0,2,0,0,0,28.44,570.34,0.706,YELLOW,False
BAHRAICH,RISIA,2,0,0,1,1,0,0,1,-1.67,570.34,0.485,YELLOW,False
BAHRAICH,SHIV PUR,2,1,0,1,1,0,0,1,32.29,570.34,0.438,YELLOW,False
BAHRAICH,TAJWA PUR,2,1,0,1,1,0,0,0,21.7,570.34,0.448,YELLOW,False
BAHRAICH,VISHESHWAR  GANJ,4,1,0,3,4,0,0,1,29.88,570.34,0.535,YELLOW,False
