District,Block,Total_Schools,Growth_Schools,Decline_Schools,Recovery_Schools,Volatile_Schools,Low_Continuity_Schools,Wide_Enroll_Spread_Schools,Girls_Declining_Schools,Avg_Growth_pct,Avg_Continuity_8_9,Avg_Girls_Ratio,Block_Zone,Priority_Action_Flag
DEORIA,RUDRAPUR,4,1,0,0,3,0,0,2,12.0,570.34,0.5,YELLOW,False
DEORIA,SALIMPUR,1,0,0,0,1,0,1,1,-21.43,570.34,1.0,RED,True
ETAH,ALIGANJ,3,1,0,1,2,0,0,1,61.96,570.34,0.706,YELLOW,False
ETAH,AWAGARH,3,1,0,1,2,0,0,1,25.62,570.34,0.513,YELLOW,False
ETAH,ETAH (URBAN),2,0,1,0,1,0,0,1,-24.17,570.34,0.532,RED,True
ETAH,JAITHARA,3,1,0,1,3,0,1,1,145.71,570.34,0.613,YELLOW,False
ETAH,JALESAR,1,0,0,0,0,0,0,1,-23.58,570.34,0.617,RED,True
ETAH,JALESAR (URBAN),1,0,0,0,0,0,0,1,-15.65,570.34,0.996,RED,True
ETAH,MARHARA,2,0,0,2,0,0,0,1,1.16,570.34,0.562,YELLOW,False
ETAH,NIDHAULI KALAN,5,1,0,3,3,0,0,1,43.08,570.34,0.684,YELLOW,False
ETAH,SAKEET,2,1,0,1,2,0,0,0,34.3,570.34,0.51,YELLOW,False
ETAH,SHEETAL PUR,3,0,0,2,2,0,1,0,23.65,570.34,0.76,YELLOW,False
ETAWAH,BARHPURA,1,0,1,0,0,0,0,1,-16.08,570.34,1.0,RED,True
ETAWAH,BHARTHANA,1,0,0,0,0,0,0,1,6.32,570.34,0.554,YELLOW,False
ETAWAH,CHAKARNAGAR,6,1,0,4,2,0,0,1,13.05,570.34,0.588,YELLOW,False
ETAWAH,ETAWAH NAGAR CHETRA,2,0,2,0,1,0,0,2,-22.72,570.34,0.503,RED,True
ETAWAH,JASWANT NAGAR,5,0,0,2,3,0,0,1,23.49,570.34,0.629,YELLOW,False
ETAWAH,MAHEWA,1,0,0,0,1,0,0,1,-6.7,570.34,0.545,ORANGE,True
ETAWAH,SAIFAI,4,1,0,1,2,0,0,2,18.82,570.34,0.536,YELLOW,False
ETAWAH,TAKHA,1,0,0,1,0,0,0,1,0.0,570.34,0.545,YELLOW,False
FAIZABAD,AMANIGANJ,3,1,0,1,3,0,0,1,52.64,570.34,0.885,YELLOW,False
FAIZABAD,AYODHYA TOWN AREA,3,0,3,0,1,0,0,3,-22.21,570.34,0.667,RED,True
FAIZABAD,BIKAPUR,2,0,0,0,0,0,0,0,21.02,570.34,0.798,YELLOW,False
FAIZABAD,MASAUDHA,1,0,1,0,0,0,0,1,-26.15,570.34,1.0,RED,True
FAIZABAD,MAWAI,2,0,0,1,1,0,0,0,231.74,570.34,0.573,YELLOW,False
FAIZABAD,MAYA,4,0,0,2,3,0,0,1,38.74,570.34,0.666,YELLOW,False
FAIZABAD,MILKIPUR,4,3,0,1,4,0,0,0,124.21,570.34,0.481,GREEN,False
FAIZABAD,PURA,2,1,0,0,2,0,0,1,33.33,570.34,0.456,YELLOW,False
FAIZABAD,RUDAULI,4,2,0,1,3,0,0,1,43.83,570.34,0.701,YELLOW,False
FAIZABAD,SOHAWAL,2,1,0,0,1,0,0,1,45.24,570.34,0.742,YELLOW,False
FAIZABAD,TARUN,1,0,1,0,1,0,0,1,-62.9,570.34,1.0,RED,True
FARRUKHABAD,KAMALGANJ,1,0,0,1,0,0,0,0,14.29,570.34,0.625,YELLOW,False
FARRUKHABAD,MOHAMDABAD,1,0,0,1,0,0,0,0,16.47,570.34,0.566,YELLOW,False
FARRUKHABAD,NAG. KSH.FAR.BAD,3,0,2,1,1,0,0,1,-21.99,570.34,0.333,RED,True
FARRUKHABAD,NAWABGANJ,1,0,0,0,0,0,0,0,-8.74,570.34,0.487,ORANGE,True
FARRUKHABAD,RAJE PUR,3,2,0,0,1,0,0,0,34.53,570.34,0.658,GREEN,False
FARRUKHABAD,SHAMSABAD,1,0,0,0,0,0,0,1,-18.57,570.34,0.527,RED,True
FATEHPUR,AIRAYAN,2,0,0,1,1,0,0,1,-20.3,570.34,0.453,RED,True
FATEHPUR,AMAULI,3,0,0,2,3,0,0,0,56.48,570.34,0.552,YELLOW,False
FATEHPUR,ASHOTHAR,4,0,0,2,3,0,0,1,8.99,570.34,0.657,YELLOW,False
FATEHPUR,BAHUA,4,1,0,2,2,0,0,2,18.51,570.34,0.567,YELLOW,False
FATEHPUR,BHITAURA,3,2,0,0,1,0,0,0,29.58,570.34,0.648,GREEN,False
FATEHPUR,DEOMAI,2,0,0,2,1,0,0,1,8.91,570.34,0.511,YELLOW,False
FATEHPUR,DHATA,3,1,0,2,2,0,0,1,68.08,570.34,0.52,YELLOW,False
FATEHPUR,HASAWA,4,0,0,3,1,0,0,2,17.54,570.34,0.567,YELLOW,False
FATEHPUR,HATHGAOM,3,1,0,2,1,0,0,1,27.21,570.34,0.515,YELLOW,False
FATEHPUR,KHAJUHA,3,0,0,3,2,0,0,1,10.44,570.34,0.484,YELLOW,False
FATEHPUR,MALAWAN,5,0,0,4,2,0,0,3,15.15,570.34,0.632,YELLOW,False
FATEHPUR,NAGAR BINDKI,1,0,0,1,0,0,0,0,5.47,570.34,1.0,YELLOW,False
FATEHPUR,NAGAR FATEHPUR,3,0,0,0,1,0,0,2,-17.35,570.34,0.467,RED,True
FATEHPUR,TELIYANI,4,2,0,2,3,0,0,1,59.9,570.34,0.621,YELLOW,False
FATEHPUR,VIJAIPUR,3,1,0,2,2,0,0,1,40.07,570.34,0.533,YELLOW,False
FIROZABAD,ARAWN,4,0,0,2,0,0,0,2,-3.78,570.34,0.524,YELLOW,False
FIROZABAD,EKA,3,0,0,3,2,0,0,1,26.4,570.34,0.562,YELLOW,False
FIROZABAD,FIROZABAD,3,2,0,1,1,0,0,0,24.42,570.34,0.492,GREEN,False
FIROZABAD,JASRANA,2,0,0,1,1,0,0,1,3.68,570.34,0.798,YELLOW,False
FIROZABAD,KHAIRGARH,1,0,0,0,1,0,0,0,27.03,570.34,0.574,YELLOW,False
FIROZABAD,MADANPUR,2,0,0,2,1,0,1,1,-5.26,570.34,0.816,ORANGE,True
FIROZABAD,NARKHI,1,0,0,1,1,0,0,0,26.44,570.34,0.555,YELLOW,False
FIROZABAD,SHIKOHABAD,1,0,1,0,1,0,0,1,-31.36,570.34,0.487,RED,True
FIROZABAD,TUNDLA,5,0,1,3,2,0,0,2,11.19,570.34,0.638,YELLOW,False
GAUTAM BUDDHA NAGAR,DADRI,1,1,0,0,0,0,0,0,29.07,570.34,0.468,GREEN,False
GAUTAM BUDDHA NAGAR,DANKAUR,2,0,0,2,0,0,0,0,8.36,570.34,0.468,YELLOW,False
GAUTAM BUDDHA NAGAR,VISRAKH,4,0,0,3,0,0,0,0,12.38,570.34,0.717,YELLOW,False
GHAZIABAD,BHOJPUR,6,2,0,0,2,0,0,2,53.63,570.34,0.537,YELLOW,False
GHAZIABAD,GHAZIABAD (MUN.AREA),2,0,0,0,0,0,0,1,-7.02,570.34,0.697,ORANGE,True
GHAZIABAD,LONI,2,1,0,1,2,0,0,0,,570.34,0.5,YELLOW,False
GHAZIABAD,MURAD NAGAR,1,0,0,0,0,0,0,0,-7.06,570.34,0.519,ORANGE,True
GHAZIABAD,RAZAPUR,2,0,0,0,0,0,0,1,4.56,570.34,0.442,YELLOW,False
GHAZIPUR,BHADAURA,2,2,0,0,2,0,0,0,340.28,570.34,1.0,GREEN,False
GHAZIPUR,BHAWARCOL,2,1,0,0,2,0,0,0,72.44,570.34,0.598,YELLOW,False
GHAZIPUR,BIRNO,2,0,0,2,2,0,0,1,-15.6,570.34,0.598,RED,True
GHAZIPUR,DEOKALI,3,0,0,2,1,0,0,0,29.4,570.34,0.904,YELLOW,False
GHAZIPUR,GHAZIPUR SADAR,1,1,0,0,1,0,0,0,35.09,570.34,0.597,GREEN,False
GHAZIPUR,KARANDA,2,0,0,1,1,0,0,1,19.9,570.34,0.49,YELLOW,False
GHAZIPUR,KASIMABAD,1,0,0,1,1,0,0,0,190.48,570.34,1.0,YELLOW,False
GHAZIPUR,MANIHARI,3,0,1,0,1,0,0,3,-28.94,570.34,0.666,RED,True
GHAZIPUR,MOHAMMADABAD,1,0,0,1,0,0,0,0,20.23,570.34,1.0,YELLOW,False
GHAZIPUR,NAGAR CHHETRA,2,1,0,0,1,0,0,0,-7.25,570.34,0.5,ORANGE,True
GHAZIPUR,REOTIPUR,1,1,0,0,1,0,0,0,165.12,570.34,0.667,GREEN,False
GHAZIPUR,SADAT,2,0,0,2,0,0,0,1,-0.59,570.34,0.746,YELLOW,False
GHAZIPUR,SAIDPUR,4,0,0,3,2,0,1,1,69.45,570.34,0.8,YELLOW,False
GHAZIPUR,ZAKHANIA,2,1,0,0,1,0,0,1,78.46,570.34,0.462,YELLOW,False
GHAZIPUR,ZAMANIA,1,1,0,0,0,0,0,0,35.11,570.34,1.0,GREEN,False
GONDA,BELSAR,3,1,0,0,2,0,0,0,49.47,570.34,0.547,YELLOW,False
GONDA,CHHAPIA,2,1,0,1,1,0,1,0,9.27,570.34,0.752,YELLOW,False
GONDA,COLONELGANJ,1,0,0,0,0,0,0,1,-1.82,570.34,0.537,YELLOW,False
GONDA,GONDA(MUN. CORP.),2,0,0,0,0,0,0,1,-6.93,570.34,0.5,ORANGE,True
GONDA,HALDHARMAU,1,0,0,0,0,0,0,1,-16.24,570.34,0.588,RED,True
GONDA,ITIYATHOK,1,0,0,1,1,0,0,0,81.08,570.34,0.478,YELLOW,False
GONDA,JHANJHRI,3,0,1,1,2,0,1,1,7.09,570.34,0.645,ORANGE,True
GONDA,KATRA BAZAR,1,0,0,1,1,0,0,0,18.07,570.34,0.653,YELLOW,False
GONDA,MANKAPUR,2,0,0,1,0,0,0,0,4.75,570.34,0.592,YELLOW,False
GONDA,MUJEHNA,2,0,0,1,1,0,0,0,10.76,570.34,0.67,YELLOW,False
GONDA,NAWAB GANJ,1,0,0,1,1,0,0,0,23.19,570.34,0.788,YELLOW,False
GONDA,PANDRI KRIPAL,3,0,0,2,0,0,0,0,15.17,570.34,0.647,YELLOW,False
GONDA,PARASPUR,1,1,0,0,0,0,0,0,25.4,570.34,0.551,GREEN,False
GONDA,RUPAIDEEH,1,0,0,0,0,0,0,0,0.0,570.34,0.609,YELLOW,False
GONDA,TARABGANJ,2,1,0,0,1,0,1,0,-5.56,570.34,0.649,ORANGE,True
GORAKHPUR,BAANSGAON,1,0,0,0,0,0,0,1,-20.13,570.34,1.0,RED,True
GORAKHPUR,BADHALGANJ,1,0,0,1,0,0,0,0,2.97,570.34,0.5,YELLOW,False
GORAKHPUR,BELGHAT,2,0,0,1,2,0,0,1,7.73,570.34,0.48,YELLOW,False
GORAKHPUR,BHATHAT,1,0,0,1,0,0,0,0,-3.72,570.34,0.633,YELLOW,False
GORAKHPUR,CAMPIARGANJ,4,2,0,1,4,0,0,0,159.47,570.34,0.66,YELLOW,False
GORAKHPUR,CHARGANWA,2,0,0,2,1,0,0,1,-19.45,570.34,0.602,RED,True
GORAKHPUR,GOLA,1,0,0,1,1,0,0,0,35.24,570.34,0.535,YELLOW,False
GORAKHPUR,KAUDIRAM,2,1,0,1,1,0,0,1,140.14,570.34,0.594,YELLOW,False
GORAKHPUR,KHAJNI,2,0,1,1,1,0,0,1,12.34,570.34,0.719,ORANGE,True
GORAKHPUR,KHORABAR,1,0,0,1,0,0,0,1,-4.88,570.34,0.497,YELLOW,False
GORAKHPUR,NAGAR KSHETRA,2,0,2,0,1,0,0,1,-28.12,570.34,0.5,RED,True
GORAKHPUR,PIPRAICH,1,0,0,0,0,0,0,1,-8.7,570.34,0.464,ORANGE,True
GORAKHPUR,PIPRAULI,1,0,1,0,1,0,0,1,-40.38,570.34,0.645,RED,True
GORAKHPUR,SAHJANWA,2,0,1,0,1,0,0,2,-6.91,570.34,0.458,ORANGE,True
GORAKHPUR,SARDARNAGAR,1,0,0,0,0,0,0,1,-10.48,570.34,1.0,RED,True
HAMIRPUR (U.P.),GOHAND,2,2,0,0,2,0,0,0,110.48,570.34,0.734,GREEN,False
HAMIRPUR (U.P.),KURARA,4,1,0,1,1,0,0,1,25.87,570.34,0.472,YELLOW,False
HAMIRPUR (U.P.),MAUDHA,4,3,0,1,3,0,0,1,29.59,570.34,0.614,GREEN,False
HAMIRPUR (U.P.),MUSKARA,4,1,0,2,1,0,0,1,21.01,570.34,0.46,YELLOW,False
HAMIRPUR (U.P.),NP HAMIRPUR,2,0,1,0,0,0,0,1,-10.66,570.34,0.504,RED,True
HAMIRPUR (U.P.),NP MAUDAHA,1,1,0,0,0,0,0,0,23.15,570.34,1.0,GREEN,False
HAMIRPUR (U.P.),NP RATH,1,0,1,0,0,0,0,1,-28.71,570.34,1.0,RED,True
HAMIRPUR (U.P.),RATH,3,1,0,0,1,0,0,0,20.66,570.34,0.55,YELLOW,False
HAMIRPUR (U.P.),SARILA,5,2,0,1,3,0,0,2,100.81,570.34,0.468,YELLOW,False
HAMIRPUR (U.P.),SUMERPUR,5,1,1,1,2,0,0,3,3.57,570.34,0.608,YELLOW,False
HAPUR (PANCHSHEEL NAGAR),DHAULANA,2,0,0,0,1,0,0,0,108.04,570.34,0.492,YELLOW,False
HAPUR (PANCHSHEEL NAGAR),GARH MUKTESWAR,3,0,1,1,2,0,1,2,-11.6,570.34,0.508,RED,True
HAPUR (PANCHSHEEL NAGAR),HAPUR,4,1,0,1,2,0,0,2,41.97,570.34,0.601,YELLOW,False
HAPUR (PANCHSHEEL NAGAR),SIMBHAWALI,5,2,1,2,3,0,1,3,83.23,570.34,0.489,YELLOW,False
HARDOI,AHIRORI,4,2,0,2,3,0,0,1,82.47,570.34,0.486,YELLOW,False
HARDOI,BAWAN,3,1,0,2,1,0,0,1,32.8,570.34,0.44,YELLOW,False
HARDOI,BEHANDAR,1,0,0,0,0,0,0,1,17.74,570.34,0.466,YELLOW,False
HARDOI,BHARAWAN,4,2,0,0,3,0,0,0,99.54,570.34,0.504,YELLOW,False
HARDOI,BHARKHANI,3,0,1,2,3,0,0,1,-6.88,570.34,0.704,ORANGE,True
HARDOI,BILGRAM,3,1,1,1,3,0,1,1,50.29,570.34,0.757,ORANGE,True
HARDOI,HARIYAWAN,4,0,0,3,1,0,0,2,9.54,570.34,0.391,YELLOW,False
HARDOI,HARPALPUR,1,0,0,0,0,0,0,0,6.11,570.34,0.439,YELLOW,False
HARDOI,KACHAUNA,2,0,0,1,1,0,0,0,35.25,570.34,0.393,YELLOW,False
HARDOI,KOTHAWAN,2,1,0,1,2,0,1,1,59.5,570.34,0.5,YELLOW,False
HARDOI,MADHOGANJ,2,0,0,0,2,0,0,0,90.39,570.34,0.532,YELLOW,False
HARDOI,MALLAWA,3,0,1,0,2,0,0,1,42.07,570.34,0.432,ORANGE,True
HARDOI,PIHANI,1,1,0,0,1,0,0,0,45.65,570.34,0.44,GREEN,False
HARDOI,SANDI,3,0,0,3,1,0,0,1,-4.46,570.34,0.537,YELLOW,False
HARDOI,SANDILA,1,1,0,0,1,0,0,0,66.34,570.34,0.601,GREEN,False
HARDOI,SHAHABAD,3,0,1,1,2,0,0,1,-3.94,570.34,0.537,ORANGE,True
HARDOI,SURSA,1,0,0,0,0,0,0,1,2.0,570.34,0.431,YELLOW,False
HARDOI,TANDIYAWA,5,1,0,3,2,0,0,2,16.23,570.34,0.377,YELLOW,False
HARDOI,TN.AR.  PIHANI,1,0,1,0,1,0,0,1,-32.07,570.34,1.0,RED,True
HARDOI,TN.AR. HARDOI,2,0,0,1,2,0,0,0,0.35,570.34,0.5,YELLOW,False
HARDOI,TN.AR. SANDILA,2,1,0,0,1,0,0,1,303.57,570.34,0.775,YELLOW,False
HARDOI,TONDARPUR,5,0,0,4,2,0,0,2,-9.69,570.34,0.642,ORANGE,True
HATHRAS,HASAYAN,3,0,0,3,1,0,0,2,-3.79,570.34,0.468,YELLOW,False
HATHRAS,HATHRAS,2,0,0,2,2,0,0,2,-23.83,570.34,0.564,RED,True
HATHRAS,MURSAN,2,2,0,0,2,0,0,0,106.41,570.34,0.59,GREEN,False
HATHRAS,N.P. HATHRAS,1,1,0,0,0,0,1,0,25.45,570.34,1.0,GREEN,False
HATHRAS,SADABAD,5,2,0,2,3,0,0,1,55.37,570.34,0.51,YELLOW,False
HATHRAS,SAHPAU,4,1,0,1,2,0,0,1,37.66,570.34,0.452,YELLOW,False
HATHRAS,SASNI,3,0,0,1,1,0,0,2,4.74,570.34,0.51,YELLOW,False
HATHRAS,SIKANDRA RAO,3,0,0,0,1,0,0,0,-0.75,570.34,0.53,YELLOW,False
JALAUN,DAKOR,6,1,0,2,2,0,1,1,10.82,570.34,0.532,YELLOW,False
JALAUN,JALAUN,1,0,0,1,0,0,0,1,9.09,570.34,0.333,YELLOW,False
JALAUN,KADAURA,4,0,1,0,1,0,0,3,-22.96,570.34,0.54,RED,True
JALAUN,KONCH,1,0,0,1,1,0,0,0,42.42,570.34,0.617,YELLOW,False
JALAUN,KUTHAUND,2,0,0,2,1,0,0,0,4.4,570.34,0.504,YELLOW,False
JALAUN,MADHAUGADH,1,0,0,0,0,0,0,0,9.36,570.34,1.0,YELLOW,False
JALAUN,MAHEVA,6,0,1,2,1,0,1,5,-2.73,570.34,0.583,YELLOW,False
JALAUN,NADIGAWN,2,1,0,1,1,0,0,0,35.08,570.34,0.513,YELLOW,False
JALAUN,RAMPURA,3,2,0,1,2,0,0,1,59.42,570.34,0.676,GREEN,False
JALAUN,T. A. ORAI,2,0,0,1,1,0,0,1,-1.76,570.34,0.631,YELLOW,False
JAUNPUR,BADLA PUR,2,0,0,2,2,0,0,1,-1.89,570.34,0.479,YELLOW,False
JAUNPUR,BARSATHI,1,0,0,1,0,0,0,0,28.75,570.34,0.466,YELLOW,False
JAUNPUR,BUKSHA,1,0,0,1,1,0,0,1,3.7,570.34,0.536,YELLOW,False
JAUNPUR,DHARMAPUR,1,0,0,1,1,0,0,0,47.62,570.34,0.581,YELLOW,False
JAUNPUR,DOBHI,1,0,0,1,0,0,0,0,1.18,570.34,0.419,YELLOW,False
JAUNPUR,JALALPUR,1,0,0,0,1,0,0,1,-32.97,570.34,0.705,RED,True
JAUNPUR,JAUNPUR  [NAGAR],1,1,0,0,0,0,0,0,13.0,570.34,1.0,GREEN,False
JAUNPUR,KARANJA KALA,2,0,1,1,1,0,0,1,4.59,570.34,0.46,ORANGE,True
JAUNPUR,KERAKAT,2,1,0,1,2,0,0,0,67.35,570.34,0.57,YELLOW,False
JAUNPUR,KHUTHAN,1,0,0,1,1,0,0,0,8.77,570.34,0.565,YELLOW,False
JAUNPUR,MACHHALI SHAHAR,2,1,0,1,1,0,0,0,22.95,570.34,0.814,YELLOW,False
JAUNPUR,MADIYAHUN,2,1,0,0,0,0,0,0,20.13,570.34,0.86,YELLOW,False
JAUNPUR,MAHARAJ GANJ,1,0,0,1,0,0,0,1,-13.89,570.34,0.452,RED,True
JAUNPUR,MUFTI GANJ,1,0,0,1,0,0,0,1,-11.48,570.34,0.444,RED,True
JAUNPUR,MUGRA BADSHAH PUR,2,0,0,1,2,0,0,0,81.75,570.34,0.475,YELLOW,False
JAUNPUR,RAM PUR,1,0,0,0,1,0,0,0,34.78,570.34,0.581,YELLOW,False
JAUNPUR,SHAH GANJ,3,1,0,1,2,0,1,1,25.38,570.34,0.586,YELLOW,False
JAUNPUR,SIKRARA,2,0,0,2,2,0,0,1,29.64,570.34,0.476,YELLOW,False
JAUNPUR,SIRKONI,3,1,0,1,1,0,0,1,28.35,570.34,0.735,YELLOW,False
JAUNPUR,SUITHA KALA,2,0,0,2,2,0,0,0,9.26,570.34,0.563,YELLOW,False
JAUNPUR,SUJAN GANJ,1,0,0,0,0,0,0,0,29.09,570.34,0.577,YELLOW,False
JHANSI,BABINA,7,0,2,5,1,0,0,4,3.16,570.34,0.555,YELLOW,False
JHANSI,BAMORE,3,0,1,1,2,0,1,2,-18.18,570.34,0.508,RED,True
JHANSI,BANGRA,5,0,1,1,0,0,0,3,-8.97,570.34,0.59,ORANGE,True
JHANSI,BARAGAON,4,0,1,1,1,0,0,3,-8.57,570.34,0.582,ORANGE,True
JHANSI,CHIRGAON,3,0,0,2,0,0,0,2,-4.28,570.34,0.468,YELLOW,False
JHANSI,GURSARAI,3,0,1,1,0,0,0,2,-12.47,570.34,0.635,RED,True
JHANSI,JHANSI NAGARCHETRA,2,0,0,1,0,0,0,1,0.93,570.34,0.534,YELLOW,False
JHANSI,MAURANIPUR,3,0,1,2,0,0,0,3,-13.94,570.34,0.479,RED,True
JHANSI,MAURANIPUR  N.CHETRA,1,0,0,1,0,0,0,0,7.07,570.34,1.0,YELLOW,False
JHANSI,MOTH,4,0,0,1,0,0,0,2,2.1,570.34,0.423,YELLOW,False
JYOTIBA PHULE NAGAR (AMROHA),AMROHA,3,0,0,0,1,0,0,1,27.58,570.34,0.563,YELLOW,False
JYOTIBA PHULE NAGAR (AMROHA),AMROHA CITY,2,1,1,0,0,0,0,1,1.18,570.34,0.695,ORANGE,True
JYOTIBA PHULE NAGAR (AMROHA),DHANORA,5,1,1,2,3,0,0,2,58.07,570.34,0.621,YELLOW,False
JYOTIBA PHULE NAGAR (AMROHA),GAJRAULA,4,2,0,1,2,0,0,2,19.99,570.34,0.538,YELLOW,False
JYOTIBA PHULE NAGAR (AMROHA),GANGESHWARI,3,2,1,0,1,0,0,2,85.94,570.34,0.554,ORANGE,True
JYOTIBA PHULE NAGAR (AMROHA),HASANPUR,5,1,1,2,3,0,1,1,13.5,570.34,0.486,YELLOW,False
JYOTIBA PHULE NAGAR (AMROHA),HASANPUR CITY,1,0,1,0,0,0,0,1,-18.31,570.34,1.0,RED,True
JYOTIBA PHULE NAGAR (AMROHA),JOYA,2,1,0,1,1,0,0,0,42.78,570.34,0.586,YELLOW,False
KANNAUJ,CHHIBRAMAU,3,1,0,0,2,0,0,0,91.83,570.34,0.798,YELLOW,False
KANNAUJ,GUGRAPUR,2,1,0,1,1,0,0,1,53.46,570.34,0.486,YELLOW,False
KANNAUJ,HASERAN,1,0,0,1,1,0,0,1,14.29,570.34,0.542,YELLOW,False
KANNAUJ,JALALABAD,2,0,0,1,1,0,0,1,86.86,570.34,0.572,YELLOW,False
KANNAUJ,KANNAUJ,3,1,0,2,2,0,0,1,51.78,570.34,0.446,YELLOW,False
KANNAUJ,SAURIKH,2,1,0,1,1,0,0,1,16.8,570.34,0.511,YELLOW,False
KANNAUJ,TAL GRAM,3,1,0,2,3,0,0,1,62.52,570.34,0.467,YELLOW,False
KANNAUJ,UMARDA,3,0,0,0,1,0,0,3,-11.03,570.34,0.484,RED,True
KANPUR DEHAT,AKBARPUR,1,0,0,1,1,0,0,1,-27.81,570.34,0.541,RED,True
KANPUR DEHAT,AMARAUDHA,3,1,0,0,2,0,0,0,39.23,570.34,0.744,YELLOW,False
KANPUR DEHAT,DERAPUR,1,1,0,0,1,0,0,0,43.75,570.34,0.464,GREEN,False
KANPUR DEHAT,JHINJHAK,3,2,0,1,1,0,0,0,107.52,570.34,0.494,GREEN,False
KANPUR DEHAT,MAITHA,1,1,0,0,1,0,0,0,154.55,570.34,0.393,GREEN,False
KANPUR DEHAT,MALASA,2,0,0,1,1,0,0,0,27.22,570.34,0.574,YELLOW,False
KANPUR DEHAT,RAJPUR,2,0,0,0,2,0,0,0,81.06,570.34,0.508,YELLOW,False
KANPUR DEHAT,RASULABAD,3,1,0,0,3,0,0,1,64.51,570.34,0.745,YELLOW,False
KANPUR DEHAT,SANDALPUR,1,0,0,0,0,0,0,0,19.35,570.34,0.568,YELLOW,False
KANPUR DEHAT,SARVANKHERA,2,1,0,0,1,0,0,1,-18.18,570.34,0.534,RED,True
KANPUR NAGAR,BHITERGAON,1,0,0,1,0,0,0,0,-9.68,570.34,0.583,ORANGE,True
KANPUR NAGAR,BIDHNU,1,0,1,0,0,0,0,1,-16.34,570.34,0.576,RED,True
KANPUR NAGAR,BILHAUR,2,0,0,2,2,0,0,1,11.86,570.34,0.517,YELLOW,False
KANPUR NAGAR,CHAUBEPUR,1,0,1,0,1,0,0,1,-40.64,570.34,0.486,RED,True
KANPUR NAGAR,GHATAMPUR,3,0,0,1,1,0,0,3,-20.65,570.34,0.605,RED,True
KANPUR NAGAR,KAKWAN,1,0,0,1,0,0,0,1,-4.94,570.34,0.481,YELLOW,False
KANPUR NAGAR,KALYANPUR,4,1,1,2,1,0,0,2,-5.29,570.34,0.63,ORANGE,True
KANPUR NAGAR,PATARA,2,0,0,2,1,0,0,2,-9.41,570.34,0.458,ORANGE,True
KANPUR NAGAR,PREMNAGAR,2,1,0,0,2,0,0,0,50.0,570.34,0.563,YELLOW,False
KANPUR NAGAR,SARSAUL,2,0,1,0,2,0,0,2,-37.25,570.34,0.716,RED,True
KANPUR NAGAR,SHASTRI NAGAR,1,0,1,0,0,0,0,1,-24.62,570.34,1.0,RED,True
KANPUR NAGAR,SHIVRAJPUR,1,0,0,1,1,0,0,0,9.38,570.34,0.61,YELLOW,False
KANSHIRAM NAGAR,AMAPUR,2,2,0,0,2,0,0,0,48.57,570.34,0.454,GREEN,False
KANSHIRAM NAGAR,GANJ DUNDWARA,3,3,0,0,2,0,0,0,478.74,570.34,0.467,GREEN,False
KANSHIRAM NAGAR,KASGANJ,1,0,0,0,0,0,0,1,-3.73,570.34,0.574,YELLOW,False
KANSHIRAM NAGAR,KASGANJ (URBAN),1,0,0,1,0,0,0,1,-4.22,570.34,0.999,YELLOW,False
KANSHIRAM NAGAR,PATIYALI,4,2,0,1,4,0,1,1,41.93,570.34,0.563,YELLOW,False
KANSHIRAM NAGAR,SAHAVAR,1,1,0,0,1,0,0,0,177.66,570.34,0.439,GREEN,False
KANSHIRAM NAGAR,SORON,3,2,0,0,2,0,0,1,42.95,570.34,0.536,GREEN,False
KAUSHAMBI,CHAYAL,1,1,0,0,1,0,0,0,53.85,570.34,0.625,GREEN,False
KAUSHAMBI,KADA,3,2,0,0,3,0,0,0,135.42,570.34,0.643,GREEN,False
KAUSHAMBI,KAUSHAMBI,2,1,0,0,1,0,0,0,74.89,570.34,0.56,YELLOW,False
KAUSHAMBI,MANJHANPUR,3,2,0,0,3,0,0,1,77.19,570.34,0.577,GREEN,False
KAUSHAMBI,MURATGANJ,3,1,0,0,3,0,0,0,41.34,570.34,0.543,YELLOW,False
KAUSHAMBI,NEWADA,2,1,0,1,2,0,0,1,44.38,570.34,0.446,YELLOW,False
KAUSHAMBI,SARSAWAN,4,1,0,2,4,0,0,1,44.88,570.34,0.484,YELLOW,False
KAUSHAMBI,SIRATHU,7,3,0,3,6,0,0,2,108.27,570.34,0.541,YELLOW,False
KHERI,BANKEGANJ,4,3,0,1,4,0,0,1,131.19,570.34,0.618,GREEN,False
KHERI,BEHJAM,1,0,0,1,0,0,0,1,1.25,570.34,0.494,YELLOW,False
KHERI,BIJUA,2,1,0,1,1,0,0,0,60.96,570.34,0.487,YELLOW,False
KHERI,DHAURAHARA,4,1,0,1,2,0,0,0,22.36,570.34,0.458,YELLOW,False
KHERI,ISANAGAR,5,1,0,1,2,0,0,2,21.23,570.34,0.42,YELLOW,False
KHERI,KUMBHI-GOLA,5,1,0,4,3,0,0,3,-0.51,570.34,0.467,YELLOW,False
KHERI,LAKHIMPUR,1,0,1,0,0,0,0,1,-27.33,570.34,0.993,RED,True
KHERI,LMP,2,1,0,0,0,0,0,1,1.05,570.34,0.5,YELLOW,False
KHERI,MITAULI,4,0,0,2,2,0,0,1,-19.12,570.34,0.53,RED,True
KHERI,MOHAMMADI,2,0,0,2,0,0,0,1,-7.74,570.34,0.418,ORANGE,True
KHERI,MOM,1,0,0,1,1,0,0,0,24.47,570.34,1.0,YELLOW,False
