District,Block,Total_Declining_Schools,Most_Common_Reason
SITAPUR,SAKARAN,1,Migration/Population Shift
SITAPUR,SIDHAULI,1,Low Enrollment at Board Class Boundary
SONBHADRA,BABHANI,1,Higher Education Transition Issue
SONBHADRA,CHOPAN,3,Higher Education Transition Issue
SONBHADRA,DUDHI,1,Undetermined
SONBHADRA,GHORAWAL,2,Higher Education Transition Issue
SONBHADRA,MYORPUR,4,Higher Education Transition Issue
SONBHADRA,NAGWA,4,Higher Education Transition Issue
SULTANPUR,BALDIRAI,1,Higher Education Transition Issue
SULTANPUR,DHANPATGANJ,1,Social/Gender Barrier
SULTANPUR,DOSTPUR,1,Social/Gender Barrier
SULTANPUR,JAISINGHPUR,1,Social/Gender Barrier
SULTANPUR,KURWAR,2,Higher Education Transition Issue
SULTANPUR,MOTIGARPUR,1,Higher Education Transition Issue
UNNAO,ASOHA,1,Higher Education Transition Issue
UNNAO,AURAS,1,Migration/Population Shift
UNNAO,BICHHIYA,1,Higher Education Transition Issue
UNNAO,CITI AREA,2,Undetermined
UNNAO,HILOULI,1,Social/Gender Barrier
UNNAO,NAVABGANJ,1,Migration/Population Shift
UNNAO,PURWA,1,Social/Gender Barrier
UNNAO,SIKANDERPUR KARN,1,Higher Education Transition Issue
UNNAO,SUMERPUR,1,Social/Gender Barrier
VARANASI,ARAJILINES,3,Higher Education Transition Issue
VARANASI,HARHUA,1,Higher Education Transition Issue
VARANASI,NAGAR NIGAM,2,Undetermined
VARANASI,PINDRA,1,Higher Education Transition Issue
