District,Block,Total_Declining_Schools,Most_Common_Reason
BAREILLY,RAMNAGAR,1,Higher Education Transition Issue
BAREILLY,RICHHA(DAMKHODA),1,Higher Education Transition Issue
BAREILLY,VITHARI CHAINPUR,1,Higher Education Transition Issue
BASTI,GAUR,3,Higher Education Transition Issue
BASTI,PARSHURAMPUR,1,Low Enrollment at Board Class Boundary
BASTI,TOWN AREA,2,Undetermined
BHADOI,ABHOLI,2,Social/Gender Barrier
BHADOI,AURAI,2,Social/Gender Barrier
BHADOI,BHADOHI,3,Higher Education Transition Issue
BHADOI,DEEGH,2,Higher Education Transition Issue
BHADOI,GYANPUR,1,Higher Education Transition Issue
BHADOI,SURIYAVAN,1,Higher Education Transition Issue
BIJNOR,AFZALGRAH,4,Migration/Population Shift
BIJNOR,ALLHEPUR(DHAMPUR),2,Low Enrollment at Board Class Boundary
BIJNOR,BIJNOR(NAGAR),2,Higher Education Transition Issue
BIJNOR,HALDAUR,2,Undetermined
BIJNOR,JALILPUR,1,Higher Education Transition Issue
BIJNOR,KIRATPUR,3,Undetermined
BIJNOR,KOTWALI,5,Higher Education Transition Issue
BIJNOR,NAJIBABAD,2,Undetermined
BIJNOR,NAJIBABAD(NAGAR),1,Undetermined
BUDAUN,AMBIYAPUR,1,Social/Gender Barrier
BUDAUN,BISAULI,3,Undetermined
BUDAUN,BUDAUN CITY,2,Undetermined
BUDAUN,JAGAT,1,Higher Education Transition Issue
BUDAUN,MIAUN,1,Social/Gender Barrier
BUDAUN,SALARPUR,1,Economic/Child Labour
BUDAUN,SAMRER,1,Social/Gender Barrier
BUDAUN,UJHANI,2,Higher Education Transition Issue
BUDAUN,USAWAN,1,Higher Education Transition Issue
BULANDSHAHR,BULANDSHAHR,2,Higher Education Transition Issue
BULANDSHAHR,DANPUR,1,Higher Education Transition Issue
BULANDSHAHR,DEBAI,1,Higher Education Transition Issue
BULANDSHAHR,SHIKARPUR,1,Higher Education Transition Issue
CHANDAULI,BARAHANI,1,Higher Education Transition Issue
CHANDAULI,CHAKIYA,1,Higher Education Transition Issue
CHANDAULI,NAUGARH,4,Higher Education Transition Issue
CHANDAULI,SHAHABGANJ,2,Higher Education Transition Issue
CHITRAKOOT,CHITRAKOOT,3,Higher Education Transition Issue
CHITRAKOOT,MANIKPUR,3,Higher Education Transition Issue
CHITRAKOOT,MAU,1,Higher Education Transition Issue
CHITRAKOOT,PAHADI,1,Social/Gender Barrier
CHITRAKOOT,RAM NAGAR,1,Higher Education Transition Issue
DEORIA,BARAHAJ,1,Higher Education Transition Issue
DEORIA,BHATNI,1,Social/Gender Barrier
DEORIA,DEORIA NAGAR KSHETRA,1,Undetermined
DEORIA,GAURI BAZAR,2,Undetermined
DEORIA,PATTHRDEVA,2,Social/Gender Barrier
DEORIA,RUDRAPUR,1,Social/Gender Barrier
DEORIA,SALIMPUR,1,Higher Education Transition Issue
ETAH,ALIGANJ,1,Undetermined
ETAH,AWAGARH,1,Social/Gender Barrier
ETAH,ETAH (URBAN),2,Undetermined
ETAH,JAITHARA,1,Social/Gender Barrier
ETAH,JALESAR,1,Higher Education Transition Issue
ETAH,JALESAR (URBAN),1,Higher Education Transition Issue
ETAH,MARHARA,1,Higher Education Transition Issue
ETAH,NIDHAULI KALAN,1,Higher Education Transition Issue
ETAWAH,BARHPURA,1,Undetermined
ETAWAH,CHAKARNAGAR,1,Higher Education Transition Issue
