District,Block,Boys_Only_Schools,Girls_Only_Schools,Boys_Dominated_Schools,Balanced_Schools,Avg_Girls_pct_2223,Avg_Girls_pct_2526,Block_Gender_Direction
HAMIRPUR (U.P.),NP HAMIRPUR,1,1,0,0,50.0,50.4,Stable
HAMIRPUR (U.P.),NP MAUDAHA,0,1,0,0,100.0,100.0,Stable
HAMIRPUR (U.P.),NP RATH,0,1,0,0,100.0,100.0,Stable
HAMIRPUR (U.P.),RATH,0,0,0,2,51.1,55.0,Improving
HAMIRPUR (U.P.),SARILA,0,0,0,2,46.8,46.8,Stable
HAMIRPUR (U.P.),SUMERPUR,0,1,0,2,62.7,60.8,Stable
HAPUR (PANCHSHEEL NAGAR),DHAULANA,0,0,0,1,47.8,49.2,Stable
HAPUR (PANCHSHEEL NAGAR),GARH MUKTESWAR,0,0,0,3,50.6,50.8,Stable
HAPUR (PANCHSHEEL NAGAR),HAPUR,0,1,0,3,60.2,60.1,Stable
HAPUR (PANCHSHEEL NAGAR),SIMBHAWALI,0,0,0,4,55.7,48.9,Declining
HARDOI,AHIRORI,0,0,0,3,50.7,48.6,Declining
HARDOI,BAWAN,0,0,0,0,46.0,44.0,Stable
HARDOI,BEHANDAR,0,0,0,1,59.7,46.6,Declining
HARDOI,BHARAWAN,0,0,0,0,46.0,50.4,Improving
HARDOI,BHARKHANI,0,1,0,1,68.1,70.4,Improving
HARDOI,BILGRAM,0,1,0,1,76.2,75.7,Stable
HARDOI,HARIYAWAN,0,0,0,1,41.8,39.2,Declining
HARDOI,HARPALPUR,0,0,0,0,43.5,43.9,Stable
HARDOI,KACHAUNA,0,0,0,1,39.2,39.3,Stable
HARDOI,KOTHAWAN,0,0,0,2,44.0,50.0,Improving
HARDOI,MADHOGANJ,0,0,0,0,53.0,53.2,Stable
HARDOI,MALLAWA,0,0,1,0,57.0,43.2,Declining
HARDOI,PIHANI,0,0,0,0,39.1,44.0,Improving
HARDOI,SANDI,0,0,0,0,49.2,53.7,Improving
HARDOI,SANDILA,0,0,0,0,49.5,60.1,Improving
HARDOI,SHAHABAD,0,0,0,1,62.6,53.7,Declining
HARDOI,SURSA,0,0,0,0,47.0,43.1,Declining
HARDOI,TANDIYAWA,0,0,0,1,39.1,37.7,Stable
HARDOI,TN.AR.  PIHANI,0,1,0,0,100.0,100.0,Stable
HARDOI,TN.AR. HARDOI,1,1,0,0,50.0,50.0,Stable
HARDOI,TN.AR. SANDILA,0,1,0,1,89.4,77.5,Declining
HARDOI,TONDARPUR,0,1,0,1,59.6,64.2,Improving
HATHRAS,HASAYAN,0,0,0,0,40.9,46.8,Improving
HATHRAS,HATHRAS,0,0,0,0,55.4,56.4,Stable
HATHRAS,MURSAN,0,0,0,1,52.0,59.0,Improving
HATHRAS,N.P. HATHRAS,0,1,0,0,100.0,100.0,Stable
HATHRAS,SADABAD,0,0,0,2,44.7,51.0,Improving
HATHRAS,SAHPAU,0,0,0,2,49.9,45.2,Declining
HATHRAS,SASNI,0,0,0,2,50.7,51.0,Stable
HATHRAS,SIKANDRA RAO,0,0,0,2,49.2,53.0,Improving
JALAUN,DAKOR,0,0,0,2,53.9,53.2,Stable
JALAUN,JALAUN,0,0,0,0,40.9,33.3,Declining
JALAUN,KADAURA,0,0,0,2,48.9,54.0,Improving
JALAUN,KONCH,0,0,0,0,51.5,61.7,Improving
JALAUN,KUTHAUND,0,0,0,2,44.0,50.4,Improving
JALAUN,MADHAUGADH,0,1,0,0,100.0,100.0,Stable
JALAUN,MAHEVA,0,1,0,3,60.7,58.3,Declining
JALAUN,NADIGAWN,0,0,0,1,49.0,51.3,Improving
JALAUN,RAMPURA,0,1,0,2,65.0,67.6,Improving
JALAUN,T. A. ORAI,0,1,0,0,54.9,63.0,Improving
JAUNPUR,BADLA PUR,0,0,0,2,56.4,47.8,Declining
JAUNPUR,BARSATHI,0,0,0,1,52.5,46.6,Declining
JAUNPUR,BUKSHA,0,0,0,1,57.4,53.6,Declining
JAUNPUR,DHARMAPUR,0,0,0,0,76.2,58.1,Declining
JAUNPUR,DOBHI,0,0,0,0,30.6,41.9,Improving
JAUNPUR,JALALPUR,0,0,0,0,64.8,70.5,Improving
JAUNPUR,JAUNPUR  [NAGAR],0,1,0,0,100.0,100.0,Stable
JAUNPUR,KARANJA KALA,0,0,0,0,37.0,46.0,Improving
JAUNPUR,KERAKAT,0,0,0,1,25.5,57.0,Improving
JAUNPUR,KHUTHAN,0,0,0,0,61.4,56.5,Declining
JAUNPUR,MACHHALI SHAHAR,0,1,0,0,77.8,81.4,Improving
JAUNPUR,MADIYAHUN,0,1,0,0,87.5,86.0,Stable
JAUNPUR,MAHARAJ GANJ,0,0,0,1,47.2,45.2,Stable
JAUNPUR,MUFTI GANJ,0,0,0,0,67.2,44.4,Declining
JAUNPUR,MUGRA BADSHAH PUR,0,0,0,2,46.2,47.5,Stable
JAUNPUR,RAM PUR,0,0,0,0,55.4,58.1,Improving
JAUNPUR,SHAH GANJ,0,0,0,1,63.0,58.6,Declining
JAUNPUR,SIKRARA,0,0,0,0,66.7,47.6,Declining
JAUNPUR,SIRKONI,0,1,0,0,79.2,73.5,Declining
JAUNPUR,SUITHA KALA,0,0,0,1,54.3,56.3,Stable
JAUNPUR,SUJAN GANJ,0,0,0,0,74.5,57.7,Declining
JHANSI,BABINA,0,1,0,4,54.4,55.5,Stable
JHANSI,BAMORE,0,0,0,1,51.4,50.8,Stable
JHANSI,BANGRA,0,1,0,4,56.3,59.0,Improving
JHANSI,BARAGAON,0,1,0,1,59.4,58.2,Stable
JHANSI,CHIRGAON,0,0,0,2,47.7,46.8,Stable
JHANSI,GURSARAI,0,1,0,1,62.3,63.5,Stable
JHANSI,JHANSI NAGARCHETRA,0,1,1,0,50.0,53.4,Improving
JHANSI,MAURANIPUR,0,0,0,3,46.6,47.9,Stable
JHANSI,MAURANIPUR  N.CHETRA,0,1,0,0,100.0,100.0,Stable
JHANSI,MOTH,0,0,0,2,37.9,42.3,Improving
JYOTIBA PHULE NAGAR (AMROHA),AMROHA,0,0,0,1,54.1,56.3,Improving
JYOTIBA PHULE NAGAR (AMROHA),AMROHA CITY,0,1,0,0,56.7,69.5,Improving
JYOTIBA PHULE NAGAR (AMROHA),DHANORA,0,1,0,2,55.8,62.1,Improving
JYOTIBA PHULE NAGAR (AMROHA),GAJRAULA,0,1,0,0,49.6,53.8,Improving
JYOTIBA PHULE NAGAR (AMROHA),GANGESHWARI,0,1,1,1,67.8,55.4,Declining
JYOTIBA PHULE NAGAR (AMROHA),HASANPUR,0,0,0,3,33.5,48.6,Improving
JYOTIBA PHULE NAGAR (AMROHA),HASANPUR CITY,0,1,0,0,100.0,100.0,Stable
JYOTIBA PHULE NAGAR (AMROHA),JOYA,0,0,0,1,55.2,58.6,Improving
KANNAUJ,CHHIBRAMAU,0,1,0,0,56.3,79.8,Improving
KANNAUJ,GUGRAPUR,0,0,0,2,58.0,48.6,Declining
KANNAUJ,HASERAN,0,0,0,1,71.4,54.2,Declining
KANNAUJ,JALALABAD,0,0,0,1,61.7,57.2,Declining
KANNAUJ,KANNAUJ,0,0,0,1,51.0,44.6,Declining
KANNAUJ,SAURIKH,0,0,0,1,50.1,51.1,Stable
KANNAUJ,TAL GRAM,0,0,0,1,39.0,46.7,Improving
KANNAUJ,UMARDA,0,0,0,1,58.3,48.4,Declining
KANPUR DEHAT,AKBARPUR,0,0,0,1,52.1,54.1,Stable
KANPUR DEHAT,AMARAUDHA,0,1,0,0,64.6,74.4,Improving
KANPUR DEHAT,DERAPUR,0,0,0,1,35.4,46.4,Improving
KANPUR DEHAT,JHINJHAK,0,0,0,1,36.6,49.4,Improving
KANPUR DEHAT,MAITHA,0,0,0,0,59.1,39.3,Declining
KANPUR DEHAT,MALASA,0,0,0,0,45.6,57.4,Improving
KANPUR DEHAT,RAJPUR,0,0,0,2,48.3,50.8,Improving
KANPUR DEHAT,RASULABAD,0,1,0,1,64.0,74.5,Improving
KANPUR DEHAT,SANDALPUR,0,0,0,0,64.5,56.8,Declining
KANPUR DEHAT,SARVANKHERA,0,0,0,1,24.6,53.4,Improving
KANPUR NAGAR,BHITERGAON,0,0,0,0,51.6,58.3,Improving
KANPUR NAGAR,BIDHNU,0,0,0,0,50.6,57.6,Improving
KANPUR NAGAR,BILHAUR,0,0,0,2,50.6,51.7,Stable
KANPUR NAGAR,CHAUBEPUR,0,0,0,1,50.8,48.6,Declining
KANPUR NAGAR,GHATAMPUR,0,1,0,0,68.2,60.5,Declining
KANPUR NAGAR,KAKWAN,0,0,0,1,54.3,48.1,Declining
KANPUR NAGAR,KALYANPUR,0,1,0,3,62.6,63.0,Stable
KANPUR NAGAR,PATARA,0,0,0,1,60.6,45.8,Declining
KANPUR NAGAR,PREMNAGAR,0,1,1,0,50.0,56.3,Improving
KANPUR NAGAR,SARSAUL,0,1,0,0,78.8,71.6,Declining
KANPUR NAGAR,SHASTRI NAGAR,0,1,0,0,100.0,100.0,Stable
KANPUR NAGAR,SHIVRAJPUR,0,0,0,0,55.2,61.0,Improving
KANSHIRAM NAGAR,AMAPUR,0,0,0,2,46.2,45.3,Stable
KANSHIRAM NAGAR,GANJ DUNDWARA,0,0,0,2,21.1,46.7,Improving
KANSHIRAM NAGAR,KASGANJ,0,0,0,0,61.9,57.4,Declining
KANSHIRAM NAGAR,KASGANJ (URBAN),0,1,0,0,100.0,99.9,Stable
KANSHIRAM NAGAR,PATIYALI,0,1,0,1,45.7,56.3,Improving
KANSHIRAM NAGAR,SAHAVAR,0,0,0,0,48.0,43.9,Declining
KANSHIRAM NAGAR,SORON,0,0,0,0,44.1,53.6,Improving
KAUSHAMBI,CHAYAL,0,0,0,0,50.0,62.5,Improving
KAUSHAMBI,KADA,0,1,0,0,70.7,64.3,Declining
KAUSHAMBI,KAUSHAMBI,0,0,0,1,54.0,56.0,Stable
KAUSHAMBI,MANJHANPUR,0,0,0,1,74.6,57.7,Declining
KAUSHAMBI,MURATGANJ,0,0,0,2,50.0,54.3,Improving
KAUSHAMBI,NEWADA,0,0,0,0,50.2,44.6,Declining
KAUSHAMBI,SARSAWAN,0,0,0,2,48.7,48.4,Stable
KAUSHAMBI,SIRATHU,0,1,1,3,56.0,54.1,Stable
KHERI,BANKEGANJ,0,1,0,3,51.0,61.8,Improving
KHERI,BEHJAM,0,0,0,1,51.2,49.4,Stable
KHERI,BIJUA,0,0,0,2,34.9,48.7,Improving
KHERI,DHAURAHARA,1,1,0,0,43.6,45.8,Improving
KHERI,ISANAGAR,0,0,0,2,43.0,42.0,Stable
KHERI,KUMBHI-GOLA,0,0,0,4,42.9,46.7,Improving
KHERI,LAKHIMPUR,0,1,0,0,100.0,99.3,Stable
KHERI,LMP,1,1,0,0,50.0,50.0,Stable
KHERI,MITAULI,0,0,0,2,39.6,53.0,Improving
KHERI,MOHAMMADI,0,0,0,1,36.4,41.8,Improving
KHERI,MOM,0,1,0,0,100.0,100.0,Stable
KHERI,NAKAHA,0,0,0,1,44.6,44.8,Stable
KHERI,NIGHASAN,0,1,0,3,56.7,57.2,Stable
KHERI,PALIYA,0,0,0,2,41.1,47.7,Improving
KHERI,PASGAWAN,0,0,0,0,20.4,43.3,Improving
KHERI,PHOOL BEHAR,0,1,0,2,56.4,63.3,Improving
KHERI,RAMIYA BEHAR,0,0,0,0,39.7,45.9,Improving
KUSHINAGAR,DUDAHI,0,0,0,0,44.0,81.8,Improving
KUSHINAGAR,HATA,0,1,0,0,84.5,92.8,Improving
KUSHINAGAR,KASIA,0,0,0,0,0.0,57.3,Improving
KUSHINAGAR,KHADDA,0,0,0,0,55.1,58.2,Improving
KUSHINAGAR,MOTICHAK,0,0,0,0,52.2,70.8,Improving
KUSHINAGAR,NAURANGIYA,0,0,0,0,41.5,57.4,Improving
KUSHINAGAR,PADARAUNA,0,0,0,0,54.8,56.2,Stable
KUSHINAGAR,PADRAUNA (URBAN),0,1,0,0,100.0,100.0,Stable
KUSHINAGAR,RAMKOLA,0,0,0,0,49.2,56.1,Improving
KUSHINAGAR,SEORAHI,0,1,0,1,66.6,61.5,Declining
KUSHINAGAR,TAMKUHI,0,0,0,0,53.4,63.7,Improving
KUSHINAGAR,VISHUNPURA,0,0,0,0,55.7,64.3,Improving
LALITPUR,BAR,0,0,0,1,43.3,44.4,Stable
LALITPUR,BIRDHA,0,0,0,3,47.0,51.1,Improving
LALITPUR,JAKHORA,0,0,0,6,45.4,49.3,Improving
LALITPUR,LALITPUR,1,1,0,0,50.0,50.0,Stable
LALITPUR,MADAWRA,0,0,0,1,40.6,46.7,Improving
LALITPUR,MAHRONI,0,1,0,2,56.6,52.3,Declining
LALITPUR,TALBEHAT,0,1,2,0,44.3,42.0,Declining
LUCKNOW,BAKSHI KA TALAB,0,0,0,3,53.5,56.1,Improving
LUCKNOW,CHINHAT,0,1,0,0,70.4,68.0,Declining
LUCKNOW,GOSHAI GANJ,0,0,0,3,41.4,47.4,Improving
LUCKNOW,KAKORI,0,1,0,1,59.6,66.4,Improving
LUCKNOW,MAAL,0,1,0,2,59.9,63.0,Improving
LUCKNOW,MALIHABAD,0,1,0,0,67.5,66.6,Stable
LUCKNOW,MOHAN LAL GANJ,0,0,0,4,48.2,53.6,Improving
LUCKNOW,"NAGAR SHAITRA, LUCKNOW",2,8,0,0,61.2,72.9,Improving
LUCKNOW,SAROJNI NAGAR,0,0,0,3,46.9,45.9,Stable
MAHARAJGANJ,BRIJMAN GANJ,0,0,0,0,54.2,59.1,Improving
MAHARAJGANJ,DHANI,0,0,0,1,36.2,54.5,Improving
MAHARAJGANJ,GHUGHLI,0,1,0,2,63.4,65.6,Improving
MAHARAJGANJ,LAKSHMIPUR,0,0,0,1,58.2,59.8,Stable
MAHARAJGANJ,MAHRAJGANJ,0,1,0,0,69.4,73.7,Improving
MAHARAJGANJ,MITHOURA,0,0,0,1,67.2,68.3,Stable
MAHARAJGANJ,NICHLOUL,0,0,0,0,59.7,67.4,Improving
MAHARAJGANJ,NOUTANWA,0,1,0,0,75.9,81.2,Improving
MAHARAJGANJ,PANIYARA,0,0,0,0,45.4,56.2,Improving
MAHARAJGANJ,PARTAWAL,0,0,0,1,57.8,60.2,Improving
MAHARAJGANJ,PHARENDA,0,1,0,0,100.0,99.8,Stable
MAHOBA,CHARKHARI,0,1,0,2,66.0,66.8,Stable
MAHOBA,CHARKHARI URBAN,1,1,0,0,50.0,50.1,Stable
MAHOBA,JAITPUR,0,2,1,5,53.3,54.3,Stable
MAHOBA,KABRAI,0,0,0,6,45.2,50.6,Improving
MAHOBA,NAGAR PALIKA MAHOBA,1,1,0,0,50.0,50.2,Stable
MAHOBA,PANWARI,0,1,0,3,56.4,62.1,Improving
MAINPURI,BARNAHAL,0,0,0,0,50.0,70.0,Improving
MAINPURI,BEWAR,0,1,0,0,63.8,67.0,Improving
MAINPURI,GHIROR,0,1,0,3,58.1,60.2,Improving
MAINPURI,JAGIR,0,0,0,0,53.8,65.2,Improving
MAINPURI,KARHAL,0,2,0,1,80.2,78.2,Stable
MAINPURI,KISHANI,0,1,0,0,100.0,100.0,Stable
MAINPURI,KURAWALI,0,0,0,1,60.0,49.6,Declining
MAINPURI,MAINPURI,1,1,0,1,53.7,47.8,Declining
MAINPURI,MAINPURI-CITY,0,1,0,0,100.0,100.0,Stable
MAINPURI,SULTANGANJ,0,0,0,0,53.6,61.2,Improving
MATHURA,BALDEO,0,1,0,1,64.4,63.8,Stable
MATHURA,CHAUMUHAN,0,0,0,1,54.8,50.6,Declining
MATHURA,CHHATA,0,0,0,1,57.9,56.8,Stable
MATHURA,FARAH,0,2,0,0,82.5,80.8,Stable
MATHURA,GOVERDHAN,1,1,0,1,52.4,53.0,Stable
MATHURA,MANT,0,1,0,1,62.4,66.0,Improving
MATHURA,MATHURA,1,0,0,1,39.5,38.4,Stable
MATHURA,NANDGAON,0,0,0,1,43.5,44.5,Stable
MATHURA,NOHJHEEL,0,0,0,1,52.8,57.0,Improving
MATHURA,RAYA,0,0,0,3,58.4,49.5,Declining
MAU,BADRAW,0,1,0,0,80.2,79.3,Stable
MAU,DOHRIGHAT,0,0,0,2,56.9,46.3,Declining
MAU,GHOSI,0,0,0,0,46.9,58.5,Improving
MAU,KOPAGANG,0,0,0,1,65.8,52.9,Declining
MAU,MOHAMMADABAD,0,0,0,0,33.4,57.8,Improving
MAU,NAGAR KSHETRA MAU,0,1,0,0,100.0,99.5,Stable
MAU,PARDAHA,0,0,0,0,62.5,59.3,Declining
MAU,RANIPUR,0,0,0,0,43.9,58.2,Improving
MAU,RATANPURA,0,0,0,3,58.0,52.0,Declining
MEERUT,DAURALA,0,0,0,1,46.8,48.1,Stable
MEERUT,HASTINAPUR,1,1,1,0,41.3,38.6,Declining
MEERUT,JANI,0,0,0,0,28.5,35.4,Improving
MEERUT,KHARKHODA,0,0,0,4,38.9,45.3,Improving
MEERUT,MACHRA,0,1,0,1,72.3,73.9,Stable
MEERUT,MAWANA,0,0,0,3,56.5,46.7,Declining
MEERUT,MEERUT,0,0,0,0,59.8,69.2,Improving
MEERUT,MEERUT NAGAR,1,2,1,0,50.1,51.4,Stable
MEERUT,PARIKSHIT GARH,0,1,0,2,67.0,64.8,Declining
MEERUT,RAJPURA,0,1,0,0,66.0,72.5,Improving
MEERUT,ROHTA,0,0,0,2,54.5,47.3,Declining
MEERUT,SARDHANA,0,0,0,1,51.4,57.1,Improving
MEERUT,SARURPUR,0,1,1,1,24.8,47.6,Improving
MIRZAPUR,CHHANBEY,0,0,0,5,52.8,53.8,Stable
MIRZAPUR,HALIA,0,1,1,3,58.0,56.4,Stable
MIRZAPUR,JAMALPUR,0,0,0,1,53.6,52.9,Stable
MIRZAPUR,KONE,0,0,0,1,53.4,55.4,Stable
MIRZAPUR,LALGANJ,0,0,0,4,57.1,55.9,Stable
MIRZAPUR,MAJHAWA,0,1,0,2,64.9,65.8,Stable
MIRZAPUR,MARIHAN,0,0,0,1,52.5,57.6,Improving
MIRZAPUR,NAGAR,0,0,0,3,55.7,55.2,Stable
MIRZAPUR,NAGAR PALIKA,1,2,0,0,66.7,66.7,Stable
MIRZAPUR,NARAYANPUR,0,1,0,0,100.0,100.0,Stable
MIRZAPUR,PAHARI,0,0,0,2,45.8,49.2,Improving
MIRZAPUR,RAJGARH,0,0,0,3,66.4,55.4,Declining
MIRZAPUR,SEEKHAR,0,1,0,1,75.5,68.6,Declining
MORADABAD,BHAGATPUR TANDA,0,0,0,1,44.5,59.0,Improving
MORADABAD,BILARI,0,0,0,3,40.6,56.6,Improving
MORADABAD,CHAJLET,0,1,0,0,62.3,62.8,Stable
MORADABAD,DILARI,0,0,0,2,28.2,56.1,Improving
MORADABAD,KUNDERKI,0,1,0,1,55.7,67.0,Improving
MORADABAD,MORADABAD,0,0,0,1,19.9,61.1,Improving
MORADABAD,MORADABAD CITY BOYS,0,0,0,1,40.5,46.0,Improving
MORADABAD,MORADABAD CITY GIRLS,0,1,0,0,100.0,100.0,Stable
MORADABAD,MUNDAPANDAY,0,0,0,2,44.7,51.1,Improving
MORADABAD,THAKURDWARA,0,2,1,2,48.9,58.1,Improving
MUZAFFARNAGAR,BAGHRA,0,0,0,1,19.4,48.5,Improving
MUZAFFARNAGAR,BUDHANA,0,0,0,2,46.0,50.1,Improving
MUZAFFARNAGAR,CHARTHAWAL,0,0,0,0,41.5,55.8,Improving
MUZAFFARNAGAR,JANSATH,0,1,0,0,48.6,55.8,Improving
MUZAFFARNAGAR,KHATAULI,0,1,0,0,75.1,73.6,Stable
MUZAFFARNAGAR,MORNA,0,0,1,2,43.7,46.7,Improving
MUZAFFARNAGAR,PURKAJI,0,0,1,1,49.1,41.3,Declining
MUZAFFARNAGAR,SADAR,0,0,0,0,27.2,44.8,Improving
MUZAFFARNAGAR,SADAR [TOWN AREA],0,0,1,0,3.7,10.9,Improving
MUZAFFARNAGAR,SHAHPUR,0,1,0,2,52.5,57.2,Improving
PILIBHIT,AMARIA,0,0,0,2,23.0,54.3,Improving
PILIBHIT,BARKHERA,0,1,0,1,57.4,61.9,Improving
PILIBHIT,BILSANDA,0,1,0,2,53.7,56.0,Improving
PILIBHIT,BISALPUR,0,0,0,1,34.6,38.2,Improving
PILIBHIT,LALORIKHERA,0,0,0,1,44.8,46.7,Stable
PILIBHIT,MARORI,0,1,1,2,53.8,51.4,Declining
PILIBHIT,N. P. PILIBHIT,1,1,0,0,59.7,60.4,Stable
PILIBHIT,PURANPUR,0,2,0,1,39.4,62.3,Improving
PRATAPGARH,AASPUR-DEOSARA,0,1,0,0,55.7,67.1,Improving
PRATAPGARH,BABA BHELKHARNATH,0,0,0,0,52.3,52.0,Stable
PRATAPGARH,BABAGANJ,0,0,0,1,52.9,45.3,Declining
PRATAPGARH,BIHAR,0,1,0,0,66.6,59.3,Declining
PRATAPGARH,CITY(PRATAPGARH BELHA),1,1,0,0,50.0,50.0,Stable
PRATAPGARH,GAURA,0,1,0,3,60.0,62.4,Improving
PRATAPGARH,KALAKANKER,0,1,0,0,60.8,60.3,Stable
PRATAPGARH,LALGANJ,0,1,0,0,100.0,100.0,Stable
PRATAPGARH,LAXMANPUR,0,0,0,0,50.6,53.2,Improving
PRATAPGARH,MANDHATA,0,1,0,0,70.6,71.7,Stable
PRATAPGARH,MANGRAURA,0,0,0,2,34.1,47.8,Improving
PRATAPGARH,PATTI,0,1,0,0,76.6,74.4,Declining
PRATAPGARH,SADAR,0,0,0,0,0.0,38.1,Improving
PRATAPGARH,SADWA-CHANDRIKA,0,0,0,1,40.4,46.7,Improving
PRATAPGARH,SANGIPUR,0,1,0,1,80.0,80.0,Stable
PRATAPGARH,SHIVGARH,0,0,0,1,40.2,56.2,Improving
PRAYAGRAJ,BAHARIYA,0,0,0,0,66.2,67.1,Stable
PRAYAGRAJ,CHAKA,0,0,0,1,52.7,51.5,Stable
PRAYAGRAJ,DHANUPUR,0,1,0,0,100.0,100.0,Stable
PRAYAGRAJ,HANDIA,0,1,0,0,75.8,80.4,Improving
PRAYAGRAJ,JASARA,0,1,0,1,75.2,75.2,Stable
PRAYAGRAJ,KARCHHANA,0,1,0,0,100.0,100.0,Stable
PRAYAGRAJ,KORAON,0,0,0,1,40.2,58.9,Improving
PRAYAGRAJ,MANDA,0,0,0,3,46.0,54.9,Improving
PRAYAGRAJ,MAUAIMA,0,0,0,0,56.8,38.5,Declining
PRAYAGRAJ,MEJA,0,0,0,2,79.9,48.0,Declining
PRAYAGRAJ,NAGAR CHHETRA,1,3,0,0,75.0,75.0,Stable
PRAYAGRAJ,PHOOLPUR,0,1,0,1,73.3,75.2,Stable
PRAYAGRAJ,PRATAP PUR,0,0,0,0,57.3,58.6,Stable
PRAYAGRAJ,SAIDABAD,0,1,0,0,100.0,100.0,Stable
PRAYAGRAJ,SHANKAR GARH,0,2,0,0,82.5,80.8,Stable
PRAYAGRAJ,SORAON,0,0,0,0,46.5,55.3,Improving
PRAYAGRAJ,URUWA,0,0,0,1,61.7,69.8,Improving
RAE BARELI,AMAWAN,0,1,0,2,52.6,68.0,Improving
RAE BARELI,BACHHRAWAN,0,1,0,0,50.0,79.1,Improving
RAE BARELI,CHHATOH,0,0,0,1,67.7,69.7,Stable
RAE BARELI,DALMAU,0,0,0,1,55.1,52.3,Declining
RAE BARELI,DEEH,0,1,0,1,59.9,57.6,Declining
RAE BARELI,GAURA,0,1,0,0,61.9,66.6,Improving
RAE BARELI,HARCHANDPUR,0,0,0,0,59.7,65.8,Improving
RAE BARELI,JAGATPUR,0,0,0,0,64.2,58.6,Declining
RAE BARELI,KHIRON,0,0,0,1,58.5,55.1,Declining
RAE BARELI,LALGANJ,0,1,0,0,78.6,84.4,Improving
RAE BARELI,MAHRAJGANJ,0,1,0,1,59.3,62.4,Improving
RAE BARELI,NAGAR SHETRA (RBL),0,2,1,0,66.7,70.6,Improving
RAE BARELI,RAHI,0,0,0,2,53.7,52.3,Stable
RAE BARELI,ROHANIYA,0,0,0,0,62.0,54.7,Declining
RAE BARELI,SALON,0,1,0,0,78.5,79.4,Stable
RAE BARELI,SARENI,0,0,0,1,45.8,46.9,Stable
RAE BARELI,SATAON,0,1,0,0,29.9,78.2,Improving
RAE BARELI,SHIVGARH,0,0,0,1,24.4,56.6,Improving
RAMPUR,BILASPUR,0,0,0,4,39.2,54.3,Improving
RAMPUR,CHAMRAUVA,0,0,0,2,52.0,64.0,Improving
RAMPUR,MILAK,0,0,0,1,43.6,47.8,Improving
RAMPUR,SAID NAGAR,0,1,0,1,61.7,55.3,Declining
RAMPUR,SHAHBAD,1,2,1,0,51.3,52.4,Stable
RAMPUR,SUAR,0,3,1,1,48.6,66.3,Improving
RAMPUR,TOWN AREA RAMPUR,2,3,2,0,52.3,47.0,Declining
SAHARANPUR,BALIA KHEDI,0,1,0,0,65.9,69.2,Improving
SAHARANPUR,DEOBAND,0,0,0,2,56.0,47.8,Declining
SAHARANPUR,GANGOH,0,0,0,4,40.5,56.8,Improving
SAHARANPUR,MUZAFFARABAD,0,0,0,3,41.4,50.1,Improving
SAHARANPUR,NAGAL,0,0,0,1,48.7,56.0,Improving
SAHARANPUR,NAKUR,0,2,0,2,61.4,66.3,Improving
SAHARANPUR,NANAUTA,0,1,0,1,62.4,55.7,Declining
SAHARANPUR,PUNWARKA,0,2,0,2,60.4,70.5,Improving
SAHARANPUR,RAMPUR MANIHARAN,0,0,0,1,72.1,59.2,Declining
SAHARANPUR,SADHOLI KADIM,1,0,0,1,32.4,40.7,Improving
SAHARANPUR,SARSAVA,0,0,0,1,49.2,55.8,Improving
SAHARANPUR,T.A. DEOBAND,0,1,0,0,100.0,100.0,Stable
SAHARANPUR,T.A. SAHAHRANPUR,1,2,0,0,66.7,66.7,Stable
SAMBHAL (BHIM NAGAR),ASMOLI,0,0,0,1,36.3,54.7,Improving
SAMBHAL (BHIM NAGAR),BANIYAKHERA,0,0,0,1,47.8,52.0,Improving
SAMBHAL (BHIM NAGAR),BEHJOI,0,0,0,0,41.3,41.8,Stable
SAMBHAL (BHIM NAGAR),GUNNOR,0,0,0,0,0.0,40.2,Improving
SAMBHAL (BHIM NAGAR),JUNAVAI,0,0,0,0,35.8,36.8,Stable
SAMBHAL (BHIM NAGAR),PAWANSA,0,0,0,0,23.4,63.3,Improving
SAMBHAL (BHIM NAGAR),RAJPURA,0,0,0,0,0.0,29.8,Improving
SAMBHAL (BHIM NAGAR),SAMBHAL,0,1,0,2,50.9,67.4,Improving
SAMBHAL (BHIM NAGAR),SAMBHAL CITY,0,1,1,0,54.6,52.6,Stable
SANT KABIR NAGAR,BAGHAULI,0,0,0,1,44.9,56.4,Improving
SANT KABIR NAGAR,BELHAR KALA,0,0,0,0,50.6,56.3,Improving
SANT KABIR NAGAR,HAINSAR BAZAR,0,0,0,1,53.4,54.2,Stable
SANT KABIR NAGAR,KHALILABAD,0,1,0,0,71.4,72.1,Stable
SANT KABIR NAGAR,MEHNDAVAL,0,0,0,1,0.0,54.0,Improving
SANT KABIR NAGAR,NATHNAGAR,0,0,0,0,60.5,64.7,Improving
SANT KABIR NAGAR,PAULI,0,0,0,0,49.0,56.7,Improving
SANT KABIR NAGAR,SANTHA,0,0,0,0,0.0,30.8,Improving
SANT KABIR NAGAR,SEMARINYAVA,0,0,0,3,27.0,46.9,Improving
SHAHJAHANPUR,BANDA,0,0,0,1,47.5,43.7,Declining
SHAHJAHANPUR,BHAWALKHERA,0,0,0,2,41.6,46.7,Improving
SHAHJAHANPUR,DADRAUL,0,1,0,3,43.0,58.8,Improving
SHAHJAHANPUR,JAITIPUR,0,0,0,2,59.1,51.8,Declining
SHAHJAHANPUR,JALALABAD,0,0,0,1,46.5,48.5,Stable
SHAHJAHANPUR,KALAN,0,0,0,0,43.4,46.3,Improving
