District,Block,Boys_Only_Schools,Girls_Only_Schools,Boys_Dominated_Schools,Balanced_Schools,Avg_Girls_pct_2223,Avg_Girls_pct_2526,Block_Gender_Direction
BAHRAICH,CHITTAURA,0,0,0,2,32.6,52.8,Improving
BAHRAICH,FAKHAR PUR,0,1,0,1,26.0,73.5,Improving
BAHRAICH,HUJUR PUR,0,1,0,3,45.3,61.0,Improving
BAHRAICH,JARWAL,0,1,0,1,39.9,58.6,Improving
BAHRAICH,KAISER GANJ,0,1,0,4,58.3,59.4,Stable
BAHRAICH,MAHSI,0,0,0,1,50.1,49.1,Stable
BAHRAICH,MIHIN PURVA,0,0,0,5,48.5,53.1,Improving
BAHRAICH,NAGAR AREA,0,1,1,0,51.0,59.4,Improving
BAHRAICH,NAWAB GANJ,0,1,0,0,72.3,65.4,Declining
BAHRAICH,PAYAGPUR,0,1,0,1,74.5,70.6,Declining
BAHRAICH,RISIA,0,0,0,0,48.6,48.6,Stable
BAHRAICH,SHIV PUR,0,0,0,0,48.0,43.8,Declining
BAHRAICH,TAJWA PUR,0,0,0,1,40.4,44.8,Improving
BAHRAICH,VISHESHWAR  GANJ,0,0,0,0,45.8,53.5,Improving
BALLIA,BAIRIA,0,1,0,0,100.0,100.0,Stable
BALLIA,BALLIA N.P.,1,1,0,0,50.0,50.0,Stable
BALLIA,BANSDEEH,0,1,0,0,71.7,79.6,Improving
BALLIA,BELAHARI,0,0,0,0,50.5,59.6,Improving
BALLIA,CHILKAHAR,0,0,0,0,51.4,59.4,Improving
BALLIA,DUBAHAR,0,1,0,0,100.0,100.0,Stable
BALLIA,GARWAR,0,0,0,0,46.2,52.2,Improving
BALLIA,MANIAR,0,0,0,0,36.2,36.2,Stable
BALLIA,MURLI CHHAPRA,0,1,0,0,65.6,69.2,Improving
BALLIA,NAGARA,0,0,0,2,54.8,41.8,Declining
BALLIA,NAVANAGAR,0,0,0,1,24.7,62.4,Improving
BALLIA,PANDAH,0,0,0,1,43.8,41.1,Declining
BALLIA,RASARA,0,1,0,2,62.5,65.9,Improving
BALLIA,REVATI,0,0,0,1,57.3,45.6,Declining
BALLIA,SEAR,0,0,0,1,33.3,55.5,Improving
BALLIA,SOHAWN,0,1,0,0,100.0,100.0,Stable
