District,Block,Avg_Girls_Progression,Avg_C10_C11_pct,Collapsed_Enrollment_Schools,C1011_Gap_Schools,Strong_Enrollment_Schools,Block_Girls_Enrollment_Health
BAHRAICH,JARWAL,5.1,6.5,0,0,0,Weak
BAHRAICH,KAISER GANJ,120.4,24.0,0,0,1,Strong
BAHRAICH,MAHSI,0.0,0.0,0,0,0,Weak
BAHRAICH,MIHIN PURVA,171428.6,18.9,0,0,0,Strong
BAHRAICH,NAGAR AREA,315.1,146.6,0,0,1,Strong
BAHRAICH,NAWAB GANJ,1566747.2,42.6,0,0,0,Strong
BAHRAICH,PAYAGPUR,2066666.7,34.3,0,0,1,Strong
BAHRAICH,RISIA,0.0,0.0,0,0,0,Weak
BAHRAICH,SHIV PUR,0.0,0.0,0,0,0,Weak
BAHRAICH,TAJWA PUR,96.4,38.4,0,0,0,Strong
BAHRAICH,VISHESHWAR  GANJ,0.0,13.0,1,0,0,Weak
BALLIA,BAIRIA,96.4,43.7,0,1,0,Strong
BALLIA,BALLIA N.P.,221.4,95.5,0,0,1,Strong
BALLIA,BANSDEEH,249.9,85.7,0,0,1,Strong
BALLIA,BELAHARI,0.0,0.0,0,0,0,Weak
BALLIA,CHILKAHAR,0.0,0.0,0,0,0,Weak
BALLIA,DUBAHAR,127.8,68.4,0,1,0,Strong
BALLIA,GARWAR,0.0,0.0,0,0,0,Weak
BALLIA,MANIAR,0.0,0.0,0,0,0,Weak
BALLIA,MURLI CHHAPRA,55.6,21.1,0,1,0,Moderate
BALLIA,NAGARA,0.0,0.0,0,0,0,Weak
BALLIA,NAVANAGAR,0.0,81.8,1,0,0,Weak
BALLIA,PANDAH,549.4,43.8,0,0,0,Strong
BALLIA,RASARA,112.7,51.5,0,1,1,Strong
BALLIA,REVATI,0.0,0.0,0,0,0,Weak
BALLIA,SEAR,0.0,45.1,1,0,0,Weak
BALLIA,SOHAWN,162.1,109.5,0,0,0,Strong
BALRAMPUR,BALRAMPUR,0.0,0.0,0,0,0,Weak
BALRAMPUR,GAINDAS BUZURG,48.9,22.4,0,1,0,Moderate
BALRAMPUR,GAINSARI,128.8,36.1,0,0,0,Strong
BALRAMPUR,HARAIYA SATGHARWA,0.0,0.0,0,0,0,Weak
BALRAMPUR,PACHPERWA,0.0,0.0,0,0,0,Weak
BALRAMPUR,REHRA BAZAR,0.0,0.0,0,0,0,Weak
BALRAMPUR,SHRIDUTTGANJ,45.0,28.6,0,0,0,Moderate
BALRAMPUR,TULSIPUR,0.0,0.0,0,0,0,Weak
BALRAMPUR,UTRAULA (MUN. CORP.),187.5,52.5,0,1,0,Strong
BANDA,BABERU,71.6,26.4,0,0,1,Strong
BANDA,BADOKHAR KHURD,69.8,29.5,0,1,0,Strong
BANDA,BISANDA,5016726.2,46.9,0,0,1,Strong
BANDA,JASPURA,0.0,0.0,0,0,0,Weak
BANDA,KAMASIN,3820030.0,72.8,0,0,3,Strong
BANDA,MAHUWA,1080000.0,22.4,0,0,0,Strong
BANDA,NAGAR KSHETRA,1304.1,187.2,0,0,1,Strong
BANDA,NARAINI,1277848.6,44.3,0,0,1,Strong
BANDA,TINDWARI,5033333.3,38.2,0,0,2,Strong
BARABANKI,BANI KODAR,181.2,29.0,0,1,0,Strong
BARABANKI,BANKI,357.4,30.0,0,0,1,Strong
BARABANKI,BARABANKI CITY,845.7,119.3,0,0,1,Strong
BARABANKI,DARIYA BAD,0.0,0.0,0,0,0,Weak
BARABANKI,DEWA,14600000.0,85.0,0,0,1,Strong
BARABANKI,FATEH PUR,348.6,58.4,0,0,1,Strong
BARABANKI,HAIDAR GARH,2975148.8,41.7,0,1,0,Strong
BARABANKI,HARAKH,5700124.0,52.8,0,0,1,Strong
BARABANKI,MASAULI,4200000.0,37.8,0,0,1,Strong
BARABANKI,NINDURA,6760000.0,24.0,1,0,0,Moderate
BARABANKI,PURE DALAI,50000.0,300000.0,0,0,0,Strong
BARABANKI,SIDDHAOR,0.0,0.0,0,0,0,Weak
BARABANKI,SIRAULI GAUSPUR,13000000.0,97.0,0,0,1,Strong
BARABANKI,SURAT GANJ,415.7,79.0,0,0,1,Strong
BARABANKI,TRIVEDI GANJ,7000000.0,55.4,0,0,1,Strong
BAREILLY,ALAMPUR,0.0,0.0,0,0,0,Weak
BAREILLY,AONLA,229.8,70.5,0,0,0,Strong
BAREILLY,BAHERI,20.0,459.5,0,0,0,Weak
BAREILLY,BAHERI TOWN,185.9,124.4,0,0,1,Strong
BAREILLY,BAREILLY TOWN,117.2,50.0,0,0,1,Strong
BAREILLY,BHADPURA,75.0,23.4,0,0,1,Strong
BAREILLY,BHOJIPURA,0.0,0.0,0,0,0,Weak
BAREILLY,BHUTA,100.0,30.8,0,0,1,Strong
BAREILLY,FARIDPUR,0.0,0.0,0,0,0,Weak
BAREILLY,FATEHGANJ,201.5,925043.2,1,0,2,Moderate
BAREILLY,KYARA,214.2,25.7,1,1,0,Moderate
BAREILLY,MAJHGAWAN,43.6,22.6,0,0,1,Moderate
BAREILLY,MIRGANJ,0.0,0.0,0,0,0,Weak
BAREILLY,NAWABGANJ,167.2,83.1,0,0,0,Strong
BAREILLY,RAMNAGAR,79.2,40.2,0,0,1,Strong
BAREILLY,RICHHA(DAMKHODA),300992.5,71.9,0,2,1,Strong
BAREILLY,SHERGARH,1050050.0,63.7,0,0,0,Strong
BAREILLY,VITHARI CHAINPUR,105.7,59.0,0,0,1,Strong
BASTI,BAHADURPUR,0.0,0.0,0,0,0,Weak
BASTI,BASTI SADAR,0.0,0.0,0,0,0,Weak
BASTI,DUBAULIA,0.0,0.0,0,0,0,Weak
BASTI,GAUR,1050149.9,78.5,0,1,0,Strong
BASTI,HARRIYA,0.0,0.0,0,0,0,Weak
BASTI,KAPTANGANJ,0.0,0.0,0,0,0,Weak
BASTI,KUDRAHA,0.0,0.0,0,0,0,Weak
BASTI,PARSHURAMPUR,144.4,56.0,0,0,0,Strong
BASTI,RUDHOLI,353.8,138.0,0,0,0,Strong
BASTI,SALTOVA GOPALPUR,0.0,0.0,0,0,0,Weak
BASTI,TOWN AREA,322.9,106.3,0,0,1,Strong
BASTI,VIKRAMJOT,2000000.0,40.0,0,1,0,Strong
BHADOI,ABHOLI,0.0,0.0,0,0,0,Weak
BHADOI,AURAI,1630032.2,33.7,0,0,1,Strong
BHADOI,BHADOHI,0.0,0.0,0,0,0,Weak
