District,Block,Year,Total_Enrollment,Avg_Enrollment,School_Count
PILIBHIT,LALORIKHERA,2023-24,864,432.0,2
PILIBHIT,LALORIKHERA,2024-25,800,400.0,2
PILIBHIT,LALORIKHERA,2025-26,818,409.0,2
PILIBHIT,MARORI,2022-23,824,206.0,4
PILIBHIT,MARORI,2023-24,709,177.2,4
PILIBHIT,MARORI,2024-25,641,160.2,4
PILIBHIT,MARORI,2025-26,718,179.5,4
PILIBHIT,N. P. PILIBHIT,2022-23,3094,1031.3,3
PILIBHIT,N. P. PILIBHIT,2023-24,3023,1007.7,3
PILIBHIT,N. P. PILIBHIT,2024-25,3015,1005.0,3
PILIBHIT,N. P. PILIBHIT,2025-26,2726,908.7,3
PILIBHIT,PURANPUR,2022-23,1709,341.8,5
PILIBHIT,PURANPUR,2023-24,1628,232.6,7
PILIBHIT,PURANPUR,2024-25,1521,217.3,7
PILIBHIT,PURANPUR,2025-26,1495,213.6,7
PRATAPGARH,AASPUR-DEOSARA,2022-23,401,80.2,5
PRATAPGARH,AASPUR-DEOSARA,2023-24,371,74.2,5
PRATAPGARH,AASPUR-DEOSARA,2024-25,468,93.6,5
PRATAPGARH,AASPUR-DEOSARA,2025-26,564,112.8,5
PRATAPGARH,BABA BHELKHARNATH,2022-23,53,26.5,2
PRATAPGARH,BABA BHELKHARNATH,2023-24,58,29.0,2
PRATAPGARH,BABA BHELKHARNATH,2024-25,85,42.5,2
PRATAPGARH,BABA BHELKHARNATH,2025-26,104,52.0,2
PRATAPGARH,BABAGANJ,2022-23,208,104.0,2
PRATAPGARH,BABAGANJ,2023-24,253,126.5,2
PRATAPGARH,BABAGANJ,2024-25,255,127.5,2
PRATAPGARH,BABAGANJ,2025-26,278,139.0,2
PRATAPGARH,BIHAR,2022-23,310,103.3,3
PRATAPGARH,BIHAR,2023-24,294,98.0,3
PRATAPGARH,BIHAR,2024-25,314,104.7,3
PRATAPGARH,BIHAR,2025-26,304,101.3,3
PRATAPGARH,CITY(PRATAPGARH BELHA),2022-23,2569,1284.5,2
PRATAPGARH,CITY(PRATAPGARH BELHA),2023-24,2197,1098.5,2
PRATAPGARH,CITY(PRATAPGARH BELHA),2024-25,2193,1096.5,2
PRATAPGARH,CITY(PRATAPGARH BELHA),2025-26,2217,1108.5,2
PRATAPGARH,GAURA,2022-23,663,132.6,5
PRATAPGARH,GAURA,2023-24,619,123.8,5
PRATAPGARH,GAURA,2024-25,686,137.2,5
PRATAPGARH,GAURA,2025-26,814,162.8,5
PRATAPGARH,KALAKANKER,2022-23,458,152.7,3
PRATAPGARH,KALAKANKER,2023-24,477,159.0,3
PRATAPGARH,KALAKANKER,2024-25,376,125.3,3
PRATAPGARH,KALAKANKER,2025-26,415,138.3,3
PRATAPGARH,LALGANJ,2022-23,78,78.0,1
PRATAPGARH,LALGANJ,2023-24,47,47.0,1
PRATAPGARH,LALGANJ,2024-25,51,51.0,1
PRATAPGARH,LALGANJ,2025-26,61,61.0,1
PRATAPGARH,LAXMANPUR,2022-23,177,88.5,2
PRATAPGARH,LAXMANPUR,2023-24,130,65.0,2
PRATAPGARH,LAXMANPUR,2024-25,139,69.5,2
PRATAPGARH,LAXMANPUR,2025-26,202,101.0,2
PRATAPGARH,MANDHATA,2022-23,520,260.0,2
PRATAPGARH,MANDHATA,2023-24,420,210.0,2
PRATAPGARH,MANDHATA,2024-25,327,163.5,2
PRATAPGARH,MANDHATA,2025-26,324,162.0,2
PRATAPGARH,MANGRAURA,2022-23,105,52.5,2
PRATAPGARH,MANGRAURA,2023-24,139,46.3,3
PRATAPGARH,MANGRAURA,2024-25,442,147.3,3
PRATAPGARH,MANGRAURA,2025-26,584,194.7,3
PRATAPGARH,PATTI,2022-23,318,106.0,3
PRATAPGARH,PATTI,2023-24,305,101.7,3
PRATAPGARH,PATTI,2024-25,334,111.3,3
PRATAPGARH,PATTI,2025-26,364,121.3,3
PRATAPGARH,SADAR,2023-24,87,87.0,1
PRATAPGARH,SADAR,2024-25,175,175.0,1
PRATAPGARH,SADWA-CHANDRIKA,2022-23,376,188.0,2
PRATAPGARH,SADWA-CHANDRIKA,2023-24,316,158.0,2
PRATAPGARH,SADWA-CHANDRIKA,2024-25,362,181.0,2
PRATAPGARH,SADWA-CHANDRIKA,2025-26,634,211.3,3
PRATAPGARH,SANGIPUR,2022-23,239,79.7,3
PRATAPGARH,SANGIPUR,2023-24,163,54.3,3
PRATAPGARH,SANGIPUR,2024-25,207,69.0,3
PRATAPGARH,SANGIPUR,2025-26,256,85.3,3
PRATAPGARH,SHIVGARH,2022-23,430,107.5,4
PRATAPGARH,SHIVGARH,2023-24,502,125.5,4
PRATAPGARH,SHIVGARH,2024-25,498,124.5,4
PRATAPGARH,SHIVGARH,2025-26,542,135.5,4
PRAYAGRAJ,BAHARIYA,2022-23,466,233.0,2
PRAYAGRAJ,BAHARIYA,2023-24,119,119.0,1
PRAYAGRAJ,BAHARIYA,2024-25,113,113.0,1
PRAYAGRAJ,BAHARIYA,2025-26,155,155.0,1
PRAYAGRAJ,CHAKA,2022-23,812,270.7,3
PRAYAGRAJ,CHAKA,2023-24,762,254.0,3
PRAYAGRAJ,CHAKA,2024-25,710,236.7,3
PRAYAGRAJ,CHAKA,2025-26,704,234.7,3
PRAYAGRAJ,DHANUPUR,2022-23,100,100.0,1
PRAYAGRAJ,DHANUPUR,2023-24,109,109.0,1
PRAYAGRAJ,DHANUPUR,2024-25,133,133.0,1
PRAYAGRAJ,DHANUPUR,2025-26,164,164.0,1
PRAYAGRAJ,HANDIA,2022-23,346,173.0,2
PRAYAGRAJ,HANDIA,2023-24,342,171.0,2
PRAYAGRAJ,HANDIA,2024-25,342,171.0,2
PRAYAGRAJ,HANDIA,2025-26,313,156.5,2
PRAYAGRAJ,JASARA,2022-23,643,321.5,2
PRAYAGRAJ,JASARA,2023-24,553,276.5,2
PRAYAGRAJ,JASARA,2024-25,621,310.5,2
PRAYAGRAJ,JASARA,2025-26,639,319.5,2
PRAYAGRAJ,KARCHHANA,2022-23,673,673.0,1
PRAYAGRAJ,KARCHHANA,2023-24,681,681.0,1
PRAYAGRAJ,KARCHHANA,2024-25,691,691.0,1
PRAYAGRAJ,KARCHHANA,2025-26,703,703.0,1
PRAYAGRAJ,KORAON,2022-23,223,111.5,2
PRAYAGRAJ,KORAON,2023-24,261,87.0,3
PRAYAGRAJ,KORAON,2024-25,282,94.0,3
PRAYAGRAJ,KORAON,2025-26,275,91.7,3
PRAYAGRAJ,MANDA,2022-23,2652,663.0,4
PRAYAGRAJ,MANDA,2023-24,2412,603.0,4
PRAYAGRAJ,MANDA,2024-25,2515,628.8,4
PRAYAGRAJ,MANDA,2025-26,2225,556.2,4
PRAYAGRAJ,MAUAIMA,2022-23,37,37.0,1
PRAYAGRAJ,MAUAIMA,2023-24,19,19.0,1
PRAYAGRAJ,MAUAIMA,2024-25,23,23.0,1
PRAYAGRAJ,MAUAIMA,2025-26,52,52.0,1
PRAYAGRAJ,MEJA,2022-23,104,52.0,2
PRAYAGRAJ,MEJA,2023-24,97,48.5,2
PRAYAGRAJ,MEJA,2024-25,208,104.0,2
PRAYAGRAJ,MEJA,2025-26,246,123.0,2
PRAYAGRAJ,NAGAR CHHETRA,2022-23,5777,1444.2,4
PRAYAGRAJ,NAGAR CHHETRA,2023-24,5242,1310.5,4
PRAYAGRAJ,NAGAR CHHETRA,2024-25,5218,1304.5,4
PRAYAGRAJ,NAGAR CHHETRA,2025-26,4603,1150.8,4
PRAYAGRAJ,PHOOLPUR,2022-23,753,376.5,2
PRAYAGRAJ,PHOOLPUR,2023-24,702,351.0,2
PRAYAGRAJ,PHOOLPUR,2024-25,731,365.5,2
PRAYAGRAJ,PHOOLPUR,2025-26,731,365.5,2
PRAYAGRAJ,PRATAP PUR,2022-23,75,75.0,1
PRAYAGRAJ,PRATAP PUR,2023-24,79,79.0,1
PRAYAGRAJ,PRATAP PUR,2024-25,79,79.0,1
PRAYAGRAJ,PRATAP PUR,2025-26,99,99.0,1
PRAYAGRAJ,SAHSON,2023-24,280,280.0,1
PRAYAGRAJ,SAHSON,2024-25,314,314.0,1
PRAYAGRAJ,SAHSON,2025-26,429,429.0,1
PRAYAGRAJ,SAIDABAD,2022-23,390,390.0,1
PRAYAGRAJ,SAIDABAD,2023-24,414,414.0,1
PRAYAGRAJ,SAIDABAD,2024-25,459,459.0,1
PRAYAGRAJ,SAIDABAD,2025-26,532,532.0,1
PRAYAGRAJ,SHANKAR GARH,2022-23,593,197.7,3
PRAYAGRAJ,SHANKAR GARH,2023-24,618,206.0,3
PRAYAGRAJ,SHANKAR GARH,2024-25,757,252.3,3
PRAYAGRAJ,SHANKAR GARH,2025-26,861,287.0,3
PRAYAGRAJ,SORAON,2022-23,359,359.0,1
PRAYAGRAJ,SORAON,2023-24,328,328.0,1
PRAYAGRAJ,SORAON,2024-25,355,355.0,1
PRAYAGRAJ,SORAON,2025-26,369,369.0,1
PRAYAGRAJ,URUWA,2022-23,384,192.0,2
PRAYAGRAJ,URUWA,2023-24,317,158.5,2
PRAYAGRAJ,URUWA,2024-25,343,171.5,2
PRAYAGRAJ,URUWA,2025-26,302,151.0,2
RAE BARELI,AMAWAN,2022-23,470,235.0,2
RAE BARELI,AMAWAN,2023-24,628,209.3,3
RAE BARELI,AMAWAN,2024-25,792,264.0,3
RAE BARELI,AMAWAN,2025-26,890,296.7,3
RAE BARELI,BACHHRAWAN,2022-23,720,720.0,1
RAE BARELI,BACHHRAWAN,2023-24,770,385.0,2
RAE BARELI,BACHHRAWAN,2024-25,843,421.5,2
RAE BARELI,BACHHRAWAN,2025-26,914,457.0,2
RAE BARELI,CHHATOH,2022-23,477,159.0,3
RAE BARELI,CHHATOH,2023-24,642,214.0,3
RAE BARELI,CHHATOH,2024-25,514,171.3,3
RAE BARELI,CHHATOH,2025-26,527,175.7,3
RAE BARELI,DALMAU,2022-23,178,178.0,1
RAE BARELI,DALMAU,2023-24,195,195.0,1
RAE BARELI,DALMAU,2024-25,229,229.0,1
RAE BARELI,DALMAU,2025-26,237,237.0,1
RAE BARELI,DEEH,2022-23,2180,726.7,3
RAE BARELI,DEEH,2023-24,2357,785.7,3
RAE BARELI,DEEH,2024-25,2381,793.7,3
RAE BARELI,DEEH,2025-26,2191,730.3,3
RAE BARELI,GAURA,2022-23,528,264.0,2
RAE BARELI,GAURA,2023-24,518,259.0,2
RAE BARELI,GAURA,2024-25,519,259.5,2
RAE BARELI,GAURA,2025-26,505,252.5,2
RAE BARELI,HARCHANDPUR,2022-23,517,172.3,3
RAE BARELI,HARCHANDPUR,2023-24,550,183.3,3
RAE BARELI,HARCHANDPUR,2024-25,498,166.0,3
RAE BARELI,HARCHANDPUR,2025-26,465,155.0,3
RAE BARELI,JAGATPUR,2022-23,154,77.0,2
RAE BARELI,JAGATPUR,2023-24,158,79.0,2
RAE BARELI,JAGATPUR,2024-25,188,94.0,2
RAE BARELI,JAGATPUR,2025-26,216,108.0,2
RAE BARELI,KHIRON,2022-23,564,188.0,3
RAE BARELI,KHIRON,2023-24,577,192.3,3
RAE BARELI,KHIRON,2024-25,619,206.3,3
RAE BARELI,KHIRON,2025-26,637,212.3,3
RAE BARELI,LALGANJ,2022-23,196,98.0,2
RAE BARELI,LALGANJ,2023-24,218,109.0,2
RAE BARELI,LALGANJ,2024-25,199,99.5,2
RAE BARELI,LALGANJ,2025-26,195,97.5,2
RAE BARELI,MAHRAJGANJ,2022-23,2653,530.6,5
RAE BARELI,MAHRAJGANJ,2023-24,2691,538.2,5
RAE BARELI,MAHRAJGANJ,2024-25,2673,534.6,5
RAE BARELI,MAHRAJGANJ,2025-26,2519,503.8,5
RAE BARELI,NAGAR SHETRA (RBL),2022-23,2651,883.7,3
RAE BARELI,NAGAR SHETRA (RBL),2023-24,2412,804.0,3
RAE BARELI,NAGAR SHETRA (RBL),2024-25,2365,788.3,3
RAE BARELI,NAGAR SHETRA (RBL),2025-26,2378,792.7,3
RAE BARELI,RAHI,2022-23,444,148.0,3
RAE BARELI,RAHI,2023-24,485,161.7,3
RAE BARELI,RAHI,2024-25,555,185.0,3
RAE BARELI,RAHI,2025-26,623,207.7,3
RAE BARELI,ROHANIYA,2022-23,244,81.3,3
RAE BARELI,ROHANIYA,2023-24,283,94.3,3
RAE BARELI,ROHANIYA,2024-25,286,95.3,3
RAE BARELI,ROHANIYA,2025-26,312,104.0,3
RAE BARELI,SALON,2022-23,947,473.5,2
RAE BARELI,SALON,2023-24,742,371.0,2
RAE BARELI,SALON,2024-25,830,415.0,2
RAE BARELI,SALON,2025-26,745,372.5,2
RAE BARELI,SARENI,2022-23,83,83.0,1
RAE BARELI,SARENI,2023-24,69,69.0,1
RAE BARELI,SARENI,2024-25,72,72.0,1
RAE BARELI,SARENI,2025-26,98,98.0,1
RAE BARELI,SATAON,2022-23,246,246.0,1
RAE BARELI,SATAON,2023-24,386,193.0,2
RAE BARELI,SATAON,2024-25,495,247.5,2
RAE BARELI,SATAON,2025-26,515,257.5,2
RAE BARELI,SHIVGARH,2022-23,215,215.0,1
RAE BARELI,SHIVGARH,2023-24,332,166.0,2
RAE BARELI,SHIVGARH,2024-25,332,166.0,2
RAE BARELI,SHIVGARH,2025-26,246,123.0,2
RAMPUR,BILASPUR,2022-23,1339,223.2,6
RAMPUR,BILASPUR,2023-24,1312,187.4,7
RAMPUR,BILASPUR,2024-25,1308,186.9,7
RAMPUR,BILASPUR,2025-26,1155,165.0,7
RAMPUR,CHAMRAUVA,2022-23,923,230.8,4
RAMPUR,CHAMRAUVA,2023-24,943,235.8,4
RAMPUR,CHAMRAUVA,2024-25,1181,295.2,4
RAMPUR,CHAMRAUVA,2025-26,1404,351.0,4
RAMPUR,MILAK,2022-23,1235,1235.0,1
RAMPUR,MILAK,2023-24,1130,1130.0,1
RAMPUR,MILAK,2024-25,1069,1069.0,1
RAMPUR,MILAK,2025-26,1067,1067.0,1
RAMPUR,SAID NAGAR,2022-23,1280,256.0,5
RAMPUR,SAID NAGAR,2023-24,1519,303.8,5
RAMPUR,SAID NAGAR,2024-25,1781,356.2,5
RAMPUR,SAID NAGAR,2025-26,2121,424.2,5
RAMPUR,SHAHBAD,2022-23,4967,709.6,7
RAMPUR,SHAHBAD,2023-24,5194,742.0,7
RAMPUR,SHAHBAD,2024-25,4936,705.1,7
RAMPUR,SHAHBAD,2025-26,4820,688.6,7
RAMPUR,SUAR,2022-23,2733,390.4,7
RAMPUR,SUAR,2023-24,2834,314.9,9
RAMPUR,SUAR,2024-25,2794,310.4,9
RAMPUR,SUAR,2025-26,2967,329.7,9
RAMPUR,TOWN AREA RAMPUR,2022-23,3856,385.6,10
RAMPUR,TOWN AREA RAMPUR,2023-24,3737,373.7,10
RAMPUR,TOWN AREA RAMPUR,2024-25,3787,378.7,10
RAMPUR,TOWN AREA RAMPUR,2025-26,3648,364.8,10
SAHARANPUR,BALIA KHEDI,2022-23,477,159.0,3
SAHARANPUR,BALIA KHEDI,2023-24,458,152.7,3
SAHARANPUR,BALIA KHEDI,2024-25,425,141.7,3
SAHARANPUR,BALIA KHEDI,2025-26,388,129.3,3
SAHARANPUR,DEOBAND,2022-23,304,60.8,5
SAHARANPUR,DEOBAND,2023-24,312,62.4,5
SAHARANPUR,DEOBAND,2024-25,285,57.0,5
SAHARANPUR,DEOBAND,2025-26,335,67.0,5
SAHARANPUR,GANGOH,2022-23,447,89.4,5
SAHARANPUR,GANGOH,2023-24,560,80.0,7
SAHARANPUR,GANGOH,2024-25,576,82.3,7
SAHARANPUR,GANGOH,2025-26,626,89.4,7
SAHARANPUR,MUZAFFARABAD,2022-23,655,109.2,6
SAHARANPUR,MUZAFFARABAD,2023-24,626,104.3,6
SAHARANPUR,MUZAFFARABAD,2024-25,682,85.2,8
SAHARANPUR,MUZAFFARABAD,2025-26,751,93.9,8
SAHARANPUR,NAGAL,2022-23,315,78.8,4
SAHARANPUR,NAGAL,2023-24,350,87.5,4
SAHARANPUR,NAGAL,2024-25,418,104.5,4
SAHARANPUR,NAGAL,2025-26,396,99.0,4
SAHARANPUR,NAKUR,2022-23,1127,140.9,8
SAHARANPUR,NAKUR,2023-24,1105,138.1,8
SAHARANPUR,NAKUR,2024-25,1146,143.2,8
SAHARANPUR,NAKUR,2025-26,1128,141.0,8
SAHARANPUR,NANAUTA,2022-23,505,126.2,4
SAHARANPUR,NANAUTA,2023-24,552,138.0,4
SAHARANPUR,NANAUTA,2024-25,603,150.8,4
SAHARANPUR,NANAUTA,2025-26,607,151.8,4
SAHARANPUR,PUNWARKA,2022-23,2137,267.1,8
SAHARANPUR,PUNWARKA,2023-24,2212,276.5,8
SAHARANPUR,PUNWARKA,2024-25,2433,270.3,9
SAHARANPUR,PUNWARKA,2025-26,2482,275.8,9
SAHARANPUR,RAMPUR MANIHARAN,2022-23,236,118.0,2
SAHARANPUR,RAMPUR MANIHARAN,2023-24,232,116.0,2
SAHARANPUR,RAMPUR MANIHARAN,2024-25,231,115.5,2
SAHARANPUR,RAMPUR MANIHARAN,2025-26,242,121.0,2
SAHARANPUR,SADHOLI KADIM,2022-23,463,92.6,5
SAHARANPUR,SADHOLI KADIM,2023-24,526,105.2,5
SAHARANPUR,SADHOLI KADIM,2024-25,520,104.0,5
SAHARANPUR,SADHOLI KADIM,2025-26,587,117.4,5
SAHARANPUR,SARSAVA,2022-23,920,230.0,4
SAHARANPUR,SARSAVA,2023-24,985,246.2,4
SAHARANPUR,SARSAVA,2024-25,1188,237.6,5
SAHARANPUR,SARSAVA,2025-26,1414,282.8,5
SAHARANPUR,T.A. DEOBAND,2022-23,560,560.0,1
SAHARANPUR,T.A. DEOBAND,2023-24,570,570.0,1
SAHARANPUR,T.A. DEOBAND,2024-25,607,607.0,1
SAHARANPUR,T.A. DEOBAND,2025-26,597,597.0,1
SAHARANPUR,T.A. SAHAHRANPUR,2022-23,1082,360.7,3
SAHARANPUR,T.A. SAHAHRANPUR,2023-24,1109,369.7,3
SAHARANPUR,T.A. SAHAHRANPUR,2024-25,1293,431.0,3
SAHARANPUR,T.A. SAHAHRANPUR,2025-26,1422,474.0,3
SAMBHAL,ASMOLI,2025-26,561,187.0,3
SAMBHAL,BANIYAKHERA,2025-26,269,134.5,2
SAMBHAL,BEHJOI,2025-26,1460,730.0,2
SAMBHAL,GUNNOR,2025-26,540,540.0,1
SAMBHAL,JUNAVAI,2025-26,272,272.0,1
SAMBHAL,PAWANSA,2025-26,382,191.0,2
SAMBHAL,RAJPURA,2025-26,792,792.0,1
SAMBHAL,SAMBHAL,2025-26,1088,362.7,3
SAMBHAL,SAMBHAL CITY,2025-26,945,472.5,2
SAMBHAL (BHIM NAGAR),ASMOLI,2022-23,228,114.0,2
SAMBHAL (BHIM NAGAR),ASMOLI,2023-24,190,95.0,2
SAMBHAL (BHIM NAGAR),ASMOLI,2024-25,316,105.3,3
SAMBHAL (BHIM NAGAR),BANIYAKHERA,2022-23,278,139.0,2
SAMBHAL (BHIM NAGAR),BANIYAKHERA,2023-24,281,140.5,2
SAMBHAL (BHIM NAGAR),BANIYAKHERA,2024-25,289,144.5,2
SAMBHAL (BHIM NAGAR),BEHJOI,2022-23,1337,668.5,2
SAMBHAL (BHIM NAGAR),BEHJOI,2023-24,1390,695.0,2
SAMBHAL (BHIM NAGAR),BEHJOI,2024-25,1440,720.0,2
SAMBHAL (BHIM NAGAR),GUNNOR,2023-24,168,168.0,1
SAMBHAL (BHIM NAGAR),GUNNOR,2024-25,342,342.0,1
SAMBHAL (BHIM NAGAR),JUNAVAI,2022-23,215,215.0,1
SAMBHAL (BHIM NAGAR),JUNAVAI,2023-24,224,224.0,1
SAMBHAL (BHIM NAGAR),JUNAVAI,2024-25,265,265.0,1
SAMBHAL (BHIM NAGAR),PAWANSA,2022-23,45,45.0,1
SAMBHAL (BHIM NAGAR),PAWANSA,2023-24,58,58.0,1
SAMBHAL (BHIM NAGAR),PAWANSA,2024-25,291,145.5,2
SAMBHAL (BHIM NAGAR),RAJPURA,2023-24,292,292.0,1
SAMBHAL (BHIM NAGAR),RAJPURA,2024-25,474,474.0,1
SAMBHAL (BHIM NAGAR),SAMBHAL,2022-23,607,303.5,2
SAMBHAL (BHIM NAGAR),SAMBHAL,2023-24,728,364.0,2
SAMBHAL (BHIM NAGAR),SAMBHAL,2024-25,971,323.7,3
SAMBHAL (BHIM NAGAR),SAMBHAL CITY,2022-23,902,451.0,2
SAMBHAL (BHIM NAGAR),SAMBHAL CITY,2023-24,943,471.5,2
SAMBHAL (BHIM NAGAR),SAMBHAL CITY,2024-25,961,480.5,2
SANT KABIR NAGAR,BAGHAULI,2022-23,300,75.0,4
SANT KABIR NAGAR,BAGHAULI,2023-24,429,85.8,5
SANT KABIR NAGAR,BAGHAULI,2024-25,569,113.8,5
SANT KABIR NAGAR,BAGHAULI,2025-26,635,127.0,5
SANT KABIR NAGAR,BELHAR KALA,2022-23,160,160.0,1
SANT KABIR NAGAR,BELHAR KALA,2023-24,136,136.0,1
SANT KABIR NAGAR,BELHAR KALA,2024-25,159,159.0,1
SANT KABIR NAGAR,BELHAR KALA,2025-26,151,151.0,1
SANT KABIR NAGAR,HAINSAR BAZAR,2022-23,279,139.5,2
SANT KABIR NAGAR,HAINSAR BAZAR,2023-24,267,133.5,2
SANT KABIR NAGAR,HAINSAR BAZAR,2024-25,307,153.5,2
SANT KABIR NAGAR,HAINSAR BAZAR,2025-26,351,175.5,2
SANT KABIR NAGAR,KHALILABAD,2022-23,1391,463.7,3
SANT KABIR NAGAR,KHALILABAD,2023-24,1401,467.0,3
SANT KABIR NAGAR,KHALILABAD,2024-25,1361,453.7,3
SANT KABIR NAGAR,KHALILABAD,2025-26,1417,472.3,3
SANT KABIR NAGAR,MEHNDAVAL,2023-24,70,70.0,1
SANT KABIR NAGAR,MEHNDAVAL,2024-25,141,141.0,1
SANT KABIR NAGAR,MEHNDAVAL,2025-26,337,337.0,1
SANT KABIR NAGAR,NATHNAGAR,2022-23,38,38.0,1
SANT KABIR NAGAR,NATHNAGAR,2023-24,39,39.0,1
SANT KABIR NAGAR,NATHNAGAR,2024-25,49,49.0,1
SANT KABIR NAGAR,NATHNAGAR,2025-26,68,68.0,1
SANT KABIR NAGAR,PAULI,2022-23,312,312.0,1
SANT KABIR NAGAR,PAULI,2023-24,301,301.0,1
SANT KABIR NAGAR,PAULI,2024-25,285,285.0,1
SANT KABIR NAGAR,PAULI,2025-26,254,254.0,1
SANT KABIR NAGAR,SANTHA,2023-24,10,10.0,1
SANT KABIR NAGAR,SANTHA,2024-25,16,16.0,1
SANT KABIR NAGAR,SANTHA,2025-26,13,13.0,1
SANT KABIR NAGAR,SEMARINYAVA,2022-23,282,94.0,3
SANT KABIR NAGAR,SEMARINYAVA,2023-24,316,63.2,5
SANT KABIR NAGAR,SEMARINYAVA,2024-25,373,74.6,5
SANT KABIR NAGAR,SEMARINYAVA,2025-26,336,67.2,5
SHAHJAHANPUR,BANDA,2022-23,533,106.6,5
SHAHJAHANPUR,BANDA,2023-24,505,101.0,5
SHAHJAHANPUR,BANDA,2024-25,458,91.6,5
SHAHJAHANPUR,BANDA,2025-26,485,97.0,5
SHAHJAHANPUR,BHAWALKHERA,2022-23,581,193.7,3
SHAHJAHANPUR,BHAWALKHERA,2023-24,610,203.3,3
SHAHJAHANPUR,BHAWALKHERA,2024-25,568,189.3,3
SHAHJAHANPUR,BHAWALKHERA,2025-26,658,219.3,3
SHAHJAHANPUR,DADRAUL,2022-23,1894,270.6,7
SHAHJAHANPUR,DADRAUL,2023-24,1911,273.0,7
SHAHJAHANPUR,DADRAUL,2024-25,2053,256.6,8
SHAHJAHANPUR,DADRAUL,2025-26,2350,293.8,8
SHAHJAHANPUR,JAITIPUR,2022-23,100,50.0,2
SHAHJAHANPUR,JAITIPUR,2023-24,94,47.0,2
SHAHJAHANPUR,JAITIPUR,2024-25,99,49.5,2
SHAHJAHANPUR,JAITIPUR,2025-26,111,55.5,2
SHAHJAHANPUR,JALALABAD,2022-23,346,115.3,3
SHAHJAHANPUR,JALALABAD,2023-24,266,88.7,3
SHAHJAHANPUR,JALALABAD,2024-25,325,108.3,3
SHAHJAHANPUR,JALALABAD,2025-26,365,121.7,3
SHAHJAHANPUR,KALAN,2022-23,1177,294.2,4
SHAHJAHANPUR,KALAN,2023-24,1226,306.5,4
SHAHJAHANPUR,KALAN,2024-25,1229,307.2,4
SHAHJAHANPUR,KALAN,2025-26,1323,330.8,4
SHAHJAHANPUR,KANTH,2022-23,2608,521.6,5
SHAHJAHANPUR,KANTH,2023-24,2449,489.8,5
SHAHJAHANPUR,KANTH,2024-25,2509,501.8,5
SHAHJAHANPUR,KANTH,2025-26,2873,574.6,5
SHAHJAHANPUR,KATRA KHUDAGANJ,2022-23,257,128.5,2
SHAHJAHANPUR,KATRA KHUDAGANJ,2023-24,297,148.5,2
SHAHJAHANPUR,KATRA KHUDAGANJ,2024-25,347,173.5,2
SHAHJAHANPUR,KATRA KHUDAGANJ,2025-26,357,178.5,2
SHAHJAHANPUR,KHUTAR,2022-23,285,142.5,2
SHAHJAHANPUR,KHUTAR,2023-24,267,133.5,2
SHAHJAHANPUR,KHUTAR,2024-25,285,142.5,2
SHAHJAHANPUR,KHUTAR,2025-26,293,146.5,2
SHAHJAHANPUR,MADNAPUR,2022-23,316,158.0,2
SHAHJAHANPUR,MADNAPUR,2023-24,283,141.5,2
SHAHJAHANPUR,MADNAPUR,2024-25,281,140.5,2
SHAHJAHANPUR,MADNAPUR,2025-26,332,166.0,2
SHAHJAHANPUR,MIRJAPUR,2022-23,122,61.0,2
SHAHJAHANPUR,MIRJAPUR,2023-24,124,62.0,2
SHAHJAHANPUR,MIRJAPUR,2024-25,141,70.5,2
SHAHJAHANPUR,MIRJAPUR,2025-26,146,73.0,2
SHAHJAHANPUR,NIGOHI,2022-23,127,63.5,2
SHAHJAHANPUR,NIGOHI,2023-24,93,46.5,2
SHAHJAHANPUR,NIGOHI,2024-25,88,44.0,2
SHAHJAHANPUR,NIGOHI,2025-26,135,67.5,2
SHAHJAHANPUR,PUWAYA,2022-23,871,217.8,4
SHAHJAHANPUR,PUWAYA,2023-24,917,229.2,4
SHAHJAHANPUR,PUWAYA,2024-25,934,233.5,4
SHAHJAHANPUR,PUWAYA,2025-26,992,248.0,4
SHAHJAHANPUR,SINDHAULI,2022-23,997,332.3,3
SHAHJAHANPUR,SINDHAULI,2023-24,958,319.3,3
SHAHJAHANPUR,SINDHAULI,2024-25,991,330.3,3
SHAHJAHANPUR,SINDHAULI,2025-26,1204,401.3,3
SHAHJAHANPUR,T.A.SHAHJAHANPUR,2022-23,2827,1413.5,2
SHAHJAHANPUR,T.A.SHAHJAHANPUR,2023-24,2863,1431.5,2
SHAHJAHANPUR,T.A.SHAHJAHANPUR,2024-25,2813,1406.5,2
SHAHJAHANPUR,T.A.SHAHJAHANPUR,2025-26,2774,1387.0,2
SHAHJAHANPUR,TILHAR,2022-23,1017,203.4,5
SHAHJAHANPUR,TILHAR,2023-24,967,193.4,5
SHAHJAHANPUR,TILHAR,2024-25,1024,204.8,5
SHAHJAHANPUR,TILHAR,2025-26,1054,210.8,5
SHAMLI,KAIRANA,2025-26,559,139.8,4
SHAMLI,KANDHLA,2025-26,353,117.7,3
SHAMLI,KANDHLA [TOWN AREA],2025-26,1084,1084.0,1
SHAMLI,OON,2025-26,715,102.1,7
SHAMLI,SHAMLI,2025-26,388,194.0,2
SHAMLI,THANABHAWAN,2025-26,813,203.2,4
SHAMLI (PRABUDH NAGAR),KAIRANA,2022-23,481,120.2,4
SHAMLI (PRABUDH NAGAR),KAIRANA,2023-24,479,119.8,4
SHAMLI (PRABUDH NAGAR),KAIRANA,2024-25,523,130.8,4
