District,Block,High_Risk_Count,Medium_Risk_Count,Low_Risk_Count,Total_Schools,Risk_Density_pct,Block_Zone
BAHRAICH,NAGAR AREA,0,0,2,2,0.0,YELLOW
BAHRAICH,NAWAB GANJ,0,1,2,3,0.0,YELLOW
BAHRAICH,PAYAGPUR,0,1,2,3,0.0,YELLOW
BAHRAICH,RISIA,1,0,1,2,50.0,YELLOW
BAHRAICH,SHIV PUR,0,1,1,2,0.0,YELLOW
BAHRAICH,TAJWA PUR,0,0,2,2,0.0,YELLOW
BAHRAICH,VISHESHWAR  GANJ,1,1,2,4,25.0,YELLOW
BALLIA,BAIRIA,0,0,1,1,0.0,YELLOW
BALLIA,BALLIA N.P.,1,1,0,2,50.0,RED
BALLIA,BANSDEEH,0,2,0,2,0.0,YELLOW
BALLIA,BELAHARI,1,1,1,3,33.3,YELLOW
BALLIA,CHILKAHAR,1,0,1,2,50.0,YELLOW
BALLIA,DUBAHAR,0,0,1,1,0.0,YELLOW
BALLIA,GARWAR,0,3,0,3,0.0,YELLOW
BALLIA,MANIAR,0,0,1,1,0.0,GREEN
BALLIA,MURLI CHHAPRA,1,1,1,3,33.3,ORANGE
BALLIA,NAGARA,3,0,0,3,100.0,RED
BALLIA,NAVANAGAR,0,2,0,2,0.0,RED
BALLIA,PANDAH,2,0,0,2,100.0,RED
BALLIA,RASARA,0,2,1,3,0.0,YELLOW
BALLIA,REVATI,2,0,0,2,100.0,YELLOW
BALLIA,SEAR,0,2,1,3,0.0,YELLOW
BALLIA,SOHAWN,0,1,0,1,0.0,RED
BALRAMPUR,BALRAMPUR,0,4,1,5,0.0,YELLOW
BALRAMPUR,GAINDAS BUZURG,0,1,1,2,0.0,YELLOW
BALRAMPUR,GAINSARI,0,1,2,3,0.0,YELLOW
BALRAMPUR,HARAIYA SATGHARWA,0,1,0,1,0.0,GREEN
BALRAMPUR,PACHPERWA,0,1,0,1,0.0,YELLOW
BALRAMPUR,REHRA BAZAR,0,2,0,2,0.0,ORANGE
BALRAMPUR,SHRIDUTTGANJ,1,1,2,4,25.0,ORANGE
BALRAMPUR,TULSIPUR,0,2,1,3,0.0,YELLOW
BALRAMPUR,UTRAULA (MUN. CORP.),0,0,1,1,0.0,RED
BANDA,BABERU,0,1,5,6,0.0,YELLOW
BANDA,BADOKHAR KHURD,2,0,4,6,33.3,ORANGE
BANDA,BISANDA,1,0,5,6,16.7,YELLOW
BANDA,JASPURA,1,1,1,3,33.3,RED
BANDA,KAMASIN,1,0,4,5,20.0,YELLOW
BANDA,MAHUWA,1,2,2,5,20.0,YELLOW
BANDA,NAGAR KSHETRA,1,0,1,2,50.0,RED
BANDA,NARAINI,5,1,3,9,55.5,ORANGE
BANDA,TINDWARI,1,2,3,6,16.7,YELLOW
BARABANKI,BANI KODAR,0,0,2,2,0.0,YELLOW
BARABANKI,BANKI,1,2,3,6,16.7,ORANGE
BARABANKI,BARABANKI CITY,0,0,2,2,0.0,YELLOW
BARABANKI,DARIYA BAD,0,0,1,1,0.0,RED
BARABANKI,DEWA,0,0,2,2,0.0,YELLOW
BARABANKI,FATEH PUR,0,0,3,3,0.0,YELLOW
BARABANKI,HAIDAR GARH,1,0,3,4,25.0,YELLOW
BARABANKI,HARAKH,0,1,2,3,0.0,RED
BARABANKI,MASAULI,1,1,1,3,33.3,RED
BARABANKI,NINDURA,1,1,3,5,20.0,RED
BARABANKI,PURE DALAI,0,1,1,2,0.0,YELLOW
BARABANKI,SIDDHAOR,1,0,0,1,99.9,RED
BARABANKI,SIRAULI GAUSPUR,0,0,1,1,0.0,YELLOW
BARABANKI,SURAT GANJ,0,1,1,2,0.0,RED
BARABANKI,TRIVEDI GANJ,0,0,2,2,0.0,YELLOW
BAREILLY,ALAMPUR,0,1,0,1,0.0,YELLOW
BAREILLY,AONLA,0,0,1,1,0.0,YELLOW
BAREILLY,BAHERI,1,4,0,5,20.0,YELLOW
BAREILLY,BAHERI TOWN,0,0,1,1,0.0,ORANGE
BAREILLY,BAREILLY TOWN,0,1,1,2,0.0,ORANGE
BAREILLY,BHADPURA,0,3,1,4,0.0,YELLOW
BAREILLY,BHOJIPURA,1,0,1,2,50.0,RED
BAREILLY,BHUTA,0,0,3,3,0.0,YELLOW
BAREILLY,FARIDPUR,0,1,2,3,0.0,YELLOW
BAREILLY,FATEHGANJ,1,2,1,4,25.0,YELLOW
BAREILLY,KYARA,0,2,5,7,0.0,YELLOW
BAREILLY,MAJHGAWAN,2,2,1,5,40.0,YELLOW
BAREILLY,MIRGANJ,0,0,1,1,0.0,YELLOW
BAREILLY,NAWABGANJ,2,4,5,11,18.2,YELLOW
BAREILLY,RAMNAGAR,1,0,1,2,50.0,YELLOW
BAREILLY,RICHHA(DAMKHODA),0,2,3,5,0.0,YELLOW
BAREILLY,SHERGARH,0,3,1,4,0.0,YELLOW
BAREILLY,VITHARI CHAINPUR,0,1,3,4,0.0,YELLOW
BASTI,BAHADURPUR,0,2,2,4,0.0,YELLOW
BASTI,BASTI SADAR,0,1,0,1,0.0,YELLOW
BASTI,DUBAULIA,0,2,1,3,0.0,YELLOW
BASTI,GAUR,2,1,1,4,50.0,ORANGE
