District,Block,Ghost_Schools,Micro_Schools,Very_Small_Schools,Critical_Closure_Risk,High_Closure_Risk
BALRAMPUR,PACHPERWA,0,0,0,0,0
BALRAMPUR,REHRA BAZAR,0,0,1,0,0
BALRAMPUR,SHRIDUTTGANJ,0,0,0,0,1
BALRAMPUR,TULSIPUR,0,0,0,0,0
BALRAMPUR,UTRAULA (MUN. CORP.),0,0,0,0,0
BANDA,BABERU,0,0,0,0,0
BANDA,BADOKHAR KHURD,0,0,0,0,1
BANDA,BISANDA,0,0,0,0,0
BANDA,JASPURA,0,0,0,0,0
BANDA,KAMASIN,0,0,0,0,0
BANDA,MAHUWA,0,0,1,0,0
BANDA,NAGAR KSHETRA,0,0,0,0,0
BANDA,NARAINI,0,0,1,0,2
BANDA,TINDWARI,0,0,0,0,0
BARABANKI,BANI KODAR,0,0,0,0,0
BARABANKI,BANKI,0,0,0,0,0
BARABANKI,BARABANKI CITY,0,0,0,0,0
BARABANKI,DARIYA BAD,0,0,0,0,0
BARABANKI,DEWA,0,0,0,0,0
BARABANKI,FATEH PUR,0,0,0,0,0
BARABANKI,HAIDAR GARH,0,0,0,0,1
BARABANKI,HARAKH,0,0,0,0,0
BARABANKI,MASAULI,0,0,0,0,0
BARABANKI,NINDURA,0,0,0,0,1
BARABANKI,PURE DALAI,0,1,0,0,0
BARABANKI,SIDDHAOR,0,0,0,0,1
BARABANKI,SIRAULI GAUSPUR,0,0,0,0,0
BARABANKI,SURAT GANJ,0,0,0,0,0
BARABANKI,TRIVEDI GANJ,0,0,0,0,0
BAREILLY,ALAMPUR,0,0,0,0,0
BAREILLY,AONLA,0,0,0,0,0
BAREILLY,BAHERI,0,0,3,0,1
BAREILLY,BAHERI TOWN,0,0,0,0,0
BAREILLY,BAREILLY TOWN,0,0,0,0,0
BAREILLY,BHADPURA,0,0,1,0,0
BAREILLY,BHOJIPURA,0,0,0,0,1
BAREILLY,BHUTA,0,0,0,0,0
BAREILLY,FARIDPUR,0,0,0,0,0
BAREILLY,FATEHGANJ,0,0,1,0,0
BAREILLY,KYARA,0,0,0,0,0
BAREILLY,MAJHGAWAN,0,0,1,0,0
BAREILLY,MIRGANJ,0,0,0,0,0
BAREILLY,NAWABGANJ,0,1,1,1,0
BAREILLY,RAMNAGAR,0,0,1,0,1
BAREILLY,RICHHA(DAMKHODA),0,0,1,0,0
BAREILLY,SHERGARH,0,0,0,0,0
BAREILLY,VITHARI CHAINPUR,0,0,0,0,0
BASTI,BAHADURPUR,0,0,0,0,0
BASTI,BASTI SADAR,0,0,0,0,0
BASTI,DUBAULIA,0,0,0,0,0
BASTI,GAUR,0,0,1,0,2
BASTI,HARRIYA,0,0,0,0,0
BASTI,KAPTANGANJ,0,0,0,0,0
BASTI,KUDRAHA,0,0,1,0,0
BASTI,PARSHURAMPUR,0,0,0,0,0
BASTI,RUDHOLI,0,0,0,0,0
BASTI,SALTOVA GOPALPUR,0,0,0,0,0
BASTI,TOWN AREA,0,0,0,0,0
BASTI,VIKRAMJOT,0,0,0,0,0
BHADOI,ABHOLI,0,0,0,0,0
BHADOI,AURAI,0,0,0,0,0
BHADOI,BHADOHI,0,0,0,0,1
BHADOI,DEEGH,0,1,1,0,2
BHADOI,GYANPUR,0,0,0,0,0
BHADOI,SURIYAVAN,0,0,0,0,0
BIJNOR,AAKU(NEHTOR),0,0,0,0,0
BIJNOR,AFZALGRAH,0,0,0,0,0
BIJNOR,ALLHEPUR(DHAMPUR),0,0,0,0,0
BIJNOR,BIJNOR(NAGAR),0,0,0,0,0
BIJNOR,BURHANPUR(SEOHARA),0,0,0,0,0
BIJNOR,DHAMPUR(NAGAR),0,0,0,0,0
BIJNOR,HALDAUR,0,0,0,0,0
BIJNOR,JALILPUR,0,0,0,0,0
