District,Block,Cluster_Type,Total_Schools_In_Block,Declining_Schools,Growing_Schools,Recovery_Schools
BAHRAICH,VISHESHWAR  GANJ,Recovery Cluster,4,0,1,3
BALLIA,BAIRIA,Mixed Block,1,0,0,0
BALLIA,BALLIA N.P.,Mixed Block,2,2,0,0
BALLIA,BANSDEEH,Mixed Block,2,0,0,1
BALLIA,BELAHARI,Recovery Cluster,3,0,0,3
BALLIA,CHILKAHAR,Mixed Block,2,0,0,0
BALLIA,DUBAHAR,Mixed Block,1,0,0,0
BALLIA,GARWAR,Mixed Block,3,0,1,2
BALLIA,MANIAR,Isolated Growth,1,0,1,0
BALLIA,MURLI CHHAPRA,Isolated Decline,3,1,1,0
BALLIA,NAGARA,Mixed Block,3,2,0,0
BALLIA,NAVANAGAR,Mixed Block,2,0,1,1
BALLIA,PANDAH,Mixed Block,2,1,0,1
BALLIA,RASARA,Mixed Block,3,0,1,1
BALLIA,REVATI,Mixed Block,2,0,0,1
BALLIA,SEAR,Mixed Block,3,0,1,1
BALLIA,SOHAWN,Mixed Block,1,0,0,0
BALRAMPUR,BALRAMPUR,Recovery Cluster,5,0,1,3
BALRAMPUR,GAINDAS BUZURG,Mixed Block,2,0,1,1
BALRAMPUR,GAINSARI,Mixed Block,3,0,0,2
BALRAMPUR,HARAIYA SATGHARWA,Isolated Growth,1,0,1,0
BALRAMPUR,PACHPERWA,Mixed Block,1,0,0,1
BALRAMPUR,REHRA BAZAR,Mixed Block,2,0,0,2
BALRAMPUR,SHRIDUTTGANJ,Recovery Cluster,4,1,0,3
BALRAMPUR,TULSIPUR,Mixed Block,3,0,1,1
BALRAMPUR,UTRAULA (MUN. CORP.),Mixed Block,1,0,0,0
BANDA,BABERU,Recovery Cluster,6,0,1,3
BANDA,BADOKHAR KHURD,Recovery Cluster,6,1,0,4
BANDA,BISANDA,Recovery Cluster,6,1,1,4
BANDA,JASPURA,Mixed Block,3,0,0,1
BANDA,KAMASIN,Growth Pocket,5,1,3,1
BANDA,MAHUWA,Recovery Cluster,5,0,0,3
BANDA,NAGAR KSHETRA,Mixed Block,2,1,0,1
BANDA,NARAINI,Recovery Cluster,9,2,0,3
BANDA,TINDWARI,Mixed Block,6,1,1,2
BARABANKI,BANI KODAR,Mixed Block,2,0,0,1
BARABANKI,BANKI,Recovery Cluster,6,2,0,3
BARABANKI,BARABANKI CITY,Mixed Block,2,0,0,0
BARABANKI,DARIYA BAD,Mixed Block,1,0,0,1
BARABANKI,DEWA,Mixed Block,2,0,0,0
BARABANKI,FATEH PUR,Mixed Block,3,0,1,0
BARABANKI,HAIDAR GARH,Mixed Block,4,1,0,1
BARABANKI,HARAKH,Mixed Block,3,0,0,1
BARABANKI,MASAULI,Mixed Block,3,0,0,1
BARABANKI,NINDURA,Mixed Block,5,1,0,2
BARABANKI,PURE DALAI,Mixed Block,2,0,0,1
BARABANKI,SIDDHAOR,Isolated Decline,1,1,0,0
BARABANKI,SIRAULI GAUSPUR,Mixed Block,1,0,0,0
BARABANKI,SURAT GANJ,Mixed Block,2,0,0,2
BARABANKI,TRIVEDI GANJ,Mixed Block,2,0,0,1
BAREILLY,ALAMPUR,Mixed Block,1,0,0,0
BAREILLY,AONLA,Mixed Block,1,0,0,1
BAREILLY,BAHERI,Mixed Block,5,0,2,1
BAREILLY,BAHERI TOWN,Mixed Block,1,0,0,0
BAREILLY,BAREILLY TOWN,Mixed Block,2,0,0,0
BAREILLY,BHADPURA,Mixed Block,4,0,2,2
BAREILLY,BHOJIPURA,Mixed Block,2,1,0,0
BAREILLY,BHUTA,Mixed Block,3,0,1,1
BAREILLY,FARIDPUR,Mixed Block,3,0,0,2
BAREILLY,FATEHGANJ,Isolated Decline,4,1,2,0
BAREILLY,KYARA,Mixed Block,7,0,2,2
BAREILLY,MAJHGAWAN,Mixed Block,5,1,1,2
BAREILLY,MIRGANJ,Mixed Block,1,0,0,0
BAREILLY,NAWABGANJ,Growth Pocket,11,2,3,2
BAREILLY,RAMNAGAR,Mixed Block,2,0,1,1
