District,Block,Cluster_Type,Total_Schools_In_Block,Declining_Schools,Growing_Schools,Recovery_Schools
JAUNPUR,MUGRA BADSHAH PUR,Mixed Block,2,0,0,1
JAUNPUR,RAM PUR,Mixed Block,1,0,0,0
JAUNPUR,SHAH GANJ,Mixed Block,3,0,1,1
JAUNPUR,SIKRARA,Mixed Block,2,0,0,2
JAUNPUR,SIRKONI,Mixed Block,3,0,1,1
JAUNPUR,SUITHA KALA,Mixed Block,2,0,0,2
JAUNPUR,SUJAN GANJ,Mixed Block,1,0,0,0
JHANSI,BABINA,Recovery Cluster,7,2,0,5
JHANSI,BAMORE,Mixed Block,3,1,0,1
JHANSI,BANGRA,Mixed Block,5,1,0,1
JHANSI,BARAGAON,Mixed Block,4,1,0,1
JHANSI,CHIRGAON,Mixed Block,3,0,0,2
JHANSI,GURSARAI,Mixed Block,3,1,0,1
JHANSI,JHANSI NAGARCHETRA,Mixed Block,2,0,0,1
JHANSI,MAURANIPUR,Mixed Block,3,1,0,2
JHANSI,MAURANIPUR  N.CHETRA,Mixed Block,1,0,0,1
JHANSI,MOTH,Mixed Block,4,0,0,1
JYOTIBA PHULE NAGAR (AMROHA),AMROHA,Mixed Block,3,0,0,0
JYOTIBA PHULE NAGAR (AMROHA),AMROHA CITY,Isolated Decline,2,1,1,0
JYOTIBA PHULE NAGAR (AMROHA),DHANORA,Mixed Block,5,1,1,2
JYOTIBA PHULE NAGAR (AMROHA),GAJRAULA,Mixed Block,4,0,2,1
JYOTIBA PHULE NAGAR (AMROHA),GANGESHWARI,Isolated Decline,3,1,2,0
JYOTIBA PHULE NAGAR (AMROHA),HASANPUR,Mixed Block,5,1,1,2
JYOTIBA PHULE NAGAR (AMROHA),HASANPUR CITY,Isolated Decline,1,1,0,0
JYOTIBA PHULE NAGAR (AMROHA),JOYA,Mixed Block,2,0,1,1
KANNAUJ,CHHIBRAMAU,Mixed Block,3,0,1,0
KANNAUJ,GUGRAPUR,Mixed Block,2,0,1,1
KANNAUJ,HASERAN,Mixed Block,1,0,0,1
KANNAUJ,JALALABAD,Mixed Block,2,0,0,1
KANNAUJ,KANNAUJ,Mixed Block,3,0,1,2
KANNAUJ,SAURIKH,Mixed Block,2,0,1,1
KANNAUJ,TAL GRAM,Mixed Block,3,0,1,2
KANNAUJ,UMARDA,Mixed Block,3,0,0,0
KANPUR DEHAT,AKBARPUR,Mixed Block,1,0,0,1
KANPUR DEHAT,AMARAUDHA,Mixed Block,3,0,1,0
KANPUR DEHAT,DERAPUR,Isolated Growth,1,0,1,0
KANPUR DEHAT,JHINJHAK,Mixed Block,3,0,2,1
KANPUR DEHAT,MAITHA,Isolated Growth,1,0,1,0
KANPUR DEHAT,MALASA,Mixed Block,2,0,0,1
KANPUR DEHAT,RAJPUR,Mixed Block,2,0,0,0
KANPUR DEHAT,RASULABAD,Mixed Block,3,0,1,0
KANPUR DEHAT,SANDALPUR,Mixed Block,1,0,0,0
KANPUR DEHAT,SARVANKHERA,Mixed Block,2,0,1,0
KANPUR NAGAR,BHITERGAON,Mixed Block,1,0,0,1
KANPUR NAGAR,BIDHNU,Isolated Decline,1,1,0,0
KANPUR NAGAR,BILHAUR,Mixed Block,2,0,0,2
KANPUR NAGAR,CHAUBEPUR,Isolated Decline,1,1,0,0
KANPUR NAGAR,GHATAMPUR,Mixed Block,3,0,0,1
KANPUR NAGAR,KAKWAN,Mixed Block,1,0,0,1
KANPUR NAGAR,KALYANPUR,Mixed Block,4,1,1,2
KANPUR NAGAR,PATARA,Mixed Block,2,0,0,2
KANPUR NAGAR,PREMNAGAR,Mixed Block,2,0,1,0
KANPUR NAGAR,SARSAUL,Mixed Block,2,1,0,0
KANPUR NAGAR,SHASTRI NAGAR,Isolated Decline,1,1,0,0
KANPUR NAGAR,SHIVRAJPUR,Mixed Block,1,0,0,1
KANSHIRAM NAGAR,AMAPUR,Mixed Block,2,0,2,0
KANSHIRAM NAGAR,GANJ DUNDWARA,Growth Pocket,3,0,3,0
KANSHIRAM NAGAR,KASGANJ,Mixed Block,1,0,0,0
KANSHIRAM NAGAR,KASGANJ (URBAN),Mixed Block,1,0,0,1
KANSHIRAM NAGAR,PATIYALI,Mixed Block,4,0,2,1
KANSHIRAM NAGAR,SAHAVAR,Isolated Growth,1,0,1,0
KANSHIRAM NAGAR,SORON,Mixed Block,3,0,2,0
KAUSHAMBI,CHAYAL,Isolated Growth,1,0,1,0
KAUSHAMBI,KADA,Mixed Block,3,0,2,0
KAUSHAMBI,KAUSHAMBI,Mixed Block,2,0,1,0
KAUSHAMBI,MANJHANPUR,Mixed Block,3,0,2,0
KAUSHAMBI,MURATGANJ,Mixed Block,3,0,1,0
KAUSHAMBI,NEWADA,Mixed Block,2,0,1,1
KAUSHAMBI,SARSAWAN,Mixed Block,4,0,1,2
KAUSHAMBI,SIRATHU,Growth Pocket,7,0,3,3
KHERI,BANKEGANJ,Growth Pocket,4,0,3,1
KHERI,BEHJAM,Mixed Block,1,0,0,1
KHERI,BIJUA,Mixed Block,2,0,1,1
KHERI,DHAURAHARA,Mixed Block,4,0,1,1
KHERI,ISANAGAR,Mixed Block,5,0,1,1
KHERI,KUMBHI-GOLA,Recovery Cluster,5,0,1,4
KHERI,LAKHIMPUR,Isolated Decline,1,1,0,0
KHERI,LMP,Mixed Block,2,0,1,0
KHERI,MITAULI,Mixed Block,4,0,0,2
KHERI,MOHAMMADI,Mixed Block,2,0,0,2
KHERI,MOM,Mixed Block,1,0,0,1
KHERI,NAKAHA,Mixed Block,2,1,0,1
KHERI,NIGHASAN,Recovery Cluster,6,0,1,3
KHERI,PALIYA,Isolated Decline,5,1,2,2
KHERI,PASGAWAN,Mixed Block,2,0,1,0
KHERI,PHOOL BEHAR,Mixed Block,5,0,1,2
KHERI,RAMIYA BEHAR,Mixed Block,3,0,0,2
KUSHINAGAR,DUDAHI,Mixed Block,1,0,0,0
KUSHINAGAR,HATA,Mixed Block,2,0,0,1
KUSHINAGAR,KASIA,Isolated Growth,1,0,1,0
KUSHINAGAR,KHADDA,Recovery Cluster,6,0,1,3
KUSHINAGAR,MOTICHAK,Isolated Growth,1,0,1,0
KUSHINAGAR,NAURANGIYA,Mixed Block,1,0,0,1
KUSHINAGAR,PADARAUNA,Mixed Block,1,0,0,1
KUSHINAGAR,PADRAUNA (URBAN),Mixed Block,1,0,0,1
KUSHINAGAR,RAMKOLA,Mixed Block,1,0,0,0
KUSHINAGAR,SEORAHI,Mixed Block,4,0,1,0
KUSHINAGAR,TAMKUHI,Mixed Block,1,0,0,1
KUSHINAGAR,VISHUNPURA,Mixed Block,2,0,1,0
LALITPUR,BAR,Mixed Block,5,1,0,1
LALITPUR,BIRDHA,Recovery Cluster,8,1,1,3
LALITPUR,JAKHORA,Recovery Cluster,8,1,1,3
LALITPUR,LALITPUR,Mixed Block,2,1,0,1
LALITPUR,MADAWRA,Mixed Block,3,0,0,2
LALITPUR,MAHRONI,Recovery Cluster,7,1,0,4
LALITPUR,TALBEHAT,Mixed Block,6,1,2,2
LUCKNOW,BAKSHI KA TALAB,Recovery Cluster,7,1,0,3
LUCKNOW,CHINHAT,Isolated Decline,3,1,1,0
LUCKNOW,GOSHAI GANJ,Recovery Cluster,6,1,1,3
LUCKNOW,KAKORI,Mixed Block,6,0,1,1
LUCKNOW,MAAL,Recovery Cluster,4,1,0,3
LUCKNOW,MALIHABAD,Recovery Cluster,4,0,0,3
LUCKNOW,MOHAN LAL GANJ,Decline Cluster,6,3,0,1
LUCKNOW,"NAGAR SHAITRA, LUCKNOW",Mixed Block,12,1,1,2
LUCKNOW,SAROJNI NAGAR,Recovery Cluster,7,1,1,4
MAHARAJGANJ,BRIJMAN GANJ,Mixed Block,2,0,1,0
MAHARAJGANJ,DHANI,Mixed Block,1,0,0,0
MAHARAJGANJ,GHUGHLI,Mixed Block,5,0,1,1
MAHARAJGANJ,LAKSHMIPUR,Mixed Block,2,0,0,1
MAHARAJGANJ,MAHRAJGANJ,Mixed Block,3,0,1,1
MAHARAJGANJ,MITHOURA,Mixed Block,3,0,0,2
MAHARAJGANJ,NICHLOUL,Mixed Block,3,0,1,1
MAHARAJGANJ,NOUTANWA,Mixed Block,2,0,0,0
MAHARAJGANJ,PANIYARA,Mixed Block,3,0,1,2
MAHARAJGANJ,PARTAWAL,Recovery Cluster,4,0,0,3
MAHARAJGANJ,PHARENDA,Mixed Block,1,0,0,0
MAHOBA,CHARKHARI,Mixed Block,4,0,2,0
MAHOBA,CHARKHARI URBAN,Mixed Block,2,1,0,0
MAHOBA,JAITPUR,Recovery Cluster,11,1,1,3
MAHOBA,KABRAI,Mixed Block,9,1,0,2
MAHOBA,NAGAR PALIKA MAHOBA,Mixed Block,2,0,0,1
MAHOBA,PANWARI,Mixed Block,6,1,2,2
MAINPURI,BARNAHAL,Isolated Decline,1,1,0,0
MAINPURI,BEWAR,Mixed Block,3,1,0,1
MAINPURI,GHIROR,Mixed Block,6,0,2,2
MAINPURI,JAGIR,Mixed Block,1,0,0,1
MAINPURI,KARHAL,Mixed Block,4,1,1,0
MAINPURI,KISHANI,Mixed Block,1,0,0,0
MAINPURI,KURAWALI,Mixed Block,1,0,0,1
MAINPURI,MAINPURI,Mixed Block,4,2,0,2
MAINPURI,MAINPURI-CITY,Isolated Decline,1,1,0,0
MAINPURI,SULTANGANJ,Mixed Block,1,0,0,1
MATHURA,BALDEO,Mixed Block,4,1,1,0
MATHURA,CHAUMUHAN,Mixed Block,3,0,1,1
MATHURA,CHHATA,Mixed Block,2,0,0,0
MATHURA,FARAH,Growth Pocket,4,0,3,0
MATHURA,GOVERDHAN,Mixed Block,4,0,1,1
MATHURA,MANT,Mixed Block,5,0,1,2
MATHURA,MATHURA,Growth Pocket,4,0,3,0
MATHURA,NANDGAON,Mixed Block,3,0,1,0
MATHURA,NOHJHEEL,Mixed Block,2,0,0,2
MATHURA,RAYA,Mixed Block,5,1,1,0
MAU,BADRAW,Mixed Block,2,0,1,1
MAU,DOHRIGHAT,Mixed Block,2,0,0,1
MAU,GHOSI,Mixed Block,2,0,0,0
MAU,KOPAGANG,Isolated Growth,1,0,1,0
MAU,MOHAMMADABAD,Mixed Block,2,0,0,0
MAU,NAGAR KSHETRA MAU,Mixed Block,1,0,0,0
MAU,PARDAHA,Mixed Block,1,0,0,0
MAU,RANIPUR,Isolated Growth,1,0,1,0
MAU,RATANPURA,Mixed Block,5,0,1,1
MEERUT,DAURALA,Mixed Block,3,0,0,2
MEERUT,HASTINAPUR,Mixed Block,5,0,1,2
MEERUT,JANI,Mixed Block,3,0,1,1
MEERUT,KHARKHODA,Mixed Block,8,2,2,1
MEERUT,MACHRA,Mixed Block,4,0,1,1
MEERUT,MAWANA,Mixed Block,3,0,0,2
MEERUT,MEERUT,Mixed Block,2,0,1,1
MEERUT,MEERUT NAGAR,Mixed Block,4,2,0,0
MEERUT,PARIKSHIT GARH,Mixed Block,5,1,1,1
MEERUT,RAJPURA,Mixed Block,3,0,1,1
MEERUT,ROHTA,Mixed Block,3,0,1,2
MEERUT,SARDHANA,Mixed Block,3,0,0,1
MEERUT,SARURPUR,Mixed Block,6,0,2,1
MIRZAPUR,CHHANBEY,Recovery Cluster,7,0,2,3
MIRZAPUR,HALIA,Recovery Cluster,10,0,1,3
MIRZAPUR,JAMALPUR,Mixed Block,2,0,0,0
MIRZAPUR,KONE,Growth Pocket,6,0,4,1
MIRZAPUR,LALGANJ,Growth Pocket,7,0,4,1
MIRZAPUR,MAJHAWA,Mixed Block,3,0,0,0
MIRZAPUR,MARIHAN,Mixed Block,3,0,1,2
MIRZAPUR,NAGAR,Mixed Block,6,0,1,0
MIRZAPUR,NAGAR PALIKA,Mixed Block,3,2,0,0
MIRZAPUR,NARAYANPUR,Isolated Decline,1,1,0,0
MIRZAPUR,PAHARI,Recovery Cluster,6,2,0,3
MIRZAPUR,RAJGARH,Mixed Block,4,0,2,2
MIRZAPUR,SEEKHAR,Recovery Cluster,3,0,0,3
MORADABAD,BHAGATPUR TANDA,Mixed Block,5,0,1,2
MORADABAD,BILARI,Growth Pocket,7,0,3,3
MORADABAD,CHAJLET,Recovery Cluster,7,2,1,3
MORADABAD,DILARI,Growth Pocket,5,0,3,0
MORADABAD,KUNDERKI,Recovery Cluster,6,0,1,3
MORADABAD,MORADABAD,Growth Pocket,5,1,3,0
MORADABAD,MORADABAD CITY BOYS,Mixed Block,1,0,0,0
MORADABAD,MORADABAD CITY GIRLS,Mixed Block,1,0,0,0
MORADABAD,MUNDAPANDAY,Recovery Cluster,6,0,2,3
MORADABAD,THAKURDWARA,Growth Pocket,7,0,3,1
MUZAFFARNAGAR,BAGHRA,Isolated Decline,3,1,1,1
MUZAFFARNAGAR,BUDHANA,Growth Pocket,10,0,4,3
MUZAFFARNAGAR,CHARTHAWAL,Mixed Block,3,1,0,0
MUZAFFARNAGAR,JANSATH,Growth Pocket,9,0,5,2
MUZAFFARNAGAR,KHATAULI,Mixed Block,3,1,0,1
MUZAFFARNAGAR,MORNA,Mixed Block,4,0,0,1
MUZAFFARNAGAR,PURKAJI,Recovery Cluster,5,2,0,3
MUZAFFARNAGAR,SADAR,Growth Pocket,5,0,3,0
MUZAFFARNAGAR,SADAR [TOWN AREA],Mixed Block,1,0,0,0
MUZAFFARNAGAR,SHAHPUR,Mixed Block,5,0,1,0
PILIBHIT,AMARIA,Mixed Block,8,0,2,2
PILIBHIT,BARKHERA,Mixed Block,4,1,0,0
PILIBHIT,BILSANDA,Mixed Block,5,0,0,2
PILIBHIT,BISALPUR,Mixed Block,2,0,0,1
PILIBHIT,LALORIKHERA,Mixed Block,2,0,0,0
PILIBHIT,MARORI,Recovery Cluster,4,0,0,3
PILIBHIT,N. P. PILIBHIT,Mixed Block,3,0,1,0
PILIBHIT,PURANPUR,Decline Cluster,7,3,2,1
PRATAPGARH,AASPUR-DEOSARA,Recovery Cluster,5,0,1,4
PRATAPGARH,BABA BHELKHARNATH,Mixed Block,2,0,1,0
PRATAPGARH,BABAGANJ,Mixed Block,2,0,0,1
PRATAPGARH,BIHAR,Mixed Block,3,1,0,1
PRATAPGARH,CITY(PRATAPGARH BELHA),Mixed Block,2,1,0,1
PRATAPGARH,GAURA,Recovery Cluster,5,0,1,3
PRATAPGARH,KALAKANKER,Mixed Block,3,0,0,2
PRATAPGARH,LALGANJ,Mixed Block,1,0,0,1
PRATAPGARH,LAXMANPUR,Mixed Block,2,0,0,2
PRATAPGARH,MANDHATA,Mixed Block,2,1,0,1
PRATAPGARH,MANGRAURA,Mixed Block,3,0,2,1
PRATAPGARH,PATTI,Mixed Block,3,0,1,0
PRATAPGARH,SADAR,Isolated Growth,1,0,1,0
PRATAPGARH,SADWA-CHANDRIKA,Mixed Block,2,0,1,0
PRATAPGARH,SANGIPUR,Mixed Block,3,0,1,2
PRATAPGARH,SHIVGARH,Mixed Block,4,0,0,1
PRAYAGRAJ,BAHARIYA,Mixed Block,2,0,0,2
PRAYAGRAJ,CHAKA,Mixed Block,3,2,0,1
PRAYAGRAJ,DHANUPUR,Isolated Growth,1,0,1,0
PRAYAGRAJ,HANDIA,Mixed Block,2,1,0,0
PRAYAGRAJ,JASARA,Mixed Block,2,0,0,1
PRAYAGRAJ,KARCHHANA,Mixed Block,1,0,0,0
PRAYAGRAJ,KORAON,Isolated Decline,3,1,2,0
PRAYAGRAJ,MANDA,Mixed Block,4,1,0,0
PRAYAGRAJ,MAUAIMA,Mixed Block,1,0,0,1
PRAYAGRAJ,MEJA,Mixed Block,2,0,0,1
PRAYAGRAJ,NAGAR CHHETRA,Isolated Growth,4,2,1,0
PRAYAGRAJ,PHOOLPUR,Mixed Block,2,0,0,1
PRAYAGRAJ,PRATAP PUR,Mixed Block,1,0,0,0
PRAYAGRAJ,SAIDABAD,Isolated Growth,1,0,1,0
PRAYAGRAJ,SHANKAR GARH,Mixed Block,3,0,2,1
PRAYAGRAJ,SORAON,Mixed Block,1,0,0,1
PRAYAGRAJ,URUWA,Mixed Block,2,0,0,1
RAE BARELI,AMAWAN,Mixed Block,3,0,2,0
RAE BARELI,BACHHRAWAN,Mixed Block,2,0,2,0
RAE BARELI,CHHATOH,Mixed Block,3,1,0,0
RAE BARELI,DALMAU,Isolated Growth,1,0,1,0
RAE BARELI,DEEH,Mixed Block,3,0,0,0
RAE BARELI,GAURA,Mixed Block,2,1,0,1
RAE BARELI,HARCHANDPUR,Isolated Decline,3,1,1,0
RAE BARELI,JAGATPUR,Mixed Block,2,0,1,1
RAE BARELI,KHIRON,Mixed Block,3,0,1,1
RAE BARELI,LALGANJ,Mixed Block,2,0,0,0
RAE BARELI,MAHRAJGANJ,Isolated Decline,5,1,2,0
RAE BARELI,NAGAR SHETRA (RBL),Mixed Block,3,2,0,1
RAE BARELI,RAHI,Mixed Block,3,0,0,1
RAE BARELI,ROHANIYA,Mixed Block,3,0,1,1
RAE BARELI,SALON,Mixed Block,2,0,0,0
RAE BARELI,SARENI,Mixed Block,1,0,0,1
RAE BARELI,SATAON,Mixed Block,2,0,1,0
RAE BARELI,SHIVGARH,Mixed Block,2,1,0,0
RAMPUR,BILASPUR,Decline Cluster,7,3,1,0
RAMPUR,CHAMRAUVA,Mixed Block,4,0,2,2
RAMPUR,MILAK,Isolated Decline,1,1,0,0
RAMPUR,SAID NAGAR,Growth Pocket,5,0,3,1
RAMPUR,SHAHBAD,Mixed Block,7,2,2,0
RAMPUR,SUAR,Growth Pocket,9,0,3,3
RAMPUR,TOWN AREA RAMPUR,Mixed Block,10,2,0,2
SAHARANPUR,BALIA KHEDI,Mixed Block,3,2,0,1
SAHARANPUR,DEOBAND,Recovery Cluster,5,0,0,3
SAHARANPUR,GANGOH,Mixed Block,7,0,1,2
SAHARANPUR,MUZAFFARABAD,Recovery Cluster,8,0,1,4
SAHARANPUR,NAGAL,Mixed Block,4,0,0,1
SAHARANPUR,NAKUR,Recovery Cluster,8,2,1,3
SAHARANPUR,NANAUTA,Mixed Block,4,0,1,1
SAHARANPUR,PUNWARKA,Growth Pocket,9,1,3,3
SAHARANPUR,RAMPUR MANIHARAN,Mixed Block,2,0,0,1
SAHARANPUR,SADHOLI KADIM,Recovery Cluster,5,0,0,3
SAHARANPUR,SARSAVA,Mixed Block,5,0,2,0
SAHARANPUR,T.A. DEOBAND,Mixed Block,1,0,0,0
SAHARANPUR,T.A. SAHAHRANPUR,Mixed Block,3,0,1,2
SAMBHAL (BHIM NAGAR),ASMOLI,Mixed Block,3,0,1,1
SAMBHAL (BHIM NAGAR),BANIYAKHERA,Mixed Block,2,0,0,0
SAMBHAL (BHIM NAGAR),BEHJOI,Mixed Block,2,0,1,0
SAMBHAL (BHIM NAGAR),GUNNOR,Isolated Growth,1,0,1,0
SAMBHAL (BHIM NAGAR),JUNAVAI,Isolated Growth,1,0,1,0
SAMBHAL (BHIM NAGAR),PAWANSA,Mixed Block,2,0,2,0
SAMBHAL (BHIM NAGAR),RAJPURA,Isolated Growth,1,0,1,0
SAMBHAL (BHIM NAGAR),SAMBHAL,Growth Pocket,3,0,3,0
SAMBHAL (BHIM NAGAR),SAMBHAL CITY,Mixed Block,2,0,0,0
SANT KABIR NAGAR,BAGHAULI,Mixed Block,5,0,2,1
SANT KABIR NAGAR,BELHAR KALA,Mixed Block,1,0,0,0
SANT KABIR NAGAR,HAINSAR BAZAR,Mixed Block,2,0,1,0
SANT KABIR NAGAR,KHALILABAD,Mixed Block,3,0,0,1
SANT KABIR NAGAR,MEHNDAVAL,Isolated Growth,1,0,1,0
SANT KABIR NAGAR,NATHNAGAR,Isolated Growth,1,0,1,0
SANT KABIR NAGAR,PAULI,Isolated Decline,1,1,0,0
SANT KABIR NAGAR,SANTHA,Mixed Block,1,0,0,0
SANT KABIR NAGAR,SEMARINYAVA,Mixed Block,5,0,1,1
SHAHJAHANPUR,BANDA,Recovery Cluster,5,0,1,3
SHAHJAHANPUR,BHAWALKHERA,Mixed Block,3,0,0,1
SHAHJAHANPUR,DADRAUL,Growth Pocket,8,0,3,1
SHAHJAHANPUR,JAITIPUR,Mixed Block,2,0,0,2
SHAHJAHANPUR,JALALABAD,Isolated Decline,3,1,1,0
SHAHJAHANPUR,KALAN,Mixed Block,4,0,1,2
SHAHJAHANPUR,KANTH,Recovery Cluster,5,0,2,3
SHAHJAHANPUR,KATRA KHUDAGANJ,Mixed Block,2,0,1,0
SHAHJAHANPUR,KHUTAR,Mixed Block,2,0,1,0
SHAHJAHANPUR,MADNAPUR,Mixed Block,2,0,0,2
SHAHJAHANPUR,MIRJAPUR,Mixed Block,2,0,0,1
SHAHJAHANPUR,NIGOHI,Mixed Block,2,0,0,2
SHAHJAHANPUR,PUWAYA,Mixed Block,4,0,1,2
SHAHJAHANPUR,SINDHAULI,Isolated Decline,3,1,1,1
SHAHJAHANPUR,T.A.SHAHJAHANPUR,Mixed Block,2,0,0,0
SHAHJAHANPUR,TILHAR,Recovery Cluster,5,0,0,3
SHAMLI (PRABUDH NAGAR),KAIRANA,Mixed Block,4,1,1,2
SHAMLI (PRABUDH NAGAR),KANDHLA,Mixed Block,3,0,1,1
SHAMLI (PRABUDH NAGAR),KANDHLA [TOWN AREA],Isolated Decline,1,1,0,0
SHAMLI (PRABUDH NAGAR),OON,Recovery Cluster,7,1,2,3
SHAMLI (PRABUDH NAGAR),SHAMLI,Mixed Block,2,0,1,1
SHAMLI (PRABUDH NAGAR),THANABHAWAN,Mixed Block,4,0,1,0
SHRAWASTI,GILAULA,Mixed Block,4,0,0,2
SHRAWASTI,HARIHARPUR RANI,Growth Pocket,7,0,4,3
SHRAWASTI,IKAUNA,Recovery Cluster,5,0,1,3
SHRAWASTI,JAMUNHA,Mixed Block,4,0,0,1
SHRAWASTI,SIRSIYA,Growth Pocket,8,0,3,3
SIDDHARTHNAGAR,BANSI,Mixed Block,3,0,0,2
SIDDHARTHNAGAR,BARHANI,Mixed Block,2,0,1,1
SIDDHARTHNAGAR,BHANVAPUR,Mixed Block,1,0,0,0
SIDDHARTHNAGAR,BIRDPUR,Mixed Block,3,0,1,0
SIDDHARTHNAGAR,DUMARIYAGANJ,Mixed Block,4,0,0,2
SIDDHARTHNAGAR,ITAVA,Mixed Block,3,1,0,1
SIDDHARTHNAGAR,JOGIYA,Isolated Decline,1,1,0,0
SIDDHARTHNAGAR,KHESARAHA,Mixed Block,2,0,0,1
SIDDHARTHNAGAR,KHUNIYANV,Mixed Block,3,0,2,1
SIDDHARTHNAGAR,MITHAVAL,Mixed Block,1,0,0,1
SIDDHARTHNAGAR,NAUGARH,Mixed Block,4,0,0,1
SIDDHARTHNAGAR,SHOHARATGARH,Mixed Block,1,0,0,0
SITAPUR,ALIYA,Mixed Block,3,0,1,2
SITAPUR,BEHTA,Recovery Cluster,6,0,2,4
SITAPUR,BISWAN,Isolated Decline,3,1,1,1
SITAPUR,GONDLAMAU,Mixed Block,2,0,0,1
SITAPUR,HARGAON,Mixed Block,2,0,1,0
SITAPUR,KASMANDA,Mixed Block,2,0,1,0
SITAPUR,KHAIRABAD,Mixed Block,2,0,1,0
SITAPUR,LAHARPUR,Growth Pocket,3,0,3,0
SITAPUR,MACHHAREHTA,Mixed Block,3,0,0,2
SITAPUR,MAHMOODABAD,Growth Pocket,4,0,3,1
SITAPUR,MAHOLI,Mixed Block,2,0,1,1
SITAPUR,MISRIKH,Mixed Block,3,0,1,0
SITAPUR,N.K.BISWAN,Isolated Decline,1,1,0,0
SITAPUR,N.K.KHAIRABAD,Mixed Block,1,0,0,0
SITAPUR,N.K.SITAPUR,Mixed Block,2,0,0,0
SITAPUR,PAHALA,Mixed Block,4,0,2,1
SITAPUR,PARSENDI,Mixed Block,1,0,0,0
SITAPUR,PISAWAN,Mixed Block,4,0,2,0
SITAPUR,RAMPURMATHURA,Mixed Block,5,0,1,1
SITAPUR,REUSA,Mixed Block,2,0,1,1
SITAPUR,SAKARAN,Mixed Block,3,0,0,0
SITAPUR,SIDHAULI,Recovery Cluster,4,0,0,3
SONBHADRA,BABHANI,Recovery Cluster,4,0,1,3
SONBHADRA,CHATRA,Mixed Block,2,0,1,0
SONBHADRA,CHOPAN,Growth Pocket,8,1,3,2
SONBHADRA,DUDHI,Mixed Block,6,0,2,0
SONBHADRA,GHORAWAL,Mixed Block,7,0,2,0
SONBHADRA,MYORPUR,Recovery Cluster,9,0,1,7
SONBHADRA,NAGWA,Recovery Cluster,9,0,0,4
SONBHADRA,ROBERTSGANJ,Mixed Block,3,0,0,1
SULTANPUR,BALDIRAI,Mixed Block,3,0,0,2
SULTANPUR,BHADAIYAN,Mixed Block,5,0,0,2
SULTANPUR,DHANPATGANJ,Isolated Decline,2,1,1,0
SULTANPUR,DOSTPUR,Mixed Block,2,0,0,1
SULTANPUR,DUBEYPUR,Mixed Block,2,0,1,0
SULTANPUR,JAISINGHPUR,Mixed Block,2,1,0,0
SULTANPUR,KADIPUR,Mixed Block,1,0,0,1
SULTANPUR,KARAUNDI KALA,Mixed Block,1,0,0,0
SULTANPUR,KUREBHAR,Mixed Block,2,0,0,0
SULTANPUR,KURWAR,Mixed Block,2,2,0,0
SULTANPUR,MOTIGARPUR,Mixed Block,2,0,0,2
SULTANPUR,SULTANPUR CITY,Mixed Block,2,0,0,0
UNNAO,ASOHA,Mixed Block,1,0,0,0
UNNAO,AURAS,Mixed Block,5,0,1,1
UNNAO,BAGARMAU,Mixed Block,3,0,0,1
UNNAO,BICHHIYA,Mixed Block,2,1,0,1
UNNAO,BIGHAPUR,Mixed Block,2,0,0,0
UNNAO,CITI AREA,Mixed Block,2,1,0,0
UNNAO,FATEHPUR 84,Mixed Block,1,0,0,1
UNNAO,GANGMURADABAD,Mixed Block,2,0,1,0
UNNAO,HASANGANJ,Mixed Block,1,0,0,1
UNNAO,HILOULI,Mixed Block,3,0,1,1
UNNAO,MIYAGANJ,Mixed Block,2,0,0,1
UNNAO,NAVABGANJ,Mixed Block,5,1,0,2
UNNAO,PURWA,Mixed Block,2,0,1,0
UNNAO,SAFIPUR,Mixed Block,2,0,1,0
UNNAO,SIKANDERPUR KARN,Mixed Block,4,0,1,0
UNNAO,SIKANDERPUR SAROSI,Mixed Block,2,0,1,1
UNNAO,SUMERPUR,Mixed Block,1,0,0,1
VARANASI,ARAJILINES,Recovery Cluster,9,2,1,5
VARANASI,BARAGAON,Mixed Block,2,0,2,0
VARANASI,CHIRAIGAON,Mixed Block,3,0,2,0
VARANASI,CHOLAPUR,Mixed Block,2,0,1,0
VARANASI,HARHUA,Mixed Block,2,0,0,2
VARANASI,KASHIVIDYAPEETH,Mixed Block,2,0,0,1
VARANASI,NAGAR NIGAM,Mixed Block,2,2,0,0
VARANASI,NAGAR PALIKA RAMNAGAR,Mixed Block,2,0,0,1
VARANASI,PINDRA,Mixed Block,2,0,0,1
VARANASI,SEWAPURI,Recovery Cluster,5,0,0,4
