District,Block,Avg_Continuation_Ratio,Senior_Dropout_Schools,Senior_Collapse_Schools,Both_Growing_Schools
BALRAMPUR,PACHPERWA,0.0,0,1,0
BALRAMPUR,REHRA BAZAR,0.0,0,2,0
BALRAMPUR,SHRIDUTTGANJ,15.7,0,3,1
BALRAMPUR,TULSIPUR,0.0,0,3,0
BALRAMPUR,UTRAULA (MUN. CORP.),51.7,0,0,0
BANDA,BABERU,23.6,1,4,1
BANDA,BADOKHAR KHURD,19.2,0,4,1
BANDA,BISANDA,39.7,0,3,1
BANDA,JASPURA,0.0,0,3,0
BANDA,KAMASIN,53.0,0,2,2
BANDA,MAHUWA,11.5,0,4,1
BANDA,NAGAR KSHETRA,127.6,1,0,0
BANDA,NARAINI,35.9,0,5,1
BANDA,TINDWARI,32.1,0,4,0
BARABANKI,BANI KODAR,31.0,0,1,0
BARABANKI,BANKI,27.6,0,4,0
BARABANKI,BARABANKI CITY,108.3,0,0,0
BARABANKI,DARIYA BAD,0.0,0,1,0
BARABANKI,DEWA,80.8,0,1,0
BARABANKI,FATEH PUR,56.2,0,1,1
BARABANKI,HAIDAR GARH,36.1,0,2,0
BARABANKI,HARAKH,61.9,0,1,0
BARABANKI,MASAULI,52.2,0,2,0
BARABANKI,NINDURA,21.9,0,4,0
BARABANKI,PURE DALAI,38.9,0,1,0
BARABANKI,SIDDHAOR,0.0,0,1,0
BARABANKI,SIRAULI GAUSPUR,134.7,0,0,0
BARABANKI,SURAT GANJ,84.4,0,1,0
BARABANKI,TRIVEDI GANJ,64.8,0,1,1
BAREILLY,ALAMPUR,0.0,0,1,0
BAREILLY,AONLA,69.6,0,0,0
BAREILLY,BAHERI,55.5,0,4,0
BAREILLY,BAHERI TOWN,87.9,0,0,0
BAREILLY,BAREILLY TOWN,116.4,1,0,1
BAREILLY,BHADPURA,16.9,0,3,1
BAREILLY,BHOJIPURA,0.0,0,2,0
BAREILLY,BHUTA,28.2,0,2,1
BAREILLY,FARIDPUR,0.0,0,3,0
BAREILLY,FATEHGANJ,53.3,0,1,0
BAREILLY,KYARA,16.6,0,5,0
BAREILLY,MAJHGAWAN,19.1,0,4,0
BAREILLY,MIRGANJ,0.0,0,1,0
BAREILLY,NAWABGANJ,39.3,0,6,3
BAREILLY,RAMNAGAR,29.2,0,1,1
BAREILLY,RICHHA(DAMKHODA),74.9,0,1,2
BAREILLY,SHERGARH,45.1,0,2,1
BAREILLY,VITHARI CHAINPUR,46.1,0,2,2
BASTI,BAHADURPUR,0.0,0,4,0
BASTI,BASTI SADAR,0.0,0,1,0
BASTI,DUBAULIA,0.0,0,3,0
BASTI,GAUR,56.9,0,2,1
BASTI,HARRIYA,0.0,0,2,0
BASTI,KAPTANGANJ,0.0,0,1,0
BASTI,KUDRAHA,0.0,0,1,0
BASTI,PARSHURAMPUR,36.4,0,1,0
BASTI,RUDHOLI,84.3,0,0,0
BASTI,SALTOVA GOPALPUR,0.0,0,1,0
BASTI,TOWN AREA,105.2,0,0,0
BASTI,VIKRAMJOT,45.2,0,0,0
BHADOI,ABHOLI,0.0,0,4,0
BHADOI,AURAI,26.2,0,7,1
BHADOI,BHADOHI,0.0,0,8,0
BHADOI,DEEGH,14.7,0,6,1
BHADOI,GYANPUR,51.3,1,3,0
BHADOI,SURIYAVAN,0.0,0,5,0
BIJNOR,AAKU(NEHTOR),18.7,0,2,0
BIJNOR,AFZALGRAH,62.2,0,2,1
BIJNOR,ALLHEPUR(DHAMPUR),54.5,1,1,1
BIJNOR,BIJNOR(NAGAR),65.3,0,0,0
BIJNOR,BURHANPUR(SEOHARA),0.0,0,1,0
BIJNOR,DHAMPUR(NAGAR),74.8,0,0,1
BIJNOR,HALDAUR,31.5,0,2,0
BIJNOR,JALILPUR,79.2,0,0,0
BIJNOR,KIRATPUR,58.8,0,1,0
BIJNOR,KOTWALI,32.4,0,3,0
BIJNOR,MOHD.PUR DEVMAL,52.1,0,1,1
BIJNOR,NAJIBABAD,48.7,0,1,0
BIJNOR,NAJIBABAD(NAGAR),67.6,0,0,0
BUDAUN,AASAFPUR,0.0,0,1,0
BUDAUN,AMBIYAPUR,0.0,0,1,0
BUDAUN,BISAULI,41.9,0,2,0
BUDAUN,BUDAUN CITY,148.6,0,0,0
BUDAUN,DATAGANJ,68.4,0,0,1
BUDAUN,DEHGANWAN,33.4,1,1,0
BUDAUN,JAGAT,8.0,0,4,1
BUDAUN,MIAUN,0.0,0,1,0
BUDAUN,QADARCHOWK,26.9,0,3,2
BUDAUN,SAHASWAN CITY,57.4,0,0,1
BUDAUN,SALARPUR,56.8,0,2,0
BUDAUN,SAMRER,0.0,0,2,0
BUDAUN,UJHANI,38.9,0,2,0
BUDAUN,USAWAN,0.0,0,1,0
BUDAUN,WAZEERGANJ,31.7,0,2,0
BULANDSHAHR,AGAUTA,0.0,0,1,0
BULANDSHAHR,ANOOPSHAHAR,31.9,0,2,1
BULANDSHAHR,ARNIA,19.3,0,2,1
BULANDSHAHR,B.B.NAGAR,54.0,0,1,0
BULANDSHAHR,BULANDSHAHR,27.6,0,4,1
BULANDSHAHR,BULANDSHAR NAGAR,91.2,0,0,1
BULANDSHAHR,DANPUR,23.5,0,4,0
BULANDSHAHR,DEBAI,26.2,1,4,1
BULANDSHAHR,GULAOTI,97.6,0,1,0
BULANDSHAHR,JAHAGIRABAD,16.9,0,2,1
BULANDSHAHR,KHURJA,38.9,0,1,0
BULANDSHAHR,LAKHAWATI,38.6,0,1,0
BULANDSHAHR,PAHASU,33.8,0,2,1
BULANDSHAHR,SHIKARPUR,63.5,0,1,1
BULANDSHAHR,SIKANDRABAD,34.9,0,1,1
BULANDSHAHR,SYNA,0.0,0,1,0
BULANDSHAHR,UCHAGAON,25.4,0,2,1
CHANDAULI,BARAHANI,12.4,0,4,1
CHANDAULI,CHAHANIYA,0.0,0,1,0
CHANDAULI,CHAKIYA,26.2,0,3,1
CHANDAULI,CHANDAULI,0.0,0,4,0
CHANDAULI,NAUGARH,17.1,0,6,0
CHANDAULI,SAKALDIHA,89.8,0,0,1
CHANDAULI,SHAHABGANJ,0.0,0,4,0
CHITRAKOOT,CHITRAKOOT,10.0,0,4,1
CHITRAKOOT,CHITRAKOOT (URBAN),74.7,0,0,1
CHITRAKOOT,MANIKPUR,17.0,0,4,0
CHITRAKOOT,MAU,22.6,0,4,1
CHITRAKOOT,PAHADI,2.9,0,9,0
CHITRAKOOT,RAM NAGAR,41.6,0,1,0
DEORIA,BARAHAJ,0.0,0,3,0
