District,Block,Total_Schools,Decline_Schools,Low_Continuity_Schools,Girls_Declining_Schools,Avg_Growth_pct,Block_Zone,Priority_Action_Flag
BIJNOR,NAJIBABAD(NAGAR),1,1,0,0,-22.34,RED,True
SITAPUR,N.K.BISWAN,1,1,0,1,-22.38,RED,True
BAHRAICH,FAKHAR PUR,2,0,0,1,-22.64,RED,True
ETAWAH,ETAWAH NAGAR CHETRA,2,2,0,2,-22.72,RED,True
JALAUN,KADAURA,4,1,0,3,-22.96,RED,True
LALITPUR,LALITPUR,2,1,0,1,-23.11,RED,True
AZAMGARH,AZAMGRAH,1,0,0,1,-23.44,RED,True
ETAH,JALESAR,1,0,0,1,-23.58,RED,True
BALLIA,SOHAWN,1,0,0,1,-23.75,RED,True
HATHRAS,HATHRAS,2,0,0,2,-23.83,RED,True
BUDAUN,USAWAN,1,0,0,1,-23.94,RED,True
DEORIA,BHATNI,1,0,0,1,-24.14,RED,True
ETAH,ETAH (URBAN),2,1,0,1,-24.17,RED,True
BASTI,TOWN AREA,2,1,0,1,-24.19,RED,True
LALITPUR,MAHRONI,7,1,0,7,-24.39,RED,True
KANPUR NAGAR,SHASTRI NAGAR,1,1,0,1,-24.62,RED,True
BUDAUN,BUDAUN CITY,2,1,0,1,-25.12,RED,True
ALIGARH,GONDA,3,1,0,3,-25.66,RED,True
MEERUT,JANI,3,0,0,1,-25.81,RED,True
ALIGARH,NAGAR ATRAULI,1,1,0,1,-26.14,RED,True
FAIZABAD,MASAUDHA,1,1,0,1,-26.15,RED,True
ALIGARH,AKRABAD,1,0,0,1,-26.7,RED,True
PRATAPGARH,MANDHATA,2,1,0,2,-26.74,RED,True
BARABANKI,SIDDHAOR,1,1,0,1,-26.78,RED,True
KHERI,LAKHIMPUR,1,1,0,1,-27.33,RED,True
ALIGARH,ATRAULI,3,1,0,2,-27.59,RED,True
BIJNOR,KOTWALI,5,3,0,4,-27.68,RED,True
KANPUR DEHAT,AKBARPUR,1,0,0,1,-27.81,RED,True
