District,Block,School_ID,School_Name,Total_2223,Total_2526,Overall_Growth_pct,Risk_Score,Risk_Level,Decline_flag,Severe_Decline_flag,Low_Continuity_flag,Wide_Enroll_Spread_flag,Low_Enrollment_flag,Volatile_flag,Girls_Decline_flag,Gender_Imbalance_flag,Weak_Continuity_flag,Small_School_flag
HAPUR (PANCHSHEEL NAGAR),GARH MUKTESWAR,9750800405,GOVT INTER COLLEGE SHERPUR  HAPUR,118.0,65,-44.92,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No
HARDOI,MALLAWA,9250800605,ADARSH SHRISAD BAJIGANJ MALLAWAN,19.0,14,-26.32,10,HIGH RISK,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes
BAREILLY,BHOJIPURA,9201100403,GOVT. HIGH SCHOOL ALINAGAR,184.0,99,-46.2,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No
SAHARANPUR,BALIA KHEDI,9010802912,RAJKIYA HIGH SCHOOL SABDALPUR,115.0,62,-46.09,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No
MUZAFFARNAGAR,PURKAJI,9020402209,GOVT.HIGH SCHOOL TEJALHERA,84.0,50,-40.48,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No
BIJNOR,KOTWALI,9030811006,GOVE.GIRLS HIGH SCHOOL BUDHAWALA,96.0,53,-44.79,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No
BANDA,NARAINI,9400400109,GOVT. HIGH SCHOOL PAUHAR,80.0,53,-33.75,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No
MUZAFFARNAGAR,CHARTHAWAL,9020303907,GOVT INTER COLLEGE MUTHRA   MUZAFFARNAGAR,110.0,58,-47.27,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No
GORAKHPUR,SAHJANWA,9580500106,RAJKIY H. SCHOOL SIHAPAAR SAHJANWA,92.0,53,-42.39,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No
AMETHI - CSM NAGAR,TILOI,9732209101,RAJKIY HIGH SCHOOL SEMRAUTA,138.0,66,-52.17,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No
FAIZABAD,TARUN,9471101610,G . G . H . S . SCHOOL,62.0,23,-62.9,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes
MEERUT,MEERUT NAGAR,9071300918,SPARSH RAJKIYA DRASHTIBADHIT BALAK I.C.,66.0,42,-36.36,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes
BALLIA,NAGARA,9630210104,RAJKIYA UPS KHARUAV,107.0,72,-32.71,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No
MAHOBA,JAITPUR,9390207610,GOVT. GIRLS INTER COLLEGE KULPAHAR,99.0,46,-53.54,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes
RAE BARELI,CHHATOH,9282401707,GOV. GIRLS HIGHER SECONDERY CHHATOH,48.0,32,-33.33,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes
AGRA,BAH,9150302904,GOVT HSS BATESHWAR BAH,157.0,89,-43.31,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No
ALIGARH,BIJAULI,9120504604,RAJKEYA KANYA INTER COLLEGE DUTTA CHOLI,116.0,49,-57.76,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes
BAREILLY,NAWABGANJ,9200403804,GOVT SCHOOL PANDRI,33.0,19,-42.42,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes
MAINPURI,BEWAR,9180502405,G HIGH SCHOOL AMEHRA,91.0,63,-30.77,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No
