District,Block,School_ID,School_Name,Total_2223,Total_2526,Overall_Growth_pct,YoY_Latest,Block_Zone,Girls_Ratio_Improving,Upper_Class_Growing,Bright_Spot_Flag,Potential_Score,Potential_Tag,Investment_Worthy
MAINPURI,KARHAL,9180808904,GOVERMENT GIRLS INTER COLLEGE KHERA,50,145,190.0,9.85,YELLOW,False,True,False,3,Medium Potential,True
MAINPURI,SULTANGANJ,9180400203,GOVT.HIGH SCHOOL LEHRA,56,80,42.86,25.0,YELLOW,True,False,False,3,Medium Potential,True
MATHURA,BALDEO,9141004321,GOVERMENT GIRLS INTER COLLEGE  BALDEO,58,73,25.86,14.06,YELLOW,False,True,False,3,Medium Potential,True
MATHURA,BALDEO,9141003708,PT DEENDAYAL UPADHYAY GOV MODEL INTER COLLEGE BAROLI,123,189,53.66,8.0,YELLOW,False,True,False,3,Medium Potential,True
MATHURA,CHAUMUHAN,9140504205,PT DEENDAYAL UPADHYAY GOV MODEL INTER COLLEGE SIHANA,93,225,141.94,14.21,YELLOW,False,True,False,3,Medium Potential,True
MATHURA,CHHATA,9140402604,GOVT HIGH SCHOOL HUSAINI,52,65,25.0,20.37,YELLOW,True,False,False,3,Medium Potential,True
MATHURA,FARAH,9140201706,GOVT  GIRLS  INTER  COLLEGE PARKHAM,151,208,37.75,20.23,GREEN,False,True,False,3,Medium Potential,True
MATHURA,GOVERDHAN,9140303404,GOVT. HIGH SCHOOL BACHGAON,54,72,33.33,26.32,YELLOW,True,False,False,3,Medium Potential,True
MATHURA,GOVERDHAN,9140303304,PT DEENDAYAL UPADHYAY GOV MODEL INTER COLLEGE PADAL,75,102,36.0,12.09,YELLOW,False,True,False,3,Medium Potential,True
MATHURA,MANT,9140700311,PT.DEENDAYAL UPADHYAY GOVT. MODEL I.C KARAHARI MANT,144,152,5.56,-4.4,YELLOW,True,True,False,3,Medium Potential,True
MATHURA,MANT,9140704602,govt high school nagala dani,48,69,43.75,35.29,YELLOW,True,False,False,3,Medium Potential,True
MATHURA,MATHURA,9140109105,GOVT HIGH SCHOOL BHAINSA,79,100,26.58,12.36,GREEN,True,False,False,3,Medium Potential,True
MATHURA,MATHURA,9140103403,GOVT HIGH SCHOOL FAINCHARI,39,92,135.9,37.31,GREEN,True,False,False,3,Medium Potential,True
MATHURA,MATHURA,9140104518,PT DEEN DAYAL UPADHYAY GOVT MODEL INTER COLLEGE JAIT,173,258,49.13,12.17,GREEN,False,True,False,3,Medium Potential,True
MATHURA,NANDGAON,9140602510,PT DEENDAYAL UPADHYAY GOV MODEL INTER COLLEGE KAMAR,51,113,121.57,32.94,YELLOW,False,True,False,3,Medium Potential,True
MAU,GHOSI,9620504303,GOVT HIGH SCHOOL CHAK KUCHAI MAU,21,68,223.81,36.0,YELLOW,True,False,False,3,Medium Potential,True
MAU,RANIPUR,9620603604,GOVT HSS SULTANIPUR RANIPUR,57,134,135.09,52.27,GREEN,True,False,False,3,Medium Potential,True
MAU,RATANPURA,9620101608,Pt Deendayal Upadhyay Rajkiy Model Inter College Ailakh Mau,136,154,13.24,-21.03,YELLOW,True,True,False,3,Medium Potential,True
MEERUT,DAURALA,9070800123,GOVERNMENT HIGH SCHOOL KHIRWA NAUABAAD,63,84,33.33,18.31,YELLOW,True,False,False,3,Medium Potential,True
MEERUT,KHARKHODA,9070302104,GOVT INTER COLLEGE JASORA,52,258,396.15,7.5,YELLOW,False,True,False,3,Medium Potential,True
MEERUT,KHARKHODA,9070301402,GOVT. HIGH SCH. FAKHARPUR KABTTA,35,38,8.57,31.03,YELLOW,True,False,False,3,Medium Potential,True
MEERUT,KHARKHODA,9070301202,GOVT. HIGH SCH. ULDHAN,51,53,3.92,51.43,YELLOW,True,False,False,3,Medium Potential,True
AMETHI - CSM NAGAR,BHADAR,9732702403,RAJKIYA HIGH SCHOOL,31,56,80.65,64.71,YELLOW,True,False,False,3,Medium Potential,True
MEERUT,MEERUT,9070104802,GOVT. HIGH SCH. SOLANA,30,55,83.33,22.22,YELLOW,True,False,False,3,Medium Potential,True
