District,Total_Schools,Total_Blocks,Enroll_2223,Enroll_2324,Enroll_2425,Enroll_2526,Overall_Growth_pct,YoY_2223_2324,YoY_2324_2425,YoY_2425_2526,Girls_Growth_pct,Boys_Growth_pct,Avg_Continuity_8_9,Avg_Continuity_10_11,Avg_Continuity_11_12,Red_Blocks,Girls_Declining_Schools,District_Health_Tag,District_Rank
SHAMLI (PRABUDH NAGAR),21,6,3598,3697,3816,3912,8.73,2.75,3.22,2.52,19.73,43.86,570.34,59.34,103.46,1,7,Growing,42
MUZAFFARNAGAR,48,10,6397,6690,6480,6885,7.63,4.58,-3.14,6.25,23.43,31.78,570.34,59.34,103.46,3,21,Growing,43
MIRZAPUR,61,13,8998,9061,9237,9587,6.55,0.7,1.94,3.79,33.29,44.59,570.34,59.34,103.46,2,16,Growing,44
GONDA,26,15,4437,4604,4718,4705,6.04,3.76,2.48,-0.28,28.26,6.43,570.34,59.34,103.46,1,4,Growing,45
RAE BARELI,45,18,13467,14013,14390,14213,5.54,4.05,2.69,-1.23,10.91,20.85,570.34,59.34,103.46,3,19,Growing,46
RAMPUR,43,7,16333,16669,16856,17182,5.2,2.06,1.12,1.93,48.77,51.65,570.34,59.34,103.46,1,11,Growing,47
CHITRAKOOT,29,6,5579,5601,5643,5817,4.27,0.39,0.75,3.08,23.45,5.16,570.34,59.34,103.46,0,11,Growing,48
GHAZIPUR,29,15,7235,7315,7134,7513,3.84,1.11,-2.47,5.31,65.03,46.83,570.34,59.34,103.46,2,8,Growing,49
AGRA,40,16,7276,7379,7785,7525,3.42,1.42,5.5,-3.34,10.97,2.24,570.34,59.34,103.46,3,12,Growing,50
ETAH,25,10,4429,4260,4482,4525,2.17,-3.82,5.21,0.96,44.17,49.68,570.34,59.34,103.46,3,8,Growing,51
JALAUN,28,10,5385,5126,5398,5478,1.73,-4.81,5.31,1.48,19.38,3.84,570.34,59.34,103.46,1,12,Growing,52
VARANASI,31,10,13044,12346,12765,13182,1.06,-5.35,3.39,3.27,24.52,15.1,570.34,59.34,103.46,1,7,Growing,53
UNNAO,40,17,9278,9482,9468,9302,0.26,2.2,-0.15,-1.75,9.92,31.2,570.34,59.34,103.46,2,15,Growing,54
