District,Block,School_ID,School_Name,Overall_Growth_pct,Boys_Growth_pct,Girls_Growth_pct,C8_Change_pct,C9_Change_pct,C10_Change_pct,C11_Change_pct,C12_Change_pct,Gender_Driver,Class_Driver,Growth_Pattern_Tag,Model_School_Flag
ETAH,SAKEET,9171207019,PANDIT DEEN DAYAL UPADHYAY GOVT MODEL INTER COLLEGE MALAWAN ETAH,58.59,70.0,46.94,300.0,30.23,-2.33,,254.55,Boys-Led,Upper_Class_Growth,Boys-Led Upper Class Growth,True
SONBHADRA,GHORAWAL,9700401109,GOVT. INTER C. SIRSIYA THAKURAI KHAIRPUR,58.48,27.43,91.48,9.59,30.83,35.77,111.94,194.0,Girls-Led,Upper_Class_Growth,Girls-Led Upper Class Growth,True
KAUSHAMBI,MURATGANJ,9440605503,RAJKIY HIGH SCHOOL PALHANA KACHAR MURATGANJ,57.72,68.25,50.0,,58.54,56.72,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
LUCKNOW,SAROJNI NAGAR,9270708205,RAJKIYA VIDYALAYA HIGH SCHOOL SADRAUNA,56.6,72.13,35.56,,58.49,54.72,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
MIRZAPUR,KONE,9690701104,GOVT. U.M.V. BALLI PARWA,56.52,17.07,114.29,,69.44,42.42,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
PRATAPGARH,MANGRAURA,9431111005,GOVT. INTRE HOGHE SECONDARY SCHOOL,55.95,59.52,52.38,,70.73,41.86,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
KHERI,DHAURAHARA,9230300309,GOVT HS WALI,55.83,44.44,73.44,,51.58,61.76,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
LALITPUR,JAKHORA,9370301404,GHS MAINWARA,55.75,28.36,95.65,,83.33,-23.73,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
MUZAFFARNAGAR,BUDHANA,9020605701,GOVT INTER COLLEGE BIRAL  MUZAFFARNAGAR,55.56,22.22,97.22,-11.11,60.0,-79.17,611.11,20.59,Girls-Led,Upper_Class_Growth,Girls-Led Upper Class Growth,True
BULANDSHAHR,UCHAGAON,9110507203,PT DEENDAYAL UPADHYAY GOVT MODEL INTER COLLEGE TIMARPUR,55.22,65.75,42.62,322.22,311.11,-14.0,65.71,3.23,Boys-Led,Lower_Class_Growth,Boys-Led Lower Class Growth,True
