District,Block,School_ID,School_Name,Total_2223,Total_2324,Total_2425,Total_2526,Size_Tag,Size_Trend,Closure_Risk_Score,Closure_Risk_Tag
BUDAUN,SAMRER,9191109503,"GOVT. HIGH SCHOOL, HANSI GANJ",157,145,117,103,Small School,Getting Smaller,3,High Risk
BUDAUN,UJHANI,9190201510,"GOVT. HS SCHOOL,DEHMU",127,119,107,88,Small School,Getting Smaller,3,High Risk
BULANDSHAHR,DEBAI,9110807504,RAJKIYA HIGH SCHOOL GHOSIPURA,68,38,19,48,Very Small,Fluctuating,3,High Risk
BULANDSHAHR,UCHAGAON,9110505517,RAJKIYA HIGH SCHOOL,23,30,22,22,Micro School,Fluctuating,3,High Risk
CHANDAULI,SHAHABGANJ,9660602903,GHS KHAKHADA,51,54,52,40,Very Small,Fluctuating,3,High Risk
CHITRAKOOT,MANIKPUR,9410500910,GOVT. HIGH SCHOOL ETAWA DUDAILA,122,119,81,77,Small School,Getting Smaller,3,High Risk
DEORIA,BARAHAJ,9601703905,RAJKIY U.M.V.LABAKANI GANGA,119,109,96,73,Small School,Getting Smaller,3,High Risk
DEORIA,BHATNI,9600803917,RAJIYA U.M.V.BHARHE CHAURA,29,31,30,22,Micro School,Fluctuating,3,High Risk
DEORIA,LAR,9601404204,RAJKIY U.M.V.KUNDAULI,24,15,7,23,Micro School,Fluctuating,3,High Risk
DEORIA,PATTHRDEVA,9600503905,GOVT.H.S.SCHOOL MALGHOT BIRAICHA,37,32,25,22,Micro School,Getting Smaller,4,Critical
DEORIA,PATTHRDEVA,9600503804,R .UMV RAMPUR MAHUARI,114,94,61,47,Very Small,Getting Smaller,4,Critical
DEORIA,RUDRAPUR,9600701103,RAJKIYA U.M.V.GONAH SURTPURA,13,14,7,11,Micro School,Fluctuating,3,High Risk
DEORIA,SALIMPUR,9600405612,GOVT. G. INTER COLLEGE,14,15,10,11,Micro School,Fluctuating,3,High Risk
ETAH,JAITHARA,9170504504,GOVERNMENT HIGH SCHOOL LALPUR JAHANGIRABAD,30,15,7,22,Micro School,Fluctuating,3,High Risk
FAIZABAD,PURA,9470810609,GOVERNMENT HIGH SCHOOL BHADAULI,30,29,54,40,Very Small,Fluctuating,3,High Risk
FAIZABAD,TARUN,9471101610,G . G . H . S . SCHOOL,62,38,37,23,Micro School,Getting Smaller,4,Critical
FATEHPUR,AIRAYAN,9421003603,RAJKIYE U.M.V. IJURA KHURD,75,54,34,40,Very Small,Fluctuating,3,High Risk
FATEHPUR,BAHUA,9420705004,RAJKIYE H.S.MAHNA,35,19,30,23,Micro School,Fluctuating,3,High Risk
FATEHPUR,NAGAR FATEHPUR,9421400627,RAJKIYE U.M.VIDAYALAYE ANDULI,31,30,15,15,Micro School,Getting Smaller,3,High Risk
FIROZABAD,EKA,9160911107,GOVT. HIGH SCHOOL NAGLA KHEDA,32,27,36,43,Very Small,Fluctuating,3,High Risk
FIROZABAD,TUNDLA,9160300304,GOVT. HIGH SCHOOL DHIRPURA,70,46,33,35,Very Small,Fluctuating,3,High Risk
GHAZIPUR,MANIHARI,9650211707,GOVT GIRLS. U.M.V. BUZURGA,44,36,27,20,Micro School,Getting Smaller,4,Critical
GHAZIPUR,MANIHARI,9650215604,RAJKIYA U.M.V MADHUBAN GHAZIPUR,51,52,51,38,Very Small,Fluctuating,3,High Risk
GONDA,JHANJHRI,9530905604,ABHINAV VIDYALAY KANSAPUR,13,18,12,23,Micro School,Fluctuating,3,High Risk
GONDA,JHANJHRI,9530914403,G.H.S. DAULATPUR,78,66,63,53,Small School,Getting Smaller,3,High Risk
GORAKHPUR,BELGHAT,9581700303,RAJKIY H. SCHOOL LAKHUA PAKAD BELGHAT,42,33,29,30,Very Small,Fluctuating,3,High Risk
GORAKHPUR,PIPRAULI,9580104003,GOVT. HIGH SCHOOL KOLHUI PIPRAULI,52,46,39,31,Very Small,Getting Smaller,4,Critical
GORAKHPUR,SAHJANWA,9580500106,RAJKIY H. SCHOOL SIHAPAAR SAHJANWA,92,82,57,53,Small School,Getting Smaller,3,High Risk
HAMIRPUR (U.P.),SUMERPUR,9380201604,GOVT HSS TERHA,69,54,34,27,Very Small,Getting Smaller,4,Critical
HAPUR (PANCHSHEEL NAGAR),SIMBHAWALI,9750705303,GOVERENMENT INTER COLLEGE MURADPUR HAPUR,201,141,125,101,Small School,Getting Smaller,3,High Risk
HARDOI,BILGRAM,9251706507,GOVT. H.S.S. RAHULA BILGRAM,37,27,19,17,Micro School,Getting Smaller,4,Critical
HARDOI,MALLAWA,9250800605,ADARSH SHRISAD BAJIGANJ MALLAWAN,19,16,15,14,Micro School,Getting Smaller,4,Critical
HARDOI,SANDI,9251310901,"GOVT. HIGH SCHOOL, SHIV SINGH PURWA",65,55,39,42,Very Small,Fluctuating,3,High Risk
HARDOI,SHAHABAD,9251104105,R.U.M.V. BILHARI,132,120,67,41,Very Small,Getting Smaller,4,Critical
HARDOI,TONDARPUR,9251004808,GHSS DHANWAR,42,29,27,31,Very Small,Fluctuating,3,High Risk
HARDOI,TONDARPUR,9251001111,RAJKIYA HSS SIROMAN NAGAR,50,45,30,33,Very Small,Fluctuating,3,High Risk
JALAUN,KADAURA,9350301408,GOVT. HSS CHHAUNK,95,69,49,41,Very Small,Getting Smaller,4,Critical
