District,Block,School_ID,School_Name,Alert_ID,Alert_Type,Severity,Current_Value,Threshold,Year_Triggered
BALLIA,NAGARA,9630210104,RAJKIYA UPS KHARUAV,W10,MULTI-RISK ENROLLMENT,CRITICAL,10,8,2025-26
BALLIA,PANDAH,9630604004,RAJKIYA UPS EKAIL,W1,ENROLLMENT CRASH,CRITICAL,-22.7,-20,2025-26
BALLIA,PANDAH,9630604004,RAJKIYA UPS EKAIL,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-54.5,-20,2025-26
BALLIA,PANDAH,9630604004,RAJKIYA UPS EKAIL,W10,MULTI-RISK ENROLLMENT,CRITICAL,11,8,2025-26
BALLIA,RASARA,9630302508,RAJKIY BALIKA INTER COL. RASARA,W1,ENROLLMENT CRASH,CRITICAL,-22.1,-20,2025-26
BALLIA,RASARA,9630302508,RAJKIY BALIKA INTER COL. RASARA,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-22.1,-20,2025-26
BALRAMPUR,SHRIDUTTGANJ,9521600304,GOVT HIGH SCHOOL DEVRIYA MUBARAKPUR,W10,MULTI-RISK ENROLLMENT,CRITICAL,8,8,2025-26
BANDA,BISANDA,9400600610,G.G.I.C. KORRAHI,W1,ENROLLMENT CRASH,CRITICAL,-28.6,-20,2025-26
BANDA,JASPURA,9400800716,GOVT HIGH SCHOOL GADARIA,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-21.4,-20,2025-26
BANDA,NARAINI,9400405209,G.G.I.C. KARTAL,W10,MULTI-RISK ENROLLMENT,CRITICAL,8,8,2025-26
BANDA,NARAINI,9400403205,GOVT. HIGH SCHOOL MAHUI,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-53.3,-20,2025-26
BANDA,NARAINI,9400400109,GOVT. HIGH SCHOOL PAUHAR,W10,MULTI-RISK ENROLLMENT,CRITICAL,10,8,2025-26
BANDA,TINDWARI,9400202304,GOVT. HIGH SCHOOL GUGAULI,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-23.5,-20,2025-26
BARABANKI,BANKI,9460400139,GOVT HIGH SCHOOL BADEL BARABANKI,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-21.0,-20,2025-26
BARABANKI,HAIDAR GARH,9460608703,RAJKIYA U.M.V JARMAU HAIDARGARH,W10,MULTI-RISK ENROLLMENT,CRITICAL,9,8,2025-26
BARABANKI,MASAULI,9461003403,RAJKIYA U.M.V NYAMAT PUR,W1,ENROLLMENT CRASH,CRITICAL,-32.6,-20,2025-26
BARABANKI,MASAULI,9461003403,RAJKIYA U.M.V NYAMAT PUR,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-33.9,-20,2025-26
BARABANKI,SIDDHAOR,9461220701,RAJKIYA U.M.V ASDAMAU BELHARI SIDDHAUR,W10,MULTI-RISK ENROLLMENT,CRITICAL,8,8,2025-26
BAREILLY,ALAMPUR,9201711002,GOVT. SEC. SCHOOL KHULI,W1,ENROLLMENT CRASH,CRITICAL,-28.7,-20,2025-26
