District,Block,School_ID,School_Name,Enroll_2223,Enroll_2324,Enroll_2425,Enroll_2526,Had_Decline,Trough_Year,Trough_Value,Recovery_Amount,Recovery_pct,Recovery_Pattern,Recovery_Strength
BAHRAICH,MIHIN PURVA,9501110505,R.H. SCHOOL PARGAHWA,34,37,51,48,True,2022-23,34,14,41.18,Full Recovery,Strong
BAHRAICH,MIHIN PURVA,9501104004,R.H. SCHOOL URRA BAZAR,71,83,140,85,True,2022-23,71,14,19.72,Full Recovery,Moderate
BAHRAICH,NAGAR AREA,9501301904,RAJKEEYA INTER COLLEGE,469,461,526,545,True,2023-24,461,84,18.22,Strong Recovery,Moderate
BAHRAICH,NAWAB GANJ,9501204707,GOVT INTER COLLEGE LAKHAIYA KALAN,394,490,471,541,True,2022-23,394,147,37.31,Full Recovery,Strong
BAHRAICH,NAWAB GANJ,9501207210,GOVT.G. INTER COLEGE,154,105,186,197,True,2023-24,105,92,87.62,Strong Recovery,Strong
BAHRAICH,PAYAGPUR,9501400411,MAMRAJ GOV. GIRLS H.S. SCHOOL,251,235,264,264,True,2023-24,235,29,12.34,Full Recovery,Moderate
BAHRAICH,PAYAGPUR,9501401502,R HS GANGA PUR,75,75,106,96,True,2022-23,75,21,28.0,Full Recovery,Strong
BAHRAICH,RISIA,9500904603,R H SCHOOL BHOPATPUR CHAUKI,102,111,91,117,True,2024-25,91,26,28.57,Full Recovery,Strong
BAHRAICH,VISHESHWAR  GANJ,9501508303,R H SCHOOL GANGA JAMUNI VISHESHWARGANJ,200,197,228,337,True,2023-24,197,140,71.07,Strong Recovery,Strong
BAHRAICH,VISHESHWAR  GANJ,9501508301,R H SCHOOL VISHESHWARGANJ VISHESHWARGANJ,70,64,81,92,True,2023-24,64,28,43.75,Strong Recovery,Strong
BALLIA,BAIRIA,9631601818,G.G.I.C. BAIRIA,122,131,118,125,True,2024-25,118,7,5.93,Full Recovery,Weak
BALLIA,BANSDEEH,9630900117,G G I C BANSDEEH BALLIA,16,38,43,38,True,2022-23,16,22,137.5,Full Recovery,Strong
BALLIA,BELAHARI,9631503802,RAJKIYA U M V BASUDHARPAH,42,37,39,85,True,2023-24,37,48,129.73,Strong Recovery,Strong
BALLIA,CHILKAHAR,9630404605,RAJKIY U M V BACHAIPUR,106,101,149,149,True,2023-24,101,48,47.52,Full Recovery,Strong
BALLIA,GARWAR,9631102904,RAJKIYA UPS BISUKIA,58,44,73,78,True,2023-24,44,34,77.27,Strong Recovery,Strong
BALLIA,MURLI CHHAPRA,9631707602,RAJKIYA U.M.V TOLA BAJRAY BALLIA,19,16,35,35,True,2023-24,16,19,118.75,Full Recovery,Strong
BALLIA,RASARA,9630302403,RAJKIYA UPS ATHILA,80,62,66,72,True,2023-24,62,10,16.13,Strong Recovery,Moderate
BALLIA,REVATI,9631001603,RAJKIYA U.M.V. CHOUBEY CHAPARA REWATI,43,34,34,47,True,2023-24,34,13,38.24,Full Recovery,Strong
BALLIA,SEAR,9630102205,RAJKIYA U M V SHAHPUR AFAGA,52,33,52,68,True,2023-24,33,35,106.06,Strong Recovery,Strong
BALRAMPUR,BALRAMPUR,9522405404,GOVT. UCCHTAR MADHYMIC VIDYALAYA CHAKWA BALRAMPUR,60,55,66,73,True,2023-24,55,18,32.73,Strong Recovery,Strong
BALRAMPUR,GAINDAS BUZURG,9521703402,GOVT HIGH SCHOOL DEVARIYA JANALI,69,63,67,78,True,2023-24,63,15,23.81,Strong Recovery,Strong
BALRAMPUR,GAINSARI,9522312501,GOVT HIGH SCHOOL BAGHEL KHAND,129,107,109,125,True,2023-24,107,18,16.82,Strong Recovery,Moderate
BALRAMPUR,GAINSARI,9522300109,GOVT. INTER COLLEGE GAINSARI,581,579,636,701,True,2023-24,579,122,21.07,Strong Recovery,Strong
BALRAMPUR,PACHPERWA,9522206002,GOVT HIGH SCHOOL BISUNPUR VISRAM,52,45,69,70,True,2023-24,45,25,55.56,Strong Recovery,Strong
BALRAMPUR,REHRA BAZAR,9522806805,GOVT HIGH SCHOOL RUDHAULI BUZURG,45,40,40,47,True,2023-24,40,7,17.5,Full Recovery,Moderate
BALRAMPUR,SHRIDUTTGANJ,9521601002,GOVT. INTER COLLEGE DARICHAURA,290,251,337,381,True,2023-24,251,130,51.79,Strong Recovery,Strong
BALRAMPUR,TULSIPUR,9522004203,"GOVT. UCCATAR MADHYAMIC VIDYALAYA RAMGARH MAITAHAWA, BALRAMPUR",40,36,51,58,True,2023-24,36,22,61.11,Strong Recovery,Strong
BANDA,BABERU,9400509404,GOVT BALIKA I C BABERU,194,210,209,226,True,2022-23,194,32,16.49,Full Recovery,Moderate
BANDA,BABERU,9400500605,GOVT HIGH SCHOOL AHAR,57,34,59,127,True,2023-24,34,93,273.53,Strong Recovery,Strong
BANDA,BABERU,9400506702,GOVT HIGH SCHOOL PAKHARAULI,251,227,230,241,True,2023-24,227,14,6.17,Strong Recovery,Weak
BANDA,BABERU,9400502528,GOVT INTER COLLEGE MARKA ,222,459,515,508,True,2022-23,222,286,128.83,Full Recovery,Strong
BANDA,BADOKHAR KHURD,9400102522,G.I.C.MATAUNDH,787,698,824,813,True,2023-24,698,115,16.48,Full Recovery,Moderate
BANDA,BADOKHAR KHURD,9400104708,PT DEENDAYAL UPADHYAY RAJKEEY MODEL INTER COLLEGE PACHNEHI,272,251,265,325,True,2023-24,251,74,29.48,Strong Recovery,Strong
BANDA,BISANDA,9400604318,G.G.I.C. BISANDA,328,305,324,352,True,2023-24,305,47,15.41,Strong Recovery,Moderate
BANDA,BISANDA,9400601707,GANDHI GOVT COLLEGE ORAN,2630,2589,2729,2811,True,2023-24,2589,222,8.57,Strong Recovery,Weak
BANDA,BISANDA,9400603507,GOVT HIGH SCHOOL BHADEHDU,93,72,82,104,True,2023-24,72,32,44.44,Strong Recovery,Strong
BANDA,BISANDA,9400604707,GOVT. HIGH SCHOOL RANIPUR,84,72,85,109,True,2023-24,72,37,51.39,Strong Recovery,Strong
BANDA,JASPURA,9400800716,GOVT HIGH SCHOOL GADARIA,141,166,167,146,True,2022-23,141,5,3.55,Full Recovery,Weak
BANDA,KAMASIN,9400702207,GOVT HIGH SCHOOL  MAMSI KHURD,219,182,185,195,True,2023-24,182,13,7.14,Strong Recovery,Weak
BANDA,MAHUWA,9400301707,GIVT. INTER COLLEGE BILGAW,518,472,522,637,True,2023-24,472,165,34.96,Strong Recovery,Strong
BANDA,MAHUWA,9400300703,GOVT HIGH SCH. JAKHANI,51,44,63,79,True,2023-24,44,35,79.55,Strong Recovery,Strong
BANDA,NAGAR KSHETRA,9400900404,GIC BANDA,1372,1137,1226,1252,True,2023-24,1137,115,10.11,Strong Recovery,Moderate
BANDA,NARAINI,9400407204,G.I.C. KALINGER,660,648,698,832,True,2023-24,648,184,28.4,Strong Recovery,Strong
BANDA,NARAINI,9400402717,G.I.C.FATEH GANJ,607,516,584,619,True,2023-24,516,103,19.96,Strong Recovery,Moderate
BANDA,NARAINI,9400407007,GOVT. HIGH SCHOOL BIRAUNA,68,102,107,97,True,2022-23,68,29,42.65,Full Recovery,Strong
BANDA,TINDWARI,9400203608,G.I.C.PAILANI,1353,1195,1335,1463,True,2023-24,1195,268,22.43,Strong Recovery,Strong
BANDA,TINDWARI,9400204403,GOVT HIGH SCHOOL REHUNTA ,58,105,91,89,True,2022-23,58,31,53.45,Full Recovery,Strong
BARABANKI,BANI KODAR,9460500109,RAJKIYA INTER COLLEGE AHAMADPUR (MSDP),284,309,297,287,True,2022-23,284,3,1.06,Full Recovery,Weak
BARABANKI,BANI KODAR,9460511103,RAJKIYA U.M.V DHEMA,120,87,100,119,True,2023-24,87,32,36.78,Strong Recovery,Strong
BARABANKI,BANKI,9460402406,Govt high school Bhanauli Barabanki,200,192,213,217,True,2023-24,192,25,13.02,Strong Recovery,Moderate
BARABANKI,BANKI,9461011101,RAJKIYA INTER COLLEGE SHABPUR (MSDP),469,439,477,541,True,2023-24,439,102,23.23,Strong Recovery,Strong
BARABANKI,BANKI,9460407105,RAJKIYA U.M.V RASOOLPUR HOUSE,156,129,197,223,True,2023-24,129,94,72.87,Strong Recovery,Strong
BARABANKI,BARABANKI CITY,9461621202,RAJKIYA GIRLS INTER COLLEGE,1702,1692,1794,1733,True,2023-24,1692,41,2.42,Full Recovery,Weak
BARABANKI,DEWA,9460300108,GOVT. G. INTER COLLEGE DEWA,837,858,928,921,True,2022-23,837,84,10.04,Full Recovery,Moderate
BARABANKI,DEWA,9460306205,RAJKIYA U.M.V MITTAI,336,343,334,380,True,2024-25,334,46,13.77,Full Recovery,Moderate
BARABANKI,FATEH PUR,9460106303,GOVT. GIRLS INTER COLLEGE FATEHPUR,733,726,737,759,True,2023-24,726,33,4.55,Strong Recovery,Weak
BARABANKI,HAIDAR GARH,9460603507,G H S  CHAUBISI BARABANKI,126,112,114,123,True,2023-24,112,11,9.82,Strong Recovery,Weak
BARABANKI,HAIDAR GARH,9460614502,RAJKIYA U.M.V SUBEHA,745,822,816,828,True,2022-23,745,83,11.14,Full Recovery,Moderate
BARABANKI,HARAKH,9461109908,RAJKIYA K.INTER COLLGE SATRIKH,644,650,684,659,True,2022-23,644,15,2.33,Full Recovery,Weak
BARABANKI,PURE DALAI,9460704103,RAJKEEY U.M.V PUREDALAI,99,70,82,119,True,2023-24,70,49,70.0,Strong Recovery,Strong
BARABANKI,SURAT GANJ,9460805708,RAJ. INTER COLLEGE SURATGANJ,1948,1897,2032,2069,True,2023-24,1897,172,9.07,Strong Recovery,Weak
BARABANKI,TRIVEDI GANJ,9461306504,RAJKIYA U.M.V KABOOLPUR TRIVEDIGANJ,206,227,218,219,True,2022-23,206,13,6.31,Full Recovery,Weak
BARABANKI,TRIVEDI GANJ,9461307705,RAJKIYA U.M.V POKHRA,993,830,1006,1105,True,2023-24,830,275,33.13,Strong Recovery,Strong
BAREILLY,ALAMPUR,9201711002,GOVT. SEC. SCHOOL KHULI,65,100,108,77,True,2022-23,65,12,18.46,Full Recovery,Moderate
BAREILLY,BAHERI,9201409603,GOVT. HIGH SCHOOL SIYATHERI,49,53,59,54,True,2022-23,49,5,10.2,Full Recovery,Moderate
BAREILLY,BAREILLY TOWN,9201904905,GOVT. GIRLS INTER COLLEGE BAREILLY,1825,1960,1994,1873,True,2022-23,1825,48,2.63,Full Recovery,Weak
BAREILLY,BHOJIPURA,9201106803,GOVT. HIGH SCHOOL DALPATPUR,175,172,172,178,True,2023-24,172,6,3.49,Full Recovery,Weak
BAREILLY,BHUTA,9200310603,GOVT. HIGH SCHOOL INAYATPUR,110,120,115,135,True,2022-23,110,25,22.73,Full Recovery,Strong
BAREILLY,FARIDPUR,9201506103,GOVT. HIGH SCHOOL KARTAULI,40,39,70,86,True,2023-24,39,47,120.51,Strong Recovery,Strong
BAREILLY,FARIDPUR,9201505404,GOVT. HIGH SCHOOL SHIVPURI,207,191,221,226,True,2023-24,191,35,18.32,Strong Recovery,Moderate
BAREILLY,FATEHGANJ,9200703103,GOVT. SEC. SCHOOL NARA FARIDAPUR,29,35,36,33,True,2022-23,29,4,13.79,Full Recovery,Moderate
BAREILLY,KYARA,9200808702,GOVT. HIGH SCHOOL NANDGAON,68,60,69,78,True,2023-24,60,18,30.0,Strong Recovery,Strong
BAREILLY,KYARA,9200801302,GOVT. HIGH SCHOOL NAVI NAGAR,144,150,129,145,True,2024-25,129,16,12.4,Full Recovery,Moderate
