District,Block,School_ID,School_Name,Overall_Growth_pct,Girls_Growth_pct,Boys_Growth_pct,All_Reasons_Detected,Primary_Reason,Confidence_Level,Classes_Affected,Genders_Affected
BALRAMPUR,BALRAMPUR,9522411303,"GOVT. UCCHATAR MADHYMIC VIDYALAYA, RAMNAGRA, BALRAMPUR",-6.25,11.76,-19.57,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10",Boys
BALRAMPUR,GAINSARI,9522304102,GOVT. UCCHATAR MADHYAMIC VIDYALAYA CHAPIYA SUKHRAMPUR,-18.12,-30.65,-9.2,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,C9,"Girls, Boys"
BALRAMPUR,REHRA BAZAR,9522804908,"RAJKIYA UCCHATAR MADHYAMIC VIDYALAYA, SAHJAURA, REHRA BAZAR",-18.78,-20.67,-12.77,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BALRAMPUR,SHRIDUTTGANJ,9521600304,GOVT HIGH SCHOOL DEVRIYA MUBARAKPUR,-33.89,-25.81,-42.53,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BALRAMPUR,SHRIDUTTGANJ,9521605808,GOVT HIGH SVHOOL CHAMRUPUR,-11.11,-19.05,16.67,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,C10,Girls
BALRAMPUR,SHRIDUTTGANJ,9521602703,GOVT. UCCATAR MADHYMIC VIDYALAYA SHIVPUR MAHANT,-13.1,25.0,-41.67,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10",Boys
BALRAMPUR,TULSIPUR,9522006204,"GOVT. UCCHATAR MADHYMIC VIDYALAYA, HARHATA, TULSIPUR",-18.97,-5.0,-28.7,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,C10,"Girls, Boys"
BALRAMPUR,UTRAULA (MUN. CORP.),9523000112,GOVT. GIRLS HIGHER SECONDARY SCHOOL,-14.05,-14.05,,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Upper Class Only Decline",Higher Education Transition Issue,HIGH,"C10, C11, C12",Girls
BANDA,BABERU,9400505604,GOVT HIGH SCHOOL SIMAUNI,-10.27,-17.95,-1.47,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BANDA,BADOKHAR KHURD,9400102204,GOVT HIGH SCH. HATHAUDA,-25.86,-12.0,-36.36,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BANDA,BADOKHAR KHURD,9400101407,GOVT HIGH SCHOOL CHAHITARA,-19.83,16.33,-46.27,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,C10,Boys
BANDA,BADOKHAR KHURD,9400100604,GOVT HIGH SCHOOL KHAIRADA,-8.26,-3.51,-13.46,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,C10,"Girls, Boys"
BANDA,BISANDA,9400600610,G.G.I.C. KORRAHI,-56.58,-26.32,-95.49,"Migration/Population Shift, Economic/Child Labour",Migration/Population Shift,MEDIUM,"C9, C10, C11, C12","Girls, Boys"
BANDA,JASPURA,9400801005,GOVT HIGH SCH. BAREHTA,-16.56,-23.75,-8.45,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,C10,"Girls, Boys"
BANDA,JASPURA,9400802406,GOVT HIGH SCH. SABADA,-23.48,-20.0,-26.67,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BANDA,KAMASIN,9400700113,GGIC KAMASIN,-25.47,-25.47,,Undetermined,Undetermined,LOW,"C9, C10, C11, C12",Girls
BANDA,KAMASIN,9400702207,GOVT HIGH SCHOOL  MAMSI KHURD,-10.96,-8.62,-13.59,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BANDA,MAHUWA,9400301604,GOVT. HIGH SCHOOL ADHRORI,-35.06,-20.0,-51.35,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BANDA,NAGAR KSHETRA,9400900404,GIC BANDA,-8.75,,-8.75,"Higher Education Transition Issue, Upper Class Only Decline",Higher Education Transition Issue,HIGH,"C10, C12",Boys
BANDA,NAGAR KSHETRA,9400902302,GOVT GILS INT COLLEGE BANDA,-27.24,-27.24,,Undetermined,Undetermined,LOW,"C8, C9, C10, C11, C12",Girls
BANDA,NARAINI,9400405209,G.G.I.C. KARTAL,-34.24,-22.54,-43.73,"Migration/Population Shift, Economic/Child Labour",Migration/Population Shift,MEDIUM,"C9, C10, C11, C12","Girls, Boys"
BANDA,NARAINI,9400402408,GOVT. HIGH SCHOOL JABARA PUR,-20.19,-7.55,-33.33,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BANDA,NARAINI,9400403205,GOVT. HIGH SCHOOL MAHUI,-20.34,-53.33,13.79,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C9, C10",Girls
BANDA,NARAINI,9400400109,GOVT. HIGH SCHOOL PAUHAR,-33.75,-22.22,-39.62,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BANDA,NARAINI,9400406207,GOVT.HIGH SCHOOL BARUA KALINGER,-46.26,-39.73,-52.7,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BANDA,TINDWARI,9400210110,G.G.I.C.TINDWARI,-20.66,-20.66,,Undetermined,Undetermined,LOW,"C9, C10, C11, C12",Girls
BANDA,TINDWARI,9400200209,GOVT. HIGH SCHOOL JAMUWAN,-13.24,-37.14,12.12,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C9, C10",Girls
BANDA,TINDWARI,9400201707,GOVT.HIGH SCHOOL AMLIKAUR,-13.93,-12.0,-15.28,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,C9,"Girls, Boys"
BARABANKI,BANKI,9460400139,GOVT HIGH SCHOOL BADEL BARABANKI,-9.36,-29.67,13.75,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,C10,Girls
BARABANKI,BANKI,9460406615,RAJIKIYA U.M.V RAMPUR JAHANGIRA BAD,-16.37,-15.59,-17.31,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BARABANKI,BANKI,9460403405,RAJKIYA U.M.V BAROLIJATA,-25.18,-24.15,-26.15,Migration/Population Shift,Migration/Population Shift,MEDIUM,"C8, C9, C10, C12","Girls, Boys"
BARABANKI,DARIYA BAD,9460903202,Govt high school Danapur kayampur Barabanki,-12.12,7.14,-33.87,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,C10,Boys
BARABANKI,HAIDAR GARH,9460608703,RAJKIYA U.M.V JARMAU HAIDARGARH,-25.78,-20.69,-30.0,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BARABANKI,HARAKH,9461110119,RAJKIYA BALIKA NTER COLLEGE  JAIDPUR MSDPalika ,-20.51,-20.51,,Undetermined,Undetermined,LOW,"C8, C9, C10",Girls
BARABANKI,HARAKH,9461110903,RAJKIYA U.M.V MOHDIPUR CHAKSAR,-14.36,-6.06,-22.33,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BARABANKI,MASAULI,9461010302,GOVERNMENT GIRLS INTER COLLEGE,-33.89,-33.89,,Undetermined,Undetermined,LOW,"C9, C10, C11",Girls
BARABANKI,MASAULI,9461003403,RAJKIYA U.M.V NYAMAT PUR,-27.47,-9.76,-42.0,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BARABANKI,NINDURA,9461404803,GOVT HIGH SCHOOL SAMARDA,-6.1,3.5,-19.42,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,C9,Boys
BARABANKI,NINDURA,9461405803,Govt high school Kaji behta Barabanki,-20.08,-22.58,-17.74,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BARABANKI,NINDURA,9461408803,RAJKIYA U.M.V BADAIDEEH,-36.97,-45.61,-26.8,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Infrastructure/External Shock",Social/Gender Barrier,HIGH,"C9, C10","Girls, Boys"
BARABANKI,SIDDHAOR,9461220701,RAJKIYA U.M.V ASDAMAU BELHARI SIDDHAUR,-26.78,-13.19,-40.22,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,C10,"Girls, Boys"
BARABANKI,SURAT GANJ,9460808806,RAJKIYA U.M.V CHHEDA,-29.89,-19.48,-38.14,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BAREILLY,BAHERI,9201410803,GOVT. HIGH SCHOOL TANDA CHHANGA,-12.5,-53.33,23.53,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C9, C10",Girls
BAREILLY,BAHERI TOWN,9201300412,GOVT. GIRLS INTER COLLEGE BAHERI,-6.03,-6.03,,Undetermined,Undetermined,LOW,"C8, C10, C12",Girls
BAREILLY,BAREILLY TOWN,9201910704,GOVT. INTER COLLEGE BAREILLY,-19.88,,-19.98,Undetermined,Undetermined,LOW,"C8, C9, C10, C11, C12",Boys
BAREILLY,BHADPURA,9200604320,GOVT. GIRLS HIGH SCHOOL KYOLARIYA,-32.16,-34.44,-29.63,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BAREILLY,BHADPURA,9200603205,GOVT. HIGH SCHOOL JYOTI JAGIR,-25.82,-17.28,-32.67,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BAREILLY,BHOJIPURA,9201100403,GOVT. HIGH SCHOOL ALINAGAR,-46.2,-22.45,-54.81,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BAREILLY,FATEHGANJ,9200700205,GOVT INTER COLLEGE AGRAS,-16.15,-13.01,-20.12,Migration/Population Shift,Migration/Population Shift,HIGH,"C8, C9, C10, C11, C12","Girls, Boys"
BAREILLY,KYARA,9200800106,GOVT. GIRLS HIGH SCHOOL KYARA,-20.72,-16.06,-26.32,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BAREILLY,MAJHGAWAN,9201006424,GOVT. INTER COLLEGE VISHARATGANJ,-22.74,-20.59,-23.9,Migration/Population Shift,Migration/Population Shift,HIGH,"C8, C9, C10, C11, C12","Girls, Boys"
BAREILLY,NAWABGANJ,9200403804,GOVT SCHOOL PANDRI,-42.42,11.11,-62.5,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10",Boys
BAREILLY,NAWABGANJ,9200406003,GOVT. HIGH SCHOOL BADHEPURA,-12.0,0.0,-21.05,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10",Boys
BAREILLY,NAWABGANJ,9200405205,GOVT. HIGH SCHOOL BIJAMAU,-16.42,17.54,-41.56,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10",Boys
BAREILLY,NAWABGANJ,9200402804,PT DEENDYAL UPADHYAY RAJKIYA MODEL INTER COLLEGE TAYARJAGIR NAWABGANJ BAREILLY,-23.86,-16.67,-31.85,"Migration/Population Shift, Economic/Child Labour",Migration/Population Shift,MEDIUM,"C8, C9, C10, C12","Girls, Boys"
BAREILLY,RAMNAGAR,9200104004,GOVT. HIGH SCHOOL VRATHANPUR,-21.62,0.0,-42.11,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,C10,Boys
BAREILLY,RICHHA(DAMKHODA),9200500108,GOVT. INTER COLLEGE RICHHA,-7.2,1.75,-14.71,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,"C8, C10, C11",Boys
BAREILLY,VITHARI CHAINPUR,9201800908,GOVT. HIGH SCHOOL BITHRI CHAINPUR BAREILLY,-25.85,-30.43,-22.91,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BASTI,GAUR,9550518709,GOVT HR SEC PIPRAHIA,-37.5,-41.07,-31.25,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BASTI,GAUR,9550518707,GOVT HR SEC VIDYALAY MEHDIYA KHADAK BAHADUR SINGH,-41.54,-37.14,-46.67,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BASTI,GAUR,9550518708,GOVT KANYA INTER COL KACHIYA,-32.97,-33.52,,"Low Enrollment at Board Class Boundary, Infrastructure/External Shock",Low Enrollment at Board Class Boundary,HIGH,"C10, C12",Girls
BASTI,PARSHURAMPUR,9551209803,PANDIT DEEN DAYAL UPADHYAY RAJKEEYA MODEL INTER COLLEGE SHRINGINAARI BASTI,-13.64,-13.18,-14.11,"Migration/Population Shift, Low Enrollment at Board Class Boundary",Low Enrollment at Board Class Boundary,HIGH,"C8, C10, C12","Girls, Boys"
BASTI,TOWN AREA,9551404605,GOVT INTER COLLEGE BASTI,-29.64,,-29.64,Undetermined,Undetermined,LOW,"C8, C9, C10, C11, C12",Boys
BASTI,TOWN AREA,9551404606,GOVT KANYA INTER COLL BASTI,-18.74,-18.74,,Undetermined,Undetermined,LOW,"C8, C9, C10, C11, C12",Girls
BHADOI,ABHOLI,9710700106,GOVT. HIGH SCHOOL ABHOLI,-21.95,-33.71,-8.0,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C9, C10","Girls, Boys"
BHADOI,ABHOLI,9710700803,GOVT. HIGH SCHOOL KURHWA,-16.67,-31.91,2.7,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,C10,Girls
BHADOI,AURAI,9710405002,GOVT. HIGH SCHOOL CHAKVEERA,-39.74,-44.21,-32.79,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C9, C10","Girls, Boys"
BHADOI,AURAI,9710428804,P.D.D.U. GOVT. GIRLS INTER COLLEGE MAHARAJGANJ,-9.06,-9.06,,Undetermined,Undetermined,LOW,"C9, C10",Girls
BHADOI,BHADOHI,9710117503,GOVT. HIGH SCHOOL AJAYPUR,-38.26,-35.19,-40.98,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BHADOI,BHADOHI,9710109803,GOVT. HIGH SCHOOL KANDHIYA,-26.29,-23.17,-29.03,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BHADOI,BHADOHI,9710103503,GOVT. HIGH SCHOOL PARGASPUR,-39.85,-37.97,-42.59,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BHADOI,DEEGH,9710511303,GOVT. HIGH SCHOOL DASHARAMPATTI,-18.75,-8.57,-31.03,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BHADOI,DEEGH,9710510803,GOVT. HIGH SCHOOL NAGARDAH,-62.16,-69.23,-58.33,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C9, C10","Girls, Boys"
BHADOI,GYANPUR,9710217803,GOVT. HIGH SCHOOL SARAI MISHRANI,-12.35,-8.14,-17.11,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,C9,"Girls, Boys"
BHADOI,SURIYAVAN,9710311004,GOVT. HIGH SCHOOL ABHIYA,-31.36,-28.57,-32.89,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BIJNOR,AFZALGRAH,9030109405,GOVT ADARSH INTER COLLAGE,-29.31,-2.38,-32.28,"Migration/Population Shift, Economic/Child Labour",Migration/Population Shift,HIGH,"C8, C9, C10, C11, C12","Girls, Boys"
BIJNOR,AFZALGRAH,9030109406,GOVT GIRLS I.C. AFZALGARH,-10.88,-11.18,,Undetermined,Undetermined,LOW,"C8, C9, C10, C12",Girls
BIJNOR,AFZALGRAH,9030101608,GOVT NAVRATAN INTER COLLAGE,-17.02,-17.11,-16.92,"Migration/Population Shift, Low Enrollment at Board Class Boundary",Migration/Population Shift,MEDIUM,"C9, C10, C11","Girls, Boys"
BIJNOR,AFZALGRAH,9030102505,RAJKIYA ADARSH JANTA INTER COLLEGE SHAHPUR JAMAL ,-38.34,-41.8,-34.71,Migration/Population Shift,Migration/Population Shift,HIGH,"C8, C9, C10, C11, C12","Girls, Boys"
BIJNOR,ALLHEPUR(DHAMPUR),9030210703,GOVT GIRLS INTER COLLAGE SARKA,-45.61,-46.05,,Low Enrollment at Board Class Boundary,Low Enrollment at Board Class Boundary,MEDIUM,"C8, C10, C11, C12",Girls
BIJNOR,ALLHEPUR(DHAMPUR),9030208202,RAKIYA INTER COLLEGE KUWDI PURA,-16.67,-17.19,-16.14,Migration/Population Shift,Migration/Population Shift,HIGH,"C8, C9, C10, C11, C12","Girls, Boys"
BIJNOR,BIJNOR(NAGAR),9031203905,RAJKIYA INTER COLLEGE BIJNOR,-27.75,,-27.75,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C8, C9, C10, C11, C12",Boys
BIJNOR,BIJNOR(NAGAR),9031203904,RAJKIYA KANYA INTER COLLEGE,-12.58,-12.58,,Undetermined,Undetermined,LOW,"C8, C9, C10, C11, C12",Girls
BIJNOR,HALDAUR,9030501608,RAJKEEYA GIRLS INTER COLLEGE JHALU,-19.06,-19.06,,Undetermined,Undetermined,LOW,"C8, C9, C10, C11, C12",Girls
BIJNOR,HALDAUR,9030503603,RAJKIYA HIGH SCHOOL PRATHVIPUR,-8.64,-34.04,26.47,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,C9,Girls
BIJNOR,JALILPUR,9030604402,GOVT GRILS INTER COLLEGE LUHARPURA,-21.49,-21.49,,"Higher Education Transition Issue, Upper Class Only Decline",Higher Education Transition Issue,HIGH,"C10, C11, C12",Girls
BIJNOR,KIRATPUR,9030704706,G.G.I.C. KIRATPUR,-38.55,-38.55,,Undetermined,Undetermined,LOW,"C8, C9, C10, C11, C12",Girls
BIJNOR,KIRATPUR,9030708103,RAJKEEY INTER COLLEGE BEGAMPUR SHADI,-13.18,-16.62,-8.7,Migration/Population Shift,Migration/Population Shift,MEDIUM,"C8, C9, C10, C11","Girls, Boys"
BIJNOR,KIRATPUR,9030703406,RAJKIYA HIGHSCHOOL PADALA,-46.74,-44.64,-50.0,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BIJNOR,KOTWALI,9030801307,GOV. HIGH SCHOOL MUNAWWARPUR SAID,-16.67,2.86,-44.0,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,C10,Boys
BIJNOR,KOTWALI,9030811006,GOVE.GIRLS HIGH SCHOOL BUDHAWALA,-44.79,-23.4,-65.31,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BIJNOR,KOTWALI,9030806511,GOVT GIRL INTER COLLEGE BARHNAPUA,-21.85,-21.85,,Undetermined,Undetermined,LOW,"C8, C9, C10, C11, C12",Girls
BIJNOR,KOTWALI,9030840102,PANDIT DEENDYAL UPADHAYA RAJKIYA MODEL INTER COLEGE BENIPUR KOPA,-26.93,-11.54,-39.38,"Low Enrollment at Board Class Boundary, Economic/Child Labour",Low Enrollment at Board Class Boundary,MEDIUM,"C9, C10","Girls, Boys"
BIJNOR,KOTWALI,9030811315,RAJKIYA HIGH SCHOOL,-28.14,-23.44,-33.98,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BIJNOR,NAJIBABAD,9031006410,PT DEENDAYAL UPADHAYA RAJKIYE MODEL INTER COLLEGE SABALGARH BIJNOR,-20.22,-19.57,-20.86,Undetermined,Undetermined,LOW,"C9, C10","Girls, Boys"
BIJNOR,NAJIBABAD,9031014203,RAJKIYA HIGH SCHOOL  JATTIWALA,-70.3,-75.44,-63.64,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C9, C10","Girls, Boys"
BIJNOR,NAJIBABAD(NAGAR),9031602431,GOVT INTER COLLEGE,-22.34,,-22.34,Undetermined,Undetermined,LOW,"C9, C10, C12",Boys
BUDAUN,AMBIYAPUR,9191303203,"GOVT. HIGH SCHOOL, SATAITI",-17.54,-25.4,-7.84,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C9, C10","Girls, Boys"
BUDAUN,BISAULI,9191600142,"GOVT. GIRLS INTER COLLEGE,BISOULI",-12.34,-12.34,,Undetermined,Undetermined,LOW,"C9, C10, C11",Girls
BUDAUN,BISAULI,9191600150,"GOVT. HIGH SCHOOL, KARANPUR",-28.57,-39.53,-11.11,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C9, C10","Girls, Boys"
BUDAUN,BISAULI,9191603004,PT. DEENDAYAL UPADHAY GOVT. MODEL INTER COLLEGE NOORPUR,-60.0,-36.63,-72.32,"Migration/Population Shift, Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Migration/Population Shift,HIGH,"C8, C9, C10, C11, C12","Girls, Boys"
BUDAUN,BUDAUN CITY,9192100288,GOVT. GIRLS INTER COLLEGE,-11.46,-11.46,,Undetermined,Undetermined,LOW,"C8, C9, C10",Girls
BUDAUN,BUDAUN CITY,9192100333,GOVT. INTER COLLEGE,-38.78,,-38.78,Undetermined,Undetermined,LOW,"C8, C9, C10, C11, C12",Boys
BUDAUN,JAGAT,9190600117,GOVT. HIGH SCHOOL JAGAT,-6.45,-17.39,5.88,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,C9,Girls
BUDAUN,MIAUN,9191004103,"GOVT. GIRLS HIGH SCHOOL, MANSA NAGLA",-7.14,-25.71,23.81,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Infrastructure/External Shock",Social/Gender Barrier,HIGH,C10,Girls
BUDAUN,SALARPUR,9190400305,PT.  DEENDAYAL UPADHYAY GOVT MODEL INTER COLLEGE ARSIS BARKHIN,-8.36,0.0,-14.1,Economic/Child Labour,Economic/Child Labour,MEDIUM,"C9, C10",Boys
BUDAUN,SAMRER,9191109503,"GOVT. HIGH SCHOOL, HANSI GANJ",-34.39,-50.0,-23.66,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C9, C10","Girls, Boys"
BUDAUN,UJHANI,9190201510,"GOVT. HS SCHOOL,DEHMU",-30.71,-31.37,-30.26,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
BUDAUN,UJHANI,9190201511,"GOVT. HS SCHOOL,SIKANDRABAD",-28.17,2.86,-58.33,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,C9,Boys
BUDAUN,USAWAN,9190903606,"GOVT. HIGH SCHOOL, BHUNDI",-23.94,-20.29,-26.05,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,C10,"Girls, Boys"
BULANDSHAHR,BULANDSHAHR,9110104605,RAJKIYA HIGH SCH JALKHERA,-12.5,25.0,-50.0,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,C9,Boys
BULANDSHAHR,BULANDSHAHR,9110104703,RAJKIYA INTER COLLEGE,-11.96,-17.48,-4.94,"Migration/Population Shift, Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Upper Class Only Decline",Higher Education Transition Issue,HIGH,"C10, C11, C12","Girls, Boys"
BULANDSHAHR,DANPUR,9110303604,PT DEENDAYAL UPADHYAY GOVT MODEL INTER COLLEGE KANHERA,-9.2,4.82,-21.98,"Higher Education Transition Issue, Economic/Child Labour, Upper Class Only Decline",Higher Education Transition Issue,HIGH,"C10, C11, C12",Boys
BULANDSHAHR,DEBAI,9110807504,RAJKIYA HIGH SCHOOL GHOSIPURA,-29.41,36.0,-67.44,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour",Higher Education Transition Issue,HIGH,"C9, C10",Boys
BULANDSHAHR,SHIKARPUR,9110200115,G.G.I.C.,-20.79,-20.79,,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C8, C9, C11, C12",Girls
