District,Block,School_ID,School_Name,Overall_Growth_pct,Girls_Growth_pct,Boys_Growth_pct,All_Reasons_Detected,Primary_Reason,Confidence_Level,Classes_Affected,Genders_Affected
ALIGARH,KHAIR,9120805602,RAJKEYA  INTER COLLEGE  AHROLA KHAIR,-20.71,-26.37,-14.1,"Migration/Population Shift, Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Social/Gender Barrier,HIGH,"C8, C9, C11, C12","Girls, Boys"
ALIGARH,KHAIR,9120802203,VIKRAM VIDHYA MANDIR RAJKEYA INTER COLLEGE BANKNER KHAIR,-21.81,-21.6,-22.01,Migration/Population Shift,Migration/Population Shift,MEDIUM,"C9, C10, C11","Girls, Boys"
ALIGARH,NAGAR ATRAULI,9121403616,RAJKEYA KANYA INTER COLLEGE ATRAULI,-26.14,-26.14,,Undetermined,Undetermined,LOW,"C8, C9, C10, C11, C12",Girls
AMBEDKAR NAGAR,AKBARPUR,9480110905,G G I C AKBARPUR,-44.72,-44.72,,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C8, C10, C11, C12",Girls
AMBEDKAR NAGAR,AKBARPUR,9480107905,GOVT INTER COLLEGE AKBARPUR,-19.51,-21.69,-17.28,"Migration/Population Shift, Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10, C11","Girls, Boys"
AMBEDKAR NAGAR,BASKHARI,9480200403,GOVT HIGHER SEC SCH LAKHANPUR,-33.33,-35.0,-30.56,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C9, C10","Girls, Boys"
AMBEDKAR NAGAR,JAHANGIRGANJ,9480709005,GOVT HIGHER SEC SCH AHIRAULI RANIMAU,-7.38,32.26,-35.63,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Economic/Child Labour, Infrastructure/External Shock",Higher Education Transition Issue,HIGH,C9,Boys
AMBEDKAR NAGAR,RAMNAGAR,9480814201,SMT SUMITRA DEVI SHUKLA GOVT GIRLS INTER COLLEGE ALAPUR,-25.66,-25.66,,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,"C10, C11, C12",Girls
AMBEDKAR NAGAR,TANDA,9480908706,GOVT HIGHER SEC SCH DIHWA MOHIUDDINPUR,-12.31,-15.62,-9.09,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,C10,"Girls, Boys"
AMBEDKAR NAGAR,TANDA,9480900604,GOVT HIGHER SEC SCH FARIDPUR KUTUB,-11.81,-16.67,-9.41,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary",Higher Education Transition Issue,HIGH,C10,"Girls, Boys"
