District,Block,School_ID,School_Name,C8,C9,C10,C11,C12,Total,Min_Class,Max_Class,Avg_Class_Size,Imbalance_Ratio,Under_Enrolled_Classes,Overcrowded_Classes,Dominant_Class,Class_Strength_Tag
AGRA,M.C.AGRA CITY,9151711940,GOVT. INTER COLLEGE SHAHGANJ AGRA,135,223,277,291,407,1333,135,407,266.6,3.01,0,5,Class 12,Overcrowded
AGRA,PINAHAT,9151300704,RAJKIYA HIGH SCHOOL SAVORA,0,31,24,0,0,55,0,31,11.0,31000.0,3,0,Class 9,Ghost Classes
AGRA,SAIYAN,9151405312,GOVT. HIGH SCHOOL TEHRA SAIYAN,0,34,24,0,0,58,0,34,11.6,34000.0,3,0,Class 9,Ghost Classes
AGRA,SHAMSHABAD,9151507604,"GOVT. HIGH SCHOOL, JAI NAGAR",0,67,67,0,0,134,0,67,26.8,67000.0,3,2,Class 9,Ghost Classes
AGRA,SHAMSHABAD,9151508107,RAJKIYA HIGH SCHOOL KOLARA KALAN,0,37,37,0,0,74,0,37,14.8,37000.0,3,0,Class 9,Ghost Classes
ALIGARH,AKRABAD,9120205303,RAJKIY HIGH SCHOOL KATHERA,0,71,69,0,0,140,0,71,28.0,71000.0,3,2,Class 9,Ghost Classes
ALIGARH,ATRAULI,9120306904,RAJKEYA INTER COLLEGE SAHNOL  ATRAULI,0,31,44,53,71,199,0,71,39.8,71000.0,1,1,Class 12,Severely Imbalanced
ALIGARH,ATRAULI,9120305202,RAJKEYA KANYA  INTER COLLEGE  NARONA,21,63,111,55,76,326,21,111,65.2,5.29,0,3,Class 10,Overcrowded
ALIGARH,ATRAULI,9120305706,RAJKEYA KANYA INTER COLLEGE CHANDAULA,0,101,115,73,66,355,0,115,71.0,115000.0,1,4,Class 10,Overcrowded
ALIGARH,BIJAULI,9120502307,Pt Deendayal Upadhyay Govt Model Inter College Badesara,19,33,49,23,24,148,19,49,29.6,2.58,0,0,Class 10,Imbalanced
ALIGARH,BIJAULI,9120504604,RAJKEYA KANYA INTER COLLEGE DUTTA CHOLI,0,1,22,5,21,49,0,22,9.8,22000.0,3,0,Class 10,Ghost Classes
ALIGARH,CHANDAUS,9120708307,KIRAN DEVI RAJKEYA INTER COLLEGE BAMOTI,0,29,59,45,44,177,0,59,35.4,59000.0,1,0,Class 10,Severely Imbalanced
ALIGARH,CHANDAUS,9120703804,Pt Deendayal Upadhyay Govt Model Inter College,53,64,46,30,66,259,30,66,51.8,2.2,0,2,Class 12,Overcrowded
ALIGARH,CHANDAUS,9120708603,RAJKEYA HIGH SCHOOL PORAI CHANDAUS,0,22,29,0,0,51,0,29,10.2,29000.0,3,0,Class 10,Ghost Classes
ALIGARH,CHANDAUS,9120701402,RAJKEYA KANYA INTER COLLEGE DEORAU MOD,0,56,47,56,67,226,0,67,45.2,67000.0,1,1,Class 12,Severely Imbalanced
ALIGARH,DHANIPUR,9120101303,RAJKEYA HIGH SCHOOL RAHSUPUR DHANIPUR,0,42,52,0,0,94,0,52,18.8,52000.0,3,0,Class 10,Ghost Classes
ALIGARH,DHANIPUR,9120103509,RAJKEYA KANYA INTER COLLEGE KALAI,24,32,49,34,45,184,24,49,36.8,2.04,0,0,Class 10,Imbalanced
ALIGARH,GANGIRI,9120409603,RAJKEY HIGH SCHOOL NAVIPUR,0,11,8,0,0,19,0,11,3.8,11000.0,4,0,Class 9,Ghost Classes
ALIGARH,GANGIRI,9120402514,RAJKEYA HIGH SCHOOL GANGIRI ALIGARH,0,33,42,0,0,75,0,42,15.0,42000.0,3,0,Class 10,Ghost Classes
ALIGARH,GANGIRI,9120401935,RAJKEYA KANYA INTER COLLEGE CHHARA,5,19,31,10,9,74,5,31,14.8,6.2,2,0,Class 10,Ghost Classes
ALIGARH,GONDA,9121108003,GAYATRI DEEVI RAJKEY INTER COLLEGE  GORAI,36,45,58,36,71,246,36,71,49.2,1.97,0,1,Class 12,Balanced
ALIGARH,GONDA,9121109505,Pt Deendayal Upadhyay Govt Model Inter College Tamotia,25,29,30,36,23,143,23,36,28.6,1.57,0,0,Class 11,Balanced
ALIGARH,GONDA,9121108012,SMT SAROJ SINGH RASTREYA I.C.GORAI,52,125,117,92,103,489,52,125,97.8,2.4,0,4,Class 9,Overcrowded
ALIGARH,IGLAS,9121207805,GOVT. HIGH SCHOOL JAWAR,0,72,73,0,0,145,0,73,29.0,73000.0,3,2,Class 10,Ghost Classes
ALIGARH,IGLAS,9121206027,RAJKEY KANYA INTER COLLEGE,31,62,75,37,41,246,31,75,49.2,2.42,0,2,Class 10,Overcrowded
ALIGARH,IGLAS,9121200701,RAJKEYA HIGH SCHOOL RAITPUR IGLAS,0,30,20,0,0,50,0,30,10.0,30000.0,3,0,Class 9,Ghost Classes
ALIGARH,JAWAN,9120610205,ABHINAY VIDHYALAY CHHLESAR,14,5,1,0,0,20,0,14,4.0,14000.0,4,0,Class 8,Ghost Classes
ALIGARH,JAWAN,9120611803,GHS PIPLAUTH,0,63,40,0,0,103,0,63,20.6,63000.0,3,1,Class 9,Ghost Classes
ALIGARH,JAWAN,9120601315,GOVERNTMENT INTER COLLEGE BARAULI,0,24,36,25,0,85,0,36,17.0,36000.0,2,0,Class 10,Ghost Classes
ALIGARH,JAWAN,9120609204,RAJKEY KANYA INTER OLLEGE GODHA JAWAN,0,51,72,54,77,254,0,77,50.8,77000.0,1,2,Class 12,Overcrowded
ALIGARH,JAWAN,9120601603,RAJKEYA HIGH SCHOOL KHURD KHERA JAWAN,0,25,26,0,0,51,0,26,10.2,26000.0,3,0,Class 10,Ghost Classes
ALIGARH,KHAIR,9120805708,Pt Deendayal Upadhyay Govt Model Inter College kherasattu,28,60,57,50,37,232,28,60,46.4,2.14,0,0,Class 9,Imbalanced
ALIGARH,KHAIR,9120805602,RAJKEYA  INTER COLLEGE  AHROLA KHAIR,25,8,46,27,28,134,8,46,26.8,5.75,1,0,Class 10,Severely Imbalanced
ALIGARH,KHAIR,9120802203,VIKRAM VIDHYA MANDIR RAJKEYA INTER COLLEGE BANKNER KHAIR,0,59,65,46,81,251,0,81,50.2,81000.0,1,2,Class 12,Overcrowded
ALIGARH,LODHA,9121005012,GOVERNMENT HIGH SCHOOL RORAVAR ALIGARH,0,48,18,0,0,66,0,48,13.2,48000.0,3,0,Class 9,Ghost Classes
ALIGARH,LODHA,9121000503,RAJKEYA HIGH SCHOOL SINGHARPUR,0,123,136,0,0,259,0,136,51.8,136000.0,3,2,Class 10,Ghost Classes
ALIGARH,NAGAR ALIGARH,9121306092,GOVERNMENT HIGH SCHOOL BHUJPURA,0,1,5,0,0,6,0,5,1.2,5000.0,5,0,Class 10,Ghost Classes
ALIGARH,NAGAR ALIGARH,9121307839,NAURANGI LAL RAJKIYA INTER COLLEGE,130,300,301,198,234,1163,130,301,232.6,2.32,0,5,Class 10,Overcrowded
ALIGARH,NAGAR ALIGARH,9121307973,RAJKEYA KANYA INTER COLLEGE,136,255,245,263,243,1142,136,263,228.4,1.93,0,5,Class 11,Overcrowded
ALIGARH,NAGAR ATRAULI,9121403616,RAJKEYA KANYA INTER COLLEGE ATRAULI,60,155,133,154,176,678,60,176,135.6,2.93,0,4,Class 12,Overcrowded
ALIGARH,TAPPAL,9120906504,RAJKEYA HIGH SCHOOL SIMROTHI TAPPAL,0,52,32,0,0,84,0,52,16.8,52000.0,3,0,Class 9,Ghost Classes
ALIGARH,TAPPAL,9120911213,SMT REVATI GOYAL RAJKEYA KANYA I.C. JATTA,21,32,34,18,19,124,18,34,24.8,1.89,0,0,Class 10,Balanced
AMBEDKAR NAGAR,AKBARPUR,9480110905,G G I C AKBARPUR,0,18,22,10,18,68,0,22,13.6,22000.0,1,0,Class 10,Severely Imbalanced
AMBEDKAR NAGAR,AKBARPUR,9480103707,GOVT GIRLS INTER COLLEGE BEWANA,0,96,94,97,97,384,0,97,76.8,97000.0,1,4,Class 11,Overcrowded
AMBEDKAR NAGAR,AKBARPUR,9480114803,GOVT HIGHER SEC SCH KAHARA SULEMPUR,0,41,29,0,0,70,0,41,14.0,41000.0,3,0,Class 9,Ghost Classes
AMBEDKAR NAGAR,AKBARPUR,9480106311,GOVT HIGHER SEC SCH RAMPUR SAKARWARI,0,27,8,0,0,35,0,27,7.0,27000.0,4,0,Class 9,Ghost Classes
AMBEDKAR NAGAR,AKBARPUR,9480107905,GOVT INTER COLLEGE AKBARPUR,0,84,135,68,109,396,0,135,79.2,135000.0,1,4,Class 10,Overcrowded
AMBEDKAR NAGAR,AKBARPUR,9480101909,Pt Deendayal Upadhyay Govt Model Inter College Jafarganj,7,74,41,43,34,199,7,74,39.8,10.57,1,1,Class 9,Severely Imbalanced
AMBEDKAR NAGAR,AKBARPUR,9480100906,SAVITRI BAI FULE GOVT. GIRLS INTER COLLEGE,0,92,99,98,111,400,0,111,80.0,111000.0,1,4,Class 12,Overcrowded
AMBEDKAR NAGAR,BASKHARI,9480200403,GOVT HIGHER SEC SCH LAKHANPUR,0,38,26,0,0,64,0,38,12.8,38000.0,3,0,Class 9,Ghost Classes
AMBEDKAR NAGAR,BASKHARI,9480210203,RAJKIYA HIGHER SEC SCH00L TARAULI MUBARAKPUR,0,39,11,0,0,50,0,39,10.0,39000.0,3,0,Class 9,Ghost Classes
AMBEDKAR NAGAR,BHEETI,9480308014,GOVT GIRLS INTER COLLEGE BHEETI,0,50,72,16,24,162,0,72,32.4,72000.0,1,1,Class 10,Severely Imbalanced
AMBEDKAR NAGAR,BHIYAON,9480404812,GOVERNMENT GIRLS HIGH SCHOOL RATNA BHIYAON A.N.,0,84,45,0,0,129,0,84,25.8,84000.0,3,1,Class 9,Ghost Classes
