District,Block,School_ID,School_Name,Total_2223,Total_2526,Boys_2223,Girls_2223,Boys_2526,Girls_2526,Girls_pct_2223,Girls_pct_2324,Girls_pct_2425,Girls_pct_2526,Gender_Dominance_Tag,Direction_Change,Concern_Flag
SITAPUR,BEHTA,9240204505,GOVT. SECONDRY SCHOOL RIHAR,103,116,51,52,59,57,50.5,48.5,47.3,49.1,Balanced,Stable,False
SITAPUR,BEHTA,9240209103,GOVT.HIGHER SECONDARY SCHOOL RAIGHATA,34,49,24,10,21,28,29.4,38.9,47.4,57.1,Slightly Girls Heavy,Moving to Girls Dominant,False
SITAPUR,BEHTA,9240210005,GOVT.Higher Secondary School JuaPurva,56,41,21,35,16,25,62.5,70.6,68.6,61.0,Slightly Girls Heavy,Stable,False
SITAPUR,BEHTA,9240200405,RAJKIYA U.M.V. BHADFAR,165,156,94,71,93,63,43.0,47.4,48.5,40.4,Slightly Boys Heavy,Stable,False
SITAPUR,BEHTA,9240212801,RAJKIYA U.M.V. BHAVANIPUR,22,54,11,11,24,30,50.0,66.7,51.2,55.6,Slightly Girls Heavy,Stable,False
SITAPUR,BISWAN,9240307905,RAJKIYA INTER COLLEGE JANUVA BISWAN,125,624,57,68,312,312,54.4,49.5,47.7,50.0,Balanced,Stable,False
SITAPUR,BISWAN,9240304103,RAJKIYA U.M.V. KYOTI BADULLAH,148,100,76,72,52,48,48.6,47.8,47.2,48.0,Balanced,Stable,False
SITAPUR,BISWAN,9240301402,RAJKIYA U.M.V. PIPRAKALA,108,117,64,44,64,53,40.7,36.0,34.9,45.3,Balanced,Stable,False
SITAPUR,GONDLAMAU,9240406403,GOVT.HIGHER SECONDARY SCHOOL KUCHKAI,205,188,95,110,95,93,53.7,53.2,50.0,49.5,Balanced,Stable,False
SITAPUR,GONDLAMAU,9240402203,RAJKIYA UCHHTAR MADHYMAIK SCHOOL DEVRIKAIL,55,67,25,30,36,31,54.5,40.8,54.8,46.3,Balanced,Stable,False
SITAPUR,HARGAON,9240506605,GOVT. H.S. VAJEERPUR,73,74,44,29,44,30,39.7,47.4,43.8,40.5,Slightly Boys Heavy,Stable,False
SITAPUR,HARGAON,9240503602,GOVT. HIGH SCHOOL SALARPUR,152,180,83,69,93,87,45.4,49.4,51.7,48.3,Balanced,Stable,False
SITAPUR,KASMANDA,9240600103,GOVT. GIRLS INTER COLLEGE KAMLAPUR,656,899,0,656,0,899,100.0,100.0,100.0,100.0,Girls Only School,Stable,False
SITAPUR,KASMANDA,9240600906,GOVT. HIGHER SECONDARY SCHOOL BHITHAULI,189,205,79,110,93,112,58.2,52.4,52.2,54.6,Balanced,Stable,False
SITAPUR,KHAIRABAD,9240700104,GOVT.H.S. SCHOOL SIPAH SITAPUR U.P,86,112,19,67,56,56,77.9,56.2,51.9,50.0,Balanced,Moving to Boys Dominant,True
SITAPUR,KHAIRABAD,9240701601,RAJKIYA U.M.V CHILVARA,110,105,53,57,54,51,51.8,54.9,55.5,48.6,Balanced,Stable,False
SITAPUR,LAHARPUR,9240802503,Pt Deen Dayal Upadhyay Rajkiya Model Inter College Patwara,219,413,127,92,248,165,42.0,44.7,44.1,40.0,Slightly Boys Heavy,Stable,False
SITAPUR,LAHARPUR,9240810601,RAJKIYA BALIKA INTER COLLEGE LAHARPUR,227,378,0,227,0,378,100.0,100.0,100.0,100.0,Girls Only School,Stable,False
SITAPUR,LAHARPUR,9240800811,RAJKIYA INTER COLLEGE GANESHPUR NEVADA LAHARPUR,17,413,8,9,267,146,52.9,39.3,35.1,35.4,Slightly Boys Heavy,Moving to Boys Dominant,True
SITAPUR,MACHHAREHTA,9240902713,RAJKIYA INTER COLLEGE - MACHREHTA,339,455,181,158,253,202,46.6,47.8,45.6,44.4,Slightly Boys Heavy,Stable,False
SITAPUR,MACHHAREHTA,9240904704,RAJKIYA U.M.V. BANIAMAU,62,58,34,28,27,31,45.2,59.5,65.2,53.4,Balanced,Stable,False
SITAPUR,MACHHAREHTA,9240908303,RAJKIYA U.M.V. BHITHORA,90,102,50,40,47,55,44.4,50.7,55.4,53.9,Balanced,Stable,False
SITAPUR,MAHMOODABAD,9241010002,GGIC MAHMOODABAD,694,616,0,694,0,616,100.0,100.0,100.0,100.0,Girls Only School,Stable,False
SITAPUR,MAHMOODABAD,9241012202,GOVT INTER COLLEGE LAILKHURD MAHMUDABAD,28,166,16,12,83,83,42.9,49.2,55.2,50.0,Balanced,Stable,False
SITAPUR,MAHMOODABAD,9241003905,GOVT.HIGHER SECONDARY SCHOOL LALPUR,41,109,17,24,34,75,58.5,61.4,73.5,68.8,Slightly Girls Heavy,Moving to Girls Dominant,False
SITAPUR,MAHMOODABAD,9241008803,Pt Deen Dayal Upadhyay Rajkiya Model Inter College Judaura Pac hdevra Chaubepur,132,260,69,63,141,119,47.7,46.0,46.1,45.8,Balanced,Stable,False
SITAPUR,MAHOLI,9241101730,RAJKIYA BALIKA INTER COLLEGE MAHOLI,467,437,0,467,1,436,100.0,100.0,100.0,99.8,Girls Only School,Stable,False
SITAPUR,MAHOLI,9241107705,RAJKIYA U.M.V. RAJVAPUR,43,149,26,17,98,51,39.5,45.0,47.0,34.2,Slightly Boys Heavy,Stable,False
SITAPUR,MISRIKH,9241200109,GOVT. GIRLS INTER COLLEGE MISHRIKH,670,842,0,670,0,842,100.0,100.0,99.9,100.0,Girls Only School,Stable,False
SITAPUR,MISRIKH,9241202303,RAJKIYA BALIKA UCCHTAR MADHYAMIK SCH. BADHAIYA,89,114,40,49,47,67,55.1,57.4,58.8,58.8,Slightly Girls Heavy,Stable,False
