District,Block,School_ID,School_Name,Alert_ID,Alert_Type,Severity,Current_Value,Threshold,Year_Triggered
ALIGARH,JAWAN,9120609204,RAJKEY KANYA INTER OLLEGE GODHA JAWAN,W4,GIRLS ENROLLMENT DROP,HIGH,-12.7,-10,2025-26
ALIGARH,JAWAN,9120609204,RAJKEY KANYA INTER OLLEGE GODHA JAWAN,W9,4-YEAR ENROLLMENT DECLINE,HIGH,Consistent Decline,Consistent Decline,2025-26
ALIGARH,KHAIR,9120805602,RAJKEYA  INTER COLLEGE  AHROLA KHAIR,W5,CONTINUITY COLLAPSE,CRITICAL,32.0,60,2025-26
ALIGARH,KHAIR,9120802203,VIKRAM VIDHYA MANDIR RAJKEYA INTER COLLEGE BANKNER KHAIR,W9,4-YEAR ENROLLMENT DECLINE,HIGH,Consistent Decline,Consistent Decline,2025-26
ALIGARH,NAGAR ALIGARH,9121307839,NAURANGI LAL RAJKIYA INTER COLLEGE,W7,GENDER DESERT,HIGH,0.0,0.2,2025-26
ALIGARH,NAGAR ATRAULI,9121403616,RAJKEYA KANYA INTER COLLEGE ATRAULI,W9,4-YEAR ENROLLMENT DECLINE,HIGH,Consistent Decline,Consistent Decline,2025-26
AMBEDKAR NAGAR,AKBARPUR,9480110905,G G I C AKBARPUR,W2,ENROLLMENT DECLINE,HIGH,-10.5,-10,2025-26
AMBEDKAR NAGAR,AKBARPUR,9480110905,G G I C AKBARPUR,W4,GIRLS ENROLLMENT DROP,HIGH,-10.5,-10,2025-26
AMBEDKAR NAGAR,AKBARPUR,9480107905,GOVT INTER COLLEGE AKBARPUR,W1,ENROLLMENT CRASH,CRITICAL,-22.7,-20,2025-26
AMBEDKAR NAGAR,AKBARPUR,9480107905,GOVT INTER COLLEGE AKBARPUR,W4,GIRLS ENROLLMENT DROP,HIGH,-19.4,-10,2025-26
AMBEDKAR NAGAR,JALALPUR,9480605504,GOVT HIGHER SEC SCH BASIYA,W4,GIRLS ENROLLMENT DROP,HIGH,-10.8,-10,2025-26
AMBEDKAR NAGAR,KATEHARI,9480502308,GOVT HIGHER SEC SCH PAHITIPUR,W4,GIRLS ENROLLMENT DROP,HIGH,-10.6,-10,2025-26
AMBEDKAR NAGAR,RAMNAGAR,9480814201,SMT SUMITRA DEVI SHUKLA GOVT GIRLS INTER COLLEGE ALAPUR,W9,4-YEAR ENROLLMENT DECLINE,HIGH,Consistent Decline,Consistent Decline,2025-26
AMETHI - CSM NAGAR,AMETHI,9730208001,GGIC AMETHI,W2,ENROLLMENT DECLINE,HIGH,-19.9,-10,2025-26
AMETHI - CSM NAGAR,AMETHI,9730208001,GGIC AMETHI,W4,GIRLS ENROLLMENT DROP,HIGH,-19.9,-10,2025-26
AMETHI - CSM NAGAR,AMETHI,9730208001,GGIC AMETHI,W9,4-YEAR ENROLLMENT DECLINE,HIGH,Consistent Decline,Consistent Decline,2025-26
AMETHI - CSM NAGAR,BAHADURPUR,9732500101,GGIC JAIS,W1,ENROLLMENT CRASH,CRITICAL,-26.4,-20,2025-26
AMETHI - CSM NAGAR,BAHADURPUR,9732500101,GGIC JAIS,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-26.4,-20,2025-26
AMETHI - CSM NAGAR,BAHADURPUR,9732502201,GIC FURSATGANJ,W2,ENROLLMENT DECLINE,HIGH,-11.1,-10,2025-26
AMETHI - CSM NAGAR,BAHADURPUR,9732502201,GIC FURSATGANJ,W4,GIRLS ENROLLMENT DROP,HIGH,-10.4,-10,2025-26
AMETHI - CSM NAGAR,BAHADURPUR,9732502201,GIC FURSATGANJ,W9,4-YEAR ENROLLMENT DECLINE,HIGH,Consistent Decline,Consistent Decline,2025-26
AMETHI - CSM NAGAR,GAURIGANJ,9731904502,GGIC GAURIGANJ,W2,ENROLLMENT DECLINE,HIGH,-15.2,-10,2025-26
AMETHI - CSM NAGAR,GAURIGANJ,9731904502,GGIC GAURIGANJ,W4,GIRLS ENROLLMENT DROP,HIGH,-15.2,-10,2025-26
AMETHI - CSM NAGAR,JAGDISHPUR,9730106203,GOVT H S MANGRAULI JAGDISHPUR,W2,ENROLLMENT DECLINE,HIGH,-15.9,-10,2025-26
AMETHI - CSM NAGAR,JAGDISHPUR,9730106203,GOVT H S MANGRAULI JAGDISHPUR,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-28.1,-20,2025-26
AMETHI - CSM NAGAR,JAGDISHPUR,9730106203,GOVT H S MANGRAULI JAGDISHPUR,W9,4-YEAR ENROLLMENT DECLINE,HIGH,Consistent Decline,Consistent Decline,2025-26
AMETHI - CSM NAGAR,JAGDISHPUR,9730106203,GOVT H S MANGRAULI JAGDISHPUR,W10,MULTI-RISK ENROLLMENT,CRITICAL,9,8,2025-26
AMETHI - CSM NAGAR,JAGDISHPUR,9730104402,RAJKIY HIGH SCHOOL RANIGANJ,W8,MICRO SCHOOL,HIGH,23,25,2025-26
AMETHI - CSM NAGAR,JAMO,9732100205,RAJKIYE HIGH SCHOOL SARMEN,W2,ENROLLMENT DECLINE,HIGH,-11.4,-10,2025-26
AMETHI - CSM NAGAR,JAMO,9732100205,RAJKIYE HIGH SCHOOL SARMEN,W4,GIRLS ENROLLMENT DROP,HIGH,-17.4,-10,2025-26
AMETHI - CSM NAGAR,JAMO,9732100115,UMA RAMAN INTER COLLEGE,W7,GENDER DESERT,HIGH,0.188,0.2,2025-26
AMETHI - CSM NAGAR,MUSAFIRKHANA,9730306605,PANDIT DEENDAYAL U RAJKIYE MODAL INTER COLLEGE,W6,LOW CONTINUITY,HIGH,61.0,70,2025-26
AMETHI - CSM NAGAR,MUSAFIRKHANA,9730303904,RAJKIY HIGH SCHOOL KANJAS,W2,ENROLLMENT DECLINE,HIGH,-11.6,-10,2025-26
AMETHI - CSM NAGAR,MUSAFIRKHANA,9730303904,RAJKIY HIGH SCHOOL KANJAS,W9,4-YEAR ENROLLMENT DECLINE,HIGH,Consistent Decline,Consistent Decline,2025-26
AMETHI - CSM NAGAR,MUSAFIRKHANA,9730303904,RAJKIY HIGH SCHOOL KANJAS,W10,MULTI-RISK ENROLLMENT,CRITICAL,11,8,2025-26
AMETHI - CSM NAGAR,SHAHGARH,9732000201,GGIC SHAHGARH,W9,4-YEAR ENROLLMENT DECLINE,HIGH,Consistent Decline,Consistent Decline,2025-26
AMETHI - CSM NAGAR,SINGHPUR,9731700510,RAJKIY HIGH SCHOOL SATAN KA PURWA,W1,ENROLLMENT CRASH,CRITICAL,-23.8,-20,2025-26
AMETHI - CSM NAGAR,SINGHPUR,9731700510,RAJKIY HIGH SCHOOL SATAN KA PURWA,W3,GIRLS ENROLLMENT CRASH,CRITICAL,-43.2,-20,2025-26
