school_id,school_name,district,block,School_Type,Class_Range_Label,Enroll_2223,Enroll_2324,Enroll_2425,Enroll_2526,Growth_2223_2324,Growth_2324_2425,Growth_2425_2526,Overall_Growth,Trend_Tag
9151206612,GOVT. GIRLS INTER COLLEGE  KHERAGARH AGRA,AGRA,KHERAGARH,Middle_to_Higher,6-12,173.0,155.0,167,161,-10.4,7.74,-3.59,-6.94,Volatile
9151714173,GOVT. GIRLS INTER COLLEGE SHAHGANJ AGRA,AGRA,M.C.AGRA CITY,Middle_to_Higher,6-12,566.0,600.0,567,527,6.01,-5.5,-7.05,-6.89,Peaked
9151711940,GOVT. INTER COLLEGE SHAHGANJ AGRA,AGRA,M.C.AGRA CITY,Middle_to_Higher,6-12,1264.0,1275.0,1505,1333,0.87,18.04,-11.43,5.46,Peaked
9151300704,RAJKIYA HIGH SCHOOL SAVORA,AGRA,PINAHAT,Senior_Secondary,9-12,55.0,65.0,65,55,18.18,0.0,-15.38,0.0,Peaked
9151405312,GOVT. HIGH SCHOOL TEHRA SAIYAN,AGRA,SAIYAN,Senior_Secondary,9-12,56.0,39.0,53,58,-30.36,35.9,9.43,3.57,Recovery
9151507604,"GOVT. HIGH SCHOOL, JAI NAGAR",AGRA,SHAMSHABAD,Senior_Secondary,9-12,124.0,109.0,122,134,-12.1,11.93,9.84,8.06,Recovery
9151508107,RAJKIYA HIGH SCHOOL KOLARA KALAN,AGRA,SHAMSHABAD,Senior_Secondary,9-12,67.0,64.0,72,74,-4.48,12.5,2.78,10.45,Recovery
9120205303,RAJKIY HIGH SCHOOL KATHERA,ALIGARH,AKRABAD,Senior_Secondary,9-12,191.0,165.0,134,140,-13.61,-18.79,4.48,-26.7,Recovery
9120306904,RAJKEYA INTER COLLEGE SAHNOL  ATRAULI,ALIGARH,ATRAULI,Middle_to_Secondary,6-10,425.0,354.0,277,199,-16.71,-21.75,-28.16,-53.18,Consistent Decline
9120305202,RAJKEYA KANYA  INTER COLLEGE  NARONA,ALIGARH,ATRAULI,Middle_to_Higher,6-12,396.0,406.0,373,326,2.53,-8.13,-12.6,-17.68,Peaked
9120305706,RAJKEYA KANYA INTER COLLEGE CHANDAULA,ALIGARH,ATRAULI,Middle_to_Secondary,6-10,403.0,364.0,388,355,-9.68,6.59,-8.51,-11.91,Volatile
9120502307,Pt Deendayal Upadhyay Govt Model Inter College Badesara,ALIGARH,BIJAULI,Middle_to_Higher,6-12,120.0,122.0,145,148,1.67,18.85,2.07,23.33,Consistent Growth
9120504604,RAJKEYA KANYA INTER COLLEGE DUTTA CHOLI,ALIGARH,BIJAULI,Middle_to_Secondary,6-10,116.0,87.0,76,49,-25.0,-12.64,-35.53,-57.76,Consistent Decline
9120708307,KIRAN DEVI RAJKEYA INTER COLLEGE BAMOTI,ALIGARH,CHANDAUS,Middle_to_Secondary,6-10,169.0,138.0,193,177,-18.34,39.86,-8.29,4.73,Volatile
9120703804,Pt Deendayal Upadhyay Govt Model Inter College,ALIGARH,CHANDAUS,Middle_to_Higher,6-12,199.0,250.0,234,259,25.63,-6.4,10.68,30.15,Volatile
9120708603,RAJKEYA HIGH SCHOOL PORAI CHANDAUS,ALIGARH,CHANDAUS,Senior_Secondary,9-12,49.0,41.0,45,51,-16.33,9.76,13.33,4.08,Recovery
9120701402,RAJKEYA KANYA INTER COLLEGE DEORAU MOD,ALIGARH,CHANDAUS,Middle_to_Secondary,6-10,265.0,233.0,208,226,-12.08,-10.73,8.65,-14.72,Recovery
9120101303,RAJKEYA HIGH SCHOOL RAHSUPUR DHANIPUR,ALIGARH,DHANIPUR,Senior_Secondary,9-12,62.0,52.0,81,94,-16.13,55.77,16.05,51.61,Recovery
9120103509,RAJKEYA KANYA INTER COLLEGE KALAI,ALIGARH,DHANIPUR,Middle_to_Higher,6-12,231.0,212.0,197,184,-8.23,-7.08,-6.6,-20.35,Consistent Decline
9120409603,RAJKEY HIGH SCHOOL NAVIPUR,ALIGARH,GANGIRI,Senior_Secondary,9-12,13.0,11.0,16,19,-15.38,45.45,18.75,46.15,Recovery
9120402514,RAJKEYA HIGH SCHOOL GANGIRI ALIGARH,ALIGARH,GANGIRI,Senior_Secondary,9-12,45.0,52.0,62,75,15.56,19.23,20.97,66.67,Consistent Growth
9120401935,RAJKEYA KANYA INTER COLLEGE CHHARA,ALIGARH,GANGIRI,Middle_to_Higher,6-12,56.0,51.0,72,74,-8.93,41.18,2.78,32.14,Recovery
9121108003,GAYATRI DEEVI RAJKEY INTER COLLEGE  GORAI,ALIGARH,GONDA,Full_School,1-12,413.0,441.0,258,246,6.78,-41.5,-4.65,-40.44,Peaked
9121109505,Pt Deendayal Upadhyay Govt Model Inter College Tamotia,ALIGARH,GONDA,Middle_to_Higher,6-12,181.0,180.0,172,143,-0.55,-4.44,-16.86,-20.99,Consistent Decline
9121108012,SMT SAROJ SINGH RASTREYA I.C.GORAI,ALIGARH,GONDA,Middle_to_Higher,6-12,579.0,620.0,498,489,7.08,-19.68,-1.81,-15.54,Peaked
9121207805,GOVT. HIGH SCHOOL JAWAR,ALIGARH,IGLAS,Senior_Secondary,9-12,115.0,109.0,107,145,-5.22,-1.83,35.51,26.09,Recovery
9121206027,RAJKEY KANYA INTER COLLEGE,ALIGARH,IGLAS,Middle_to_Higher,6-12,203.0,204.0,227,246,0.49,11.27,8.37,21.18,Consistent Growth
9121200701,RAJKEYA HIGH SCHOOL RAITPUR IGLAS,ALIGARH,IGLAS,Senior_Secondary,9-12,55.0,34.0,41,50,-38.18,20.59,21.95,-9.09,Recovery
