District,Block,School_ID,School_Name,School_Growth_Tag,Block_Cluster_Type,Is_Outlier,Outlier_Type
ALIGARH,CHANDAUS,9120708603,RAJKEYA HIGH SCHOOL PORAI CHANDAUS,Recovery,Mixed Block,No,Normal
ALIGARH,CHANDAUS,9120701402,RAJKEYA KANYA INTER COLLEGE DEORAU MOD,Recovery,Mixed Block,No,Normal
ALIGARH,DHANIPUR,9120101303,RAJKEYA HIGH SCHOOL RAHSUPUR DHANIPUR,Recovery,Mixed Block,No,Normal
ALIGARH,DHANIPUR,9120103509,RAJKEYA KANYA INTER COLLEGE KALAI,Consistent Decline,Mixed Block,No,Normal
ALIGARH,GANGIRI,9120409603,RAJKEY HIGH SCHOOL NAVIPUR,Recovery,Mixed Block,No,Normal
ALIGARH,GANGIRI,9120402514,RAJKEYA HIGH SCHOOL GANGIRI ALIGARH,Consistent Growth,Mixed Block,No,Normal
ALIGARH,GANGIRI,9120401935,RAJKEYA KANYA INTER COLLEGE CHHARA,Recovery,Mixed Block,No,Normal
ALIGARH,GONDA,9121108003,GAYATRI DEEVI RAJKEY INTER COLLEGE  GORAI,Peaked,Mixed Block,No,Normal
ALIGARH,GONDA,9121109505,Pt Deendayal Upadhyay Govt Model Inter College Tamotia,Consistent Decline,Mixed Block,No,Normal
ALIGARH,GONDA,9121108012,SMT SAROJ SINGH RASTREYA I.C.GORAI,Peaked,Mixed Block,No,Normal
ALIGARH,IGLAS,9121207805,GOVT. HIGH SCHOOL JAWAR,Recovery,Mixed Block,No,Normal
ALIGARH,IGLAS,9121206027,RAJKEY KANYA INTER COLLEGE,Consistent Growth,Mixed Block,No,Normal
ALIGARH,IGLAS,9121200701,RAJKEYA HIGH SCHOOL RAITPUR IGLAS,Recovery,Mixed Block,No,Normal
ALIGARH,JAWAN,9120610205,ABHINAY VIDHYALAY CHHLESAR,Recovery,Mixed Block,No,Normal
ALIGARH,JAWAN,9120611803,GHS PIPLAUTH,Recovery,Mixed Block,No,Normal
ALIGARH,JAWAN,9120601315,GOVERNTMENT INTER COLLEGE BARAULI,Volatile,Mixed Block,No,Normal
ALIGARH,JAWAN,9120609204,RAJKEY KANYA INTER OLLEGE GODHA JAWAN,Consistent Decline,Mixed Block,No,Normal
ALIGARH,JAWAN,9120601603,RAJKEYA HIGH SCHOOL KHURD KHERA JAWAN,Peaked,Mixed Block,No,Normal
ALIGARH,KHAIR,9120805708,Pt Deendayal Upadhyay Govt Model Inter College kherasattu,Peaked,Mixed Block,No,Normal
ALIGARH,KHAIR,9120805602,RAJKEYA  INTER COLLEGE  AHROLA KHAIR,Peaked,Mixed Block,No,Normal
ALIGARH,KHAIR,9120802203,VIKRAM VIDHYA MANDIR RAJKEYA INTER COLLEGE BANKNER KHAIR,Consistent Decline,Mixed Block,No,Normal
ALIGARH,LODHA,9121000503,RAJKEYA HIGH SCHOOL SINGHARPUR,Stable,Mixed Block,No,Normal
