school_id,school_name,district,block,School_Type,Class_Range_Label,Boys_2223,Boys_2324,Boys_2425,Boys_2526,Girls_2223,Girls_2324,Girls_2425,Girls_2526,Girls_Growth_Pct,Boys_Growth_Pct,Gender_Gap_Pct,Girls_Ratio_Current,Girls_Imbalance_Flag,Girls_Declining_Flag
9151000133,GOVT. HIGH SCHOOL NAGLA JAUHARI AGRA,AGRA,KHANDOLI,Senior_Secondary,9-12,41.0,50.0,44,34,34.0,35.0,39,43,26.47,-17.07,43.54,0.558,Yes,No
9151004507,PT. DEENDAYAL UPADHYAY GOVT. MODEL I.C SEMRA,AGRA,KHANDOLI,Middle_to_Higher,6-12,96.0,95.0,97,83,83.0,97.0,119,98,18.07,-13.54,31.61,0.541,Yes,No
9151000904,RAJKIYA HIGH SCHOOL KHEDA HAZIPUR,AGRA,KHANDOLI,Senior_Secondary,9-12,44.0,41.0,49,40,49.0,30.0,38,53,8.16,-9.09,17.25,0.57,Yes,No
9151004506,RAJKIYA HIGH SCHOOL SAIMRA,AGRA,KHANDOLI,Senior_Secondary,9-12,50.0,62.0,72,83,79.0,79.0,77,101,27.85,66.0,-38.15,0.549,Yes,No
9151206612,GOVT. GIRLS INTER COLLEGE  KHERAGARH AGRA,AGRA,KHERAGARH,Middle_to_Higher,6-12,0.0,0.0,0,0,173.0,155.0,167,161,-6.94,,,1.0,No,Yes
9151714173,GOVT. GIRLS INTER COLLEGE SHAHGANJ AGRA,AGRA,M.C.AGRA CITY,Middle_to_Higher,6-12,0.0,0.0,0,0,566.0,600.0,567,527,-6.89,,,1.0,No,Yes
9151711940,GOVT. INTER COLLEGE SHAHGANJ AGRA,AGRA,M.C.AGRA CITY,Middle_to_Higher,6-12,1264.0,1275.0,1505,1333,0.0,0.0,0,0,,5.46,,0.0,Yes,No
9151300704,RAJKIYA HIGH SCHOOL SAVORA,AGRA,PINAHAT,Senior_Secondary,9-12,31.0,42.0,39,27,24.0,23.0,26,28,16.67,-12.9,29.57,0.509,Yes,No
9151405312,GOVT. HIGH SCHOOL TEHRA SAIYAN,AGRA,SAIYAN,Senior_Secondary,9-12,29.0,20.0,20,21,27.0,19.0,33,37,37.04,-27.59,64.63,0.638,Yes,No
9151507604,"GOVT. HIGH SCHOOL, JAI NAGAR",AGRA,SHAMSHABAD,Senior_Secondary,9-12,49.0,58.0,64,60,75.0,51.0,58,74,-1.33,22.45,-23.78,0.552,Yes,Yes
9151508107,RAJKIYA HIGH SCHOOL KOLARA KALAN,AGRA,SHAMSHABAD,Senior_Secondary,9-12,22.0,19.0,25,30,45.0,45.0,47,44,-2.22,36.36,-38.58,0.595,Yes,Yes
9120205303,RAJKIY HIGH SCHOOL KATHERA,ALIGARH,AKRABAD,Senior_Secondary,9-12,100.0,91.0,72,65,91.0,74.0,62,75,-17.58,-35.0,17.42,0.536,Yes,Yes
9120306904,RAJKEYA INTER COLLEGE SAHNOL  ATRAULI,ALIGARH,ATRAULI,Middle_to_Secondary,6-10,185.0,149.0,122,83,240.0,205.0,155,116,-51.67,-55.14,3.47,0.583,Yes,Yes
9120305202,RAJKEYA KANYA  INTER COLLEGE  NARONA,ALIGARH,ATRAULI,Middle_to_Higher,6-12,0.0,0.0,0,0,396.0,406.0,373,326,-17.68,,,1.0,No,Yes
9120305706,RAJKEYA KANYA INTER COLLEGE CHANDAULA,ALIGARH,ATRAULI,Middle_to_Secondary,6-10,60.0,0.0,0,2,343.0,364.0,388,353,2.92,-96.67,99.59,0.994,No,No
9120502307,Pt Deendayal Upadhyay Govt Model Inter College Badesara,ALIGARH,BIJAULI,Middle_to_Higher,6-12,76.0,63.0,69,67,44.0,59.0,76,81,84.09,-11.84,95.93,0.547,Yes,No
9120504604,RAJKEYA KANYA INTER COLLEGE DUTTA CHOLI,ALIGARH,BIJAULI,Middle_to_Secondary,6-10,0.0,0.0,0,0,116.0,87.0,76,49,-57.76,,,1.0,No,Yes
9120708307,KIRAN DEVI RAJKEYA INTER COLLEGE BAMOTI,ALIGARH,CHANDAUS,Middle_to_Secondary,6-10,92.0,74.0,93,89,77.0,64.0,100,88,14.29,-3.26,17.55,0.497,Yes,No
