District,Block,School_ID,School_Name,C8,C9,C10,C11,C12,Total,Share_C8,Share_C9,Share_C10,Share_C11,Share_C12,HHI_2223,HHI_2526,HHI_Trend,Dominant_Class,Top2_Classes_pct,Concentration_Tag
SHAMLI (PRABUDH NAGAR),OON,9740907304,RAJKIYA BALIKA HIGH SCHOOL TAPRANA,0,31,23,0,0,54,0.0,0.5741,0.4259,0.0,0.0,0.5005,0.511,Stable,Class 9,100.0,Highly Concentrated
SHAMLI (PRABUDH NAGAR),OON,9740905803,RAJKIYA HIGH SCHOOL JAIN PUR,0,35,16,0,0,51,0.0,0.6863,0.3137,0.0,0.0,0.5266,0.5694,Stable,Class 9,100.0,Highly Concentrated
SHAMLI (PRABUDH NAGAR),OON,9740904106,RAJKIYA INTER COLLEGE KERTOO,0,51,62,49,48,210,0.0,0.2429,0.2952,0.2333,0.2286,0.2961,0.2528,Stable,Class 10,53.8,Balanced
SHAMLI (PRABUDH NAGAR),SHAMLI,9741000113,RAJKIYA INTER COLLEGE LILON,44,68,56,28,35,231,0.1905,0.2944,0.2424,0.1212,0.1515,0.2295,0.2194,Stable,Class 9,53.7,Perfectly Balanced
SHAMLI (PRABUDH NAGAR),SHAMLI,9741000311,RAJKIYE HIGH SCHOOL BALWA,0,97,60,0,0,157,0.0,0.6178,0.3822,0.0,0.0,0.5001,0.5278,Stable,Class 9,100.0,Highly Concentrated
SHAMLI (PRABUDH NAGAR),THANABHAWAN,9741104313,GOVERNMENT GIRLS HIGH SCHOOL BANTIKHEDA,0,54,30,0,0,84,0.0,0.6428,0.3571,0.0,0.0,0.515,0.5408,Stable,Class 9,100.0,Highly Concentrated
SHAMLI (PRABUDH NAGAR),THANABHAWAN,9741101009,RAJKAYA INTER COLLEGE UMARPUR,0,75,104,97,101,377,0.0,0.1989,0.2759,0.2573,0.2679,0.2175,0.2536,Stable,Class 10,54.4,Balanced
SHRAWASTI,GILAULA,9510100116,NEELAM RAJKIYA BALIKA INTER COLLGE GILAULA,0,35,48,53,30,166,0.0,0.2108,0.2892,0.3193,0.1807,0.3008,0.2627,Stable,Class 11,60.8,Balanced
SHRAWASTI,GILAULA,9510103104,RAJKIYA HIGH SCHOOL KATAR,0,37,24,0,0,61,0.0,0.6065,0.3934,0.0,0.0,0.5002,0.5227,Stable,Class 9,100.0,Highly Concentrated
SHRAWASTI,GILAULA,9510106412,RAJKIYA HIGH SCHOOL KHURUHARI,0,37,37,0,0,74,0.0,0.5,0.5,0.0,0.0,0.5,0.5,Stable,Class 9,100.0,Highly Concentrated
SHRAWASTI,GILAULA,9510109605,RAJKIYA UCHATTAR MADHYAMIK VIDYALAY DIKAULI,0,30,19,0,0,49,0.0,0.6122,0.3877,0.0,0.0,0.5003,0.5252,Stable,Class 9,100.0,Highly Concentrated
SHRAWASTI,HARIHARPUR RANI,9510209816,RAJKIYA BALIKA INTER COLLEGE BHINGA,20,70,71,44,53,258,0.0775,0.2713,0.2752,0.1705,0.2054,0.2869,0.2266,Becoming More Balanced,Class 10,54.7,Balanced
SHRAWASTI,HARIHARPUR RANI,9510208003,RAJKIYA HIGH SCHOOL BAIRAGIJOT,0,45,28,0,0,73,0.0,0.6164,0.3836,0.0,0.0,0.5062,0.5271,Stable,Class 9,100.0,Highly Concentrated
SHRAWASTI,HARIHARPUR RANI,9510208303,RAJKIYA HIGH SCHOOL BANSKUDI,0,28,13,0,0,41,0.0,0.6829,0.3171,0.0,0.0,0.503,0.5669,Becoming More Concentrated,Class 9,100.0,Highly Concentrated
SHRAWASTI,HARIHARPUR RANI,9510206205,RAJKIYA HIGH SCHOOL GOTHWA,0,126,54,0,0,180,0.0,0.7,0.3,0.0,0.0,0.5006,0.58,Becoming More Concentrated,Class 9,100.0,Highly Concentrated
SHRAWASTI,HARIHARPUR RANI,9510216503,RAJKIYA HIGH SCHOOL JOGNI,0,55,33,0,0,88,0.0,0.625,0.375,0.0,0.0,0.5,0.5312,Stable,Class 9,100.0,Highly Concentrated
SHRAWASTI,HARIHARPUR RANI,9510209503,RAJKIYA HIGH SCHOOL LAKAHI BENINAGAR,0,55,54,0,0,109,0.0,0.5046,0.4954,0.0,0.0,0.5005,0.5,Stable,Class 9,100.0,Highly Concentrated
SHRAWASTI,HARIHARPUR RANI,9510207403,RAJKIYA HIGH SCHOOL SHIVBALAKPURWA,0,47,43,0,0,90,0.0,0.5222,0.4778,0.0,0.0,0.5185,0.501,Stable,Class 9,100.0,Highly Concentrated
SHRAWASTI,IKAUNA,9510300131,MAHA MAYA RAJKIYA INTER COLLEGE IKAUNA,0,79,19,16,8,122,0.0,0.6475,0.1557,0.1311,0.0656,0.2926,0.4651,Becoming More Concentrated,Class 9,80.3,Highly Concentrated
SHRAWASTI,IKAUNA,9510302403,RAJKIYA HIGH SCHOOL DEENNAM GARH,0,41,31,0,0,72,0.0,0.5694,0.4305,0.0,0.0,0.5731,0.5096,Becoming More Balanced,Class 9,100.0,Highly Concentrated
SHRAWASTI,IKAUNA,9510311401,RAJKIYA HIGH SCHOOL SITADWAR IKAUNA,0,55,76,0,0,131,0.0,0.4198,0.5801,0.0,0.0,0.5067,0.5128,Stable,Class 10,100.0,Highly Concentrated
SHRAWASTI,IKAUNA,9510305104,RAJKIYA HIGH SCHOOL VISHUNAPUR,0,23,29,0,0,52,0.0,0.4423,0.5577,0.0,0.0,0.5068,0.5067,Stable,Class 10,100.0,Highly Concentrated
SHRAWASTI,JAMUNHA,9510407103,RAJKIYA HIGH SCHOOL CHIRAIYA,0,31,40,0,0,71,0.0,0.4366,0.5634,0.0,0.0,0.5247,0.508,Stable,Class 10,100.0,Highly Concentrated
