school_id,school_name,district,block,School_Type,Class_Range_Label,Continuity_8_9_2223,Continuity_9_10_2223,Continuity_10_11_2223,Continuity_11_12_2223,Continuity_8_9_2324,Continuity_9_10_2324,Continuity_10_11_2324,Continuity_11_12_2324,Continuity_8_9_2425,Continuity_9_10_2425,Continuity_10_11_2425,Continuity_11_12_2425,Continuity_8_9_2526,Continuity_9_10_2526,Continuity_10_11_2526,Continuity_11_12_2526,Avg_Continuity_Current,Low_Continuity_Flag,Weak_Continuity_Flag
9150703903,RAJKIYA HIGH SCHOOL OLENDA,AGRA,FATEHPUR  SIKRI,Senior_Secondary,9-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9150804903,RAJKIYA HIGH SCHOOL CHANDSAURA,AGRA,JAGNER,Senior_Secondary,9-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9150802603,RAJKIYA HIGH SCHOOL RICHOHA,AGRA,JAGNER,Senior_Secondary,9-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9150909801,GOVERNMENT  INTER COLLEGE KACHHPURA AGRA,AGRA,JAITPUR  KALAN,Middle_to_Higher,6-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9150909606,GOVT. HIGH SCHOOL CHITRAHAT,AGRA,JAITPUR  KALAN,Senior_Secondary,9-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9151003604,GOVT. GIRLS INTER COLLEGE AWALKHEDA AGRA,AGRA,KHANDOLI,Middle_to_Higher,6-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9151000133,GOVT. HIGH SCHOOL NAGLA JAUHARI AGRA,AGRA,KHANDOLI,Senior_Secondary,9-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9151004507,PT. DEENDAYAL UPADHYAY GOVT. MODEL I.C SEMRA,AGRA,KHANDOLI,Middle_to_Higher,6-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9151000904,RAJKIYA HIGH SCHOOL KHEDA HAZIPUR,AGRA,KHANDOLI,Senior_Secondary,9-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9151004506,RAJKIYA HIGH SCHOOL SAIMRA,AGRA,KHANDOLI,Senior_Secondary,9-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9151206612,GOVT. GIRLS INTER COLLEGE  KHERAGARH AGRA,AGRA,KHERAGARH,Middle_to_Higher,6-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9151714173,GOVT. GIRLS INTER COLLEGE SHAHGANJ AGRA,AGRA,M.C.AGRA CITY,Middle_to_Higher,6-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9151711940,GOVT. INTER COLLEGE SHAHGANJ AGRA,AGRA,M.C.AGRA CITY,Middle_to_Higher,6-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9151300704,RAJKIYA HIGH SCHOOL SAVORA,AGRA,PINAHAT,Senior_Secondary,9-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9151405312,GOVT. HIGH SCHOOL TEHRA SAIYAN,AGRA,SAIYAN,Senior_Secondary,9-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9151507604,"GOVT. HIGH SCHOOL, JAI NAGAR",AGRA,SHAMSHABAD,Senior_Secondary,9-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9151508107,RAJKIYA HIGH SCHOOL KOLARA KALAN,AGRA,SHAMSHABAD,Senior_Secondary,9-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9120205303,RAJKIY HIGH SCHOOL KATHERA,ALIGARH,AKRABAD,Senior_Secondary,9-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9120306904,RAJKEYA INTER COLLEGE SAHNOL  ATRAULI,ALIGARH,ATRAULI,Middle_to_Secondary,6-10,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9120305202,RAJKEYA KANYA  INTER COLLEGE  NARONA,ALIGARH,ATRAULI,Middle_to_Higher,6-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9120305706,RAJKEYA KANYA INTER COLLEGE CHANDAULA,ALIGARH,ATRAULI,Middle_to_Secondary,6-10,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9120502307,Pt Deendayal Upadhyay Govt Model Inter College Badesara,ALIGARH,BIJAULI,Middle_to_Higher,6-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9120504604,RAJKEYA KANYA INTER COLLEGE DUTTA CHOLI,ALIGARH,BIJAULI,Middle_to_Secondary,6-10,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9120708307,KIRAN DEVI RAJKEYA INTER COLLEGE BAMOTI,ALIGARH,CHANDAUS,Middle_to_Secondary,6-10,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9120703804,Pt Deendayal Upadhyay Govt Model Inter College,ALIGARH,CHANDAUS,Middle_to_Higher,6-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9120708603,RAJKEYA HIGH SCHOOL PORAI CHANDAUS,ALIGARH,CHANDAUS,Senior_Secondary,9-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9120701402,RAJKEYA KANYA INTER COLLEGE DEORAU MOD,ALIGARH,CHANDAUS,Middle_to_Secondary,6-10,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9120101303,RAJKEYA HIGH SCHOOL RAHSUPUR DHANIPUR,ALIGARH,DHANIPUR,Senior_Secondary,9-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9120103509,RAJKEYA KANYA INTER COLLEGE KALAI,ALIGARH,DHANIPUR,Middle_to_Higher,6-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9120409603,RAJKEY HIGH SCHOOL NAVIPUR,ALIGARH,GANGIRI,Senior_Secondary,9-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9120402514,RAJKEYA HIGH SCHOOL GANGIRI ALIGARH,ALIGARH,GANGIRI,Senior_Secondary,9-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9120401935,RAJKEYA KANYA INTER COLLEGE CHHARA,ALIGARH,GANGIRI,Middle_to_Higher,6-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9121108003,GAYATRI DEEVI RAJKEY INTER COLLEGE  GORAI,ALIGARH,GONDA,Full_School,1-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9121109505,Pt Deendayal Upadhyay Govt Model Inter College Tamotia,ALIGARH,GONDA,Middle_to_Higher,6-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9121108012,SMT SAROJ SINGH RASTREYA I.C.GORAI,ALIGARH,GONDA,Middle_to_Higher,6-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9121207805,GOVT. HIGH SCHOOL JAWAR,ALIGARH,IGLAS,Senior_Secondary,9-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9121206027,RAJKEY KANYA INTER COLLEGE,ALIGARH,IGLAS,Middle_to_Higher,6-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9121200701,RAJKEYA HIGH SCHOOL RAITPUR IGLAS,ALIGARH,IGLAS,Senior_Secondary,9-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9120610205,ABHINAY VIDHYALAY CHHLESAR,ALIGARH,JAWAN,Secondary_Only,9-10,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9120611803,GHS PIPLAUTH,ALIGARH,JAWAN,Senior_Secondary,9-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9120601315,GOVERNTMENT INTER COLLEGE BARAULI,ALIGARH,JAWAN,Middle_to_Higher,6-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9120609204,RAJKEY KANYA INTER OLLEGE GODHA JAWAN,ALIGARH,JAWAN,Middle_to_Secondary,6-10,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9120601603,RAJKEYA HIGH SCHOOL KHURD KHERA JAWAN,ALIGARH,JAWAN,Senior_Secondary,9-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9120805708,Pt Deendayal Upadhyay Govt Model Inter College kherasattu,ALIGARH,KHAIR,Middle_to_Higher,6-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9120805602,RAJKEYA  INTER COLLEGE  AHROLA KHAIR,ALIGARH,KHAIR,Middle_to_Higher,6-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9120802203,VIKRAM VIDHYA MANDIR RAJKEYA INTER COLLEGE BANKNER KHAIR,ALIGARH,KHAIR,Middle_to_Secondary,6-10,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9121000503,RAJKEYA HIGH SCHOOL SINGHARPUR,ALIGARH,LODHA,Senior_Secondary,9-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9121307839,NAURANGI LAL RAJKIYA INTER COLLEGE,ALIGARH,NAGAR ALIGARH,Middle_to_Higher,6-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9121307973,RAJKEYA KANYA INTER COLLEGE,ALIGARH,NAGAR ALIGARH,Full_School,1-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9121403616,RAJKEYA KANYA INTER COLLEGE ATRAULI,ALIGARH,NAGAR ATRAULI,Middle_to_Higher,6-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9120906504,RAJKEYA HIGH SCHOOL SIMROTHI TAPPAL,ALIGARH,TAPPAL,Senior_Secondary,9-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9120911213,SMT REVATI GOYAL RAJKEYA KANYA I.C. JATTA,ALIGARH,TAPPAL,Middle_to_Higher,6-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9480110905,G G I C AKBARPUR,AMBEDKAR NAGAR,AKBARPUR,Full_School,1-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9480103707,GOVT GIRLS INTER COLLEGE BEWANA,AMBEDKAR NAGAR,AKBARPUR,Middle_to_Secondary,6-10,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9480114803,GOVT HIGHER SEC SCH KAHARA SULEMPUR,AMBEDKAR NAGAR,AKBARPUR,Senior_Secondary,9-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9480106311,GOVT HIGHER SEC SCH RAMPUR SAKARWARI,AMBEDKAR NAGAR,AKBARPUR,Senior_Secondary,9-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9480107905,GOVT INTER COLLEGE AKBARPUR,AMBEDKAR NAGAR,AKBARPUR,Middle_to_Secondary,6-10,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9480101909,Pt Deendayal Upadhyay Govt Model Inter College Jafarganj,AMBEDKAR NAGAR,AKBARPUR,Middle_to_Higher,6-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9480100906,SAVITRI BAI FULE GOVT. GIRLS INTER COLLEGE,AMBEDKAR NAGAR,AKBARPUR,Middle_to_Secondary,6-10,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9480200403,GOVT HIGHER SEC SCH LAKHANPUR,AMBEDKAR NAGAR,BASKHARI,Senior_Secondary,9-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9480210203,RAJKIYA HIGHER SEC SCH00L TARAULI MUBARAKPUR,AMBEDKAR NAGAR,BASKHARI,Senior_Secondary,9-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9480308014,GOVT GIRLS INTER COLLEGE BHEETI,AMBEDKAR NAGAR,BHEETI,Middle_to_Secondary,6-10,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9480406306,GOVT HIGHER SEC SCH RAMGARH,AMBEDKAR NAGAR,BHIYAON,Senior_Secondary,9-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9480404812,KASTURABA GANDHI G HIGHER SEC SCH RATNA,AMBEDKAR NAGAR,BHIYAON,Senior_Secondary,9-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9480403803,PT. D.D.U GOVT. MODAL INTER COLLEGE INDHANA,AMBEDKAR NAGAR,BHIYAON,Middle_to_Higher,6-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9480700805,GOVT GIRLS INTER COLLEGE TENDUAI KALA,AMBEDKAR NAGAR,JAHANGIRGANJ,Middle_to_Secondary,6-10,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9480709005,GOVT HIGHER SEC SCH AHIRAULI RANIMAU,AMBEDKAR NAGAR,JAHANGIRGANJ,Senior_Secondary,9-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
9480702111,GOVT HIGHER SEC SCH JAHANGIRGANJ,AMBEDKAR NAGAR,JAHANGIRGANJ,Senior_Secondary,9-12,602.05,99.61,50.68,107.49,440.4,106.48,63.47,83.93,529.18,89.33,66.59,101.21,570.34,91.07,59.34,103.46,206.05,No,No
