District,Block,School_ID,School_Name,Girls_C8,Girls_C9,Girls_C10,Girls_C11,Girls_C12,Cont_C8_C9_pct,Cont_C9_C10_pct,Cont_C10_C11_pct,Cont_C11_C12_pct,Girls_Progression_pct,Weakest_Step,C10_C11_Trend,Ladder_Tag
ALIGARH,KHAIR,9120805708,Pt Deendayal Upadhyay Govt Model Inter College kherasattu,15,25,26,24,12,166.7,104.0,92.3,50.0,80.0,C11-C12,More Girls Enrolling in C11,Class 11-12 Enrollment Gap
ALIGARH,KHAIR,9120805602,RAJKEYA  INTER COLLEGE  AHROLA KHAIR,11,4,21,11,20,36.4,524.9,52.4,181.8,181.8,C8-C9,Fewer Girls Enrolling in C11,Multiple Enrollment Gaps
ALIGARH,KHAIR,9120802203,VIKRAM VIDHYA MANDIR RAJKEYA INTER COLLEGE BANKNER KHAIR,0,24,39,24,40,2400000.0,162.5,61.5,166.7,4000000.0,C10-C11,Fewer Girls Enrolling in C11,Class 10-11 Enrollment Gap
ALIGARH,LODHA,9121000503,RAJKEYA HIGH SCHOOL SINGHARPUR,0,72,73,0,0,7200000.0,101.4,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
ALIGARH,NAGAR ALIGARH,9121307839,NAURANGI LAL RAJKIYA INTER COLLEGE,0,0,0,0,0,,,,,,N/A,No Girls Data,No Girls Data
ALIGARH,NAGAR ALIGARH,9121307973,RAJKEYA KANYA INTER COLLEGE,136,255,245,263,243,187.5,96.1,107.3,92.4,178.7,C11-C12,More Girls Enrolling in C11,Strong Enrollment
ALIGARH,NAGAR ATRAULI,9121403616,RAJKEYA KANYA INTER COLLEGE ATRAULI,60,155,133,154,176,258.3,85.8,115.8,114.3,293.3,C9-C10,More Girls Enrolling in C11,Strong Enrollment
ALIGARH,TAPPAL,9120906504,RAJKEYA HIGH SCHOOL SIMROTHI TAPPAL,0,22,20,0,0,2200000.0,90.9,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
ALIGARH,TAPPAL,9120911213,SMT REVATI GOYAL RAJKEYA KANYA I.C. JATTA,21,32,34,18,19,152.4,106.2,52.9,105.5,90.5,C10-C11,Fewer Girls Enrolling in C11,Class 10-11 Enrollment Gap
AMBEDKAR NAGAR,AKBARPUR,9480110905,G G I C AKBARPUR,0,18,22,10,18,1800000.0,122.2,45.5,180.0,1800000.0,C10-C11,Stable,Class 10-11 Enrollment Gap
AMBEDKAR NAGAR,AKBARPUR,9480103707,GOVT GIRLS INTER COLLEGE BEWANA,0,96,94,97,97,9600000.0,97.9,103.2,100.0,9700000.0,C9-C10,More Girls Enrolling in C11,Strong Enrollment
AMBEDKAR NAGAR,AKBARPUR,9480114803,GOVT HIGHER SEC SCH KAHARA SULEMPUR,0,19,19,0,0,1900000.0,100.0,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AMBEDKAR NAGAR,AKBARPUR,9480106311,GOVT HIGHER SEC SCH RAMPUR SAKARWARI,0,13,5,0,0,1300000.0,38.5,0.0,0.0,0.0,C10-C11,Stable,Secondary School Only
AMBEDKAR NAGAR,AKBARPUR,9480107905,GOVT INTER COLLEGE AKBARPUR,0,40,46,38,71,4000000.0,115.0,82.6,186.8,7100000.0,C10-C11,Stable,Strong Enrollment
