District,Block,School_ID,School_Name,Enroll_2223,Enroll_2324,Enroll_2425,Enroll_2526,Had_Decline,Trough_Year,Trough_Value,Recovery_Amount,Recovery_pct,Recovery_Pattern,Recovery_Strength
AGRA,M.C.AGRA CITY,9151714173,GOVT. GIRLS INTER COLLEGE SHAHGANJ AGRA,566,600,567,527,True,2025-26,527,0,0.0,Still Declining,No Recovery
AGRA,M.C.AGRA CITY,9151711940,GOVT. INTER COLLEGE SHAHGANJ AGRA,1264,1275,1505,1333,True,2022-23,1264,69,5.46,Full Recovery,Weak
AGRA,PINAHAT,9151300704,RAJKIYA HIGH SCHOOL SAVORA,55,65,65,55,True,2022-23,55,0,0.0,Full Recovery,No Recovery
AGRA,SAIYAN,9151405312,GOVT. HIGH SCHOOL TEHRA SAIYAN,56,39,53,58,True,2023-24,39,19,48.72,Strong Recovery,Strong
AGRA,SHAMSHABAD,9151507604,"GOVT. HIGH SCHOOL, JAI NAGAR",124,109,122,134,True,2023-24,109,25,22.94,Strong Recovery,Strong
AGRA,SHAMSHABAD,9151508107,RAJKIYA HIGH SCHOOL KOLARA KALAN,67,64,72,74,True,2023-24,64,10,15.62,Strong Recovery,Moderate
ALIGARH,AKRABAD,9120205303,RAJKIY HIGH SCHOOL KATHERA,191,165,134,140,True,2024-25,134,6,4.48,Late Recovery,Weak
ALIGARH,ATRAULI,9120306904,RAJKEYA INTER COLLEGE SAHNOL  ATRAULI,425,354,277,199,True,2025-26,199,0,0.0,Still Declining,No Recovery
ALIGARH,ATRAULI,9120305202,RAJKEYA KANYA  INTER COLLEGE  NARONA,396,406,373,326,True,2025-26,326,0,0.0,Still Declining,No Recovery
ALIGARH,ATRAULI,9120305706,RAJKEYA KANYA INTER COLLEGE CHANDAULA,403,364,388,355,True,2025-26,355,0,0.0,Still Declining,No Recovery
ALIGARH,BIJAULI,9120502307,Pt Deendayal Upadhyay Govt Model Inter College Badesara,120,122,145,148,False,2022-23,120,28,23.33,No Recovery Needed,Strong
ALIGARH,BIJAULI,9120504604,RAJKEYA KANYA INTER COLLEGE DUTTA CHOLI,116,87,76,49,True,2025-26,49,0,0.0,Still Declining,No Recovery
ALIGARH,CHANDAUS,9120708307,KIRAN DEVI RAJKEYA INTER COLLEGE BAMOTI,169,138,193,177,True,2023-24,138,39,28.26,Full Recovery,Strong
ALIGARH,CHANDAUS,9120703804,Pt Deendayal Upadhyay Govt Model Inter College,199,250,234,259,True,2022-23,199,60,30.15,Full Recovery,Strong
ALIGARH,CHANDAUS,9120708603,RAJKEYA HIGH SCHOOL PORAI CHANDAUS,49,41,45,51,True,2023-24,41,10,24.39,Strong Recovery,Strong
ALIGARH,CHANDAUS,9120701402,RAJKEYA KANYA INTER COLLEGE DEORAU MOD,265,233,208,226,True,2024-25,208,18,8.65,Late Recovery,Weak
ALIGARH,DHANIPUR,9120101303,RAJKEYA HIGH SCHOOL RAHSUPUR DHANIPUR,62,52,81,94,True,2023-24,52,42,80.77,Strong Recovery,Strong
ALIGARH,DHANIPUR,9120103509,RAJKEYA KANYA INTER COLLEGE KALAI,231,212,197,184,True,2025-26,184,0,0.0,Still Declining,No Recovery
ALIGARH,GANGIRI,9120409603,RAJKEY HIGH SCHOOL NAVIPUR,13,11,16,19,True,2023-24,11,8,72.73,Strong Recovery,Strong
ALIGARH,GANGIRI,9120402514,RAJKEYA HIGH SCHOOL GANGIRI ALIGARH,45,52,62,75,False,2022-23,45,30,66.67,No Recovery Needed,Strong
ALIGARH,GANGIRI,9120401935,RAJKEYA KANYA INTER COLLEGE CHHARA,56,51,72,74,True,2023-24,51,23,45.1,Strong Recovery,Strong
ALIGARH,GONDA,9121108003,GAYATRI DEEVI RAJKEY INTER COLLEGE  GORAI,413,441,258,246,True,2025-26,246,0,0.0,Still Declining,No Recovery
ALIGARH,GONDA,9121109505,Pt Deendayal Upadhyay Govt Model Inter College Tamotia,181,180,172,143,True,2025-26,143,0,0.0,Still Declining,No Recovery
ALIGARH,GONDA,9121108012,SMT SAROJ SINGH RASTREYA I.C.GORAI,579,620,498,489,True,2025-26,489,0,0.0,Still Declining,No Recovery
ALIGARH,IGLAS,9121207805,GOVT. HIGH SCHOOL JAWAR,115,109,107,145,True,2024-25,107,38,35.51,Late Recovery,Strong
ALIGARH,IGLAS,9121206027,RAJKEY KANYA INTER COLLEGE,203,204,227,246,False,2022-23,203,43,21.18,No Recovery Needed,Strong
ALIGARH,IGLAS,9121200701,RAJKEYA HIGH SCHOOL RAITPUR IGLAS,55,34,41,50,True,2023-24,34,16,47.06,Strong Recovery,Strong
ALIGARH,JAWAN,9120610205,ABHINAY VIDHYALAY CHHLESAR,35,27,19,20,True,2024-25,19,1,5.26,Late Recovery,Weak
ALIGARH,JAWAN,9120611803,GHS PIPLAUTH,94,86,95,103,True,2023-24,86,17,19.77,Strong Recovery,Moderate
ALIGARH,JAWAN,9120601315,GOVERNTMENT INTER COLLEGE BARAULI,55,83,68,85,True,2022-23,55,30,54.55,Full Recovery,Strong
ALIGARH,JAWAN,9120609204,RAJKEY KANYA INTER OLLEGE GODHA JAWAN,364,313,291,254,True,2025-26,254,0,0.0,Still Declining,No Recovery
ALIGARH,JAWAN,9120601603,RAJKEYA HIGH SCHOOL KHURD KHERA JAWAN,41,44,52,51,True,2022-23,41,10,24.39,Full Recovery,Strong
ALIGARH,KHAIR,9120805708,Pt Deendayal Upadhyay Govt Model Inter College kherasattu,167,206,237,232,True,2022-23,167,65,38.92,Full Recovery,Strong
ALIGARH,KHAIR,9120805602,RAJKEYA  INTER COLLEGE  AHROLA KHAIR,169,172,144,134,True,2025-26,134,0,0.0,Still Declining,No Recovery
ALIGARH,KHAIR,9120802203,VIKRAM VIDHYA MANDIR RAJKEYA INTER COLLEGE BANKNER KHAIR,321,282,256,251,True,2025-26,251,0,0.0,Still Declining,No Recovery
ALIGARH,LODHA,9121000503,RAJKEYA HIGH SCHOOL SINGHARPUR,250,249,249,259,True,2023-24,249,10,4.02,Full Recovery,Weak
ALIGARH,NAGAR ALIGARH,9121307839,NAURANGI LAL RAJKIYA INTER COLLEGE,1205,1243,1245,1163,True,2025-26,1163,0,0.0,Still Declining,No Recovery
ALIGARH,NAGAR ALIGARH,9121307973,RAJKEYA KANYA INTER COLLEGE,1148,1182,1189,1142,True,2025-26,1142,0,0.0,Still Declining,No Recovery
ALIGARH,NAGAR ATRAULI,9121403616,RAJKEYA KANYA INTER COLLEGE ATRAULI,918,848,715,678,True,2025-26,678,0,0.0,Still Declining,No Recovery
ALIGARH,TAPPAL,9120906504,RAJKEYA HIGH SCHOOL SIMROTHI TAPPAL,57,50,54,84,True,2023-24,50,34,68.0,Strong Recovery,Strong
ALIGARH,TAPPAL,9120911213,SMT REVATI GOYAL RAJKEYA KANYA I.C. JATTA,118,109,99,124,True,2024-25,99,25,25.25,Late Recovery,Strong
AMBEDKAR NAGAR,AKBARPUR,9480110905,G G I C AKBARPUR,123,72,76,68,True,2025-26,68,0,0.0,Still Declining,No Recovery
AMBEDKAR NAGAR,AKBARPUR,9480103707,GOVT GIRLS INTER COLLEGE BEWANA,282,291,351,384,False,2022-23,282,102,36.17,No Recovery Needed,Strong
AMBEDKAR NAGAR,AKBARPUR,9480114803,GOVT HIGHER SEC SCH KAHARA SULEMPUR,38,34,45,70,True,2023-24,34,36,105.88,Strong Recovery,Strong
AMBEDKAR NAGAR,AKBARPUR,9480106311,GOVT HIGHER SEC SCH RAMPUR SAKARWARI,34,25,20,35,True,2024-25,20,15,75.0,Late Recovery,Strong
AMBEDKAR NAGAR,AKBARPUR,9480107905,GOVT INTER COLLEGE AKBARPUR,492,496,512,396,True,2025-26,396,0,0.0,Still Declining,No Recovery
AMBEDKAR NAGAR,AKBARPUR,9480101909,Pt Deendayal Upadhyay Govt Model Inter College Jafarganj,64,68,123,199,False,2022-23,64,135,210.94,No Recovery Needed,Strong
AMBEDKAR NAGAR,AKBARPUR,9480100906,SAVITRI BAI FULE GOVT. GIRLS INTER COLLEGE,408,389,409,400,True,2023-24,389,11,2.83,Still Declining,Weak
AMBEDKAR NAGAR,BASKHARI,9480200403,GOVT HIGHER SEC SCH LAKHANPUR,96,73,53,64,True,2024-25,53,11,20.75,Late Recovery,Strong
AMBEDKAR NAGAR,BASKHARI,9480210203,RAJKIYA HIGHER SEC SCH00L TARAULI MUBARAKPUR,43,28,22,50,True,2024-25,22,28,127.27,Late Recovery,Strong
AMBEDKAR NAGAR,BHEETI,9480308014,GOVT GIRLS INTER COLLEGE BHEETI,83,100,148,162,False,2022-23,83,79,95.18,No Recovery Needed,Strong
AMBEDKAR NAGAR,BHIYAON,9480406306,GOVT HIGHER SEC SCH RAMGARH,69,56,58,94,True,2023-24,56,38,67.86,Strong Recovery,Strong
AMBEDKAR NAGAR,BHIYAON,9480404812,KASTURABA GANDHI G HIGHER SEC SCH RATNA,76,62,71,129,True,2023-24,62,67,108.06,Strong Recovery,Strong
AMBEDKAR NAGAR,BHIYAON,9480403803,PT. D.D.U GOVT. MODAL INTER COLLEGE INDHANA,193,403,472,513,False,2022-23,193,320,165.8,No Recovery Needed,Strong
AMBEDKAR NAGAR,JAHANGIRGANJ,9480700805,GOVT GIRLS INTER COLLEGE TENDUAI KALA,162,227,314,315,False,2022-23,162,153,94.44,No Recovery Needed,Strong
AMBEDKAR NAGAR,JAHANGIRGANJ,9480709005,GOVT HIGHER SEC SCH AHIRAULI RANIMAU,149,107,103,138,True,2024-25,103,35,33.98,Late Recovery,Strong
