District,Block,School_ID,School_Name,SegA_2223,SegB_2223,SegA_2526,SegB_2526,SegA_Growth_pct,SegB_Growth_pct,Ratio_2223,Ratio_2324,Ratio_2425,Ratio_2526,Ratio_Trend,Segment_Tag
AURAIYA,AURAIYA,9320107404,GOVT. U.M.V. NASIRABAD,62,0,57,0,-8.06,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AURAIYA,BHAGYANAGAR,9320600102,GOVT. GIRLS INTER COLLEGE DIBIYAPUR,70,68,62,47,-11.43,-30.88,97.1,100.0,69.8,75.8,Declining,Both Declining
AURAIYA,BHAGYANAGAR,9320608206,GOVT. U.M.V. JUA,53,0,34,0,-35.85,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AURAIYA,BHAGYANAGAR,9320602003,GOVT. U.M.V. TURKIPUR,20,0,25,0,25.0,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AURAIYA,BIDHUNA,9320500105,GOVT.  GIRLS INTER COLLEGE  BIDHURA,111,54,178,115,60.36,112.96,48.6,47.4,60.9,64.6,Improving,Both Growing
AURAIYA,BIDHUNA,9320500271,GOVT. U.M.V. BHATAULI,38,0,71,0,86.84,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AURAIYA,SAHAR,9320811706,GOVT GIRLS INTER COLLEGE SAHAR AURAIYA,13,16,7,7,-46.15,-56.25,123.1,324.9,183.3,100.0,Declining,Both Declining
AURAIYA,SAHAR,9320805603,GOVT. U.M.V. BIJHAI SAHAR,82,0,141,0,71.95,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AURAIYA,SAHAR,9320801103,GOVT. U.M.V. LAKHUNO,27,0,57,0,111.11,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AZAMGARH,ATRAULIYA,9611201913,GOVT GIRLS INTER COLLEGE,202,209,142,125,-29.7,-40.19,103.5,93.0,86.4,88.0,Declining,Both Declining
AZAMGARH,AZAMGRAH,9612301305,GOVT B.I.COLLEGE RAIDOPUR,490,521,382,392,-22.04,-24.76,106.3,107.3,142.8,102.6,Declining,Both Declining
AZAMGARH,AZMATGARH,9611604608,GOVT. GIRLS HR. SECODARY SCHOOL,388,225,371,288,-4.38,28.0,58.0,93.5,91.6,77.6,Improving,Sr Secondary Only
AZAMGARH,BILARIYAGANJ,9611515002,GOVT.GIRLS INTER COLLEGE BAGWAR,117,73,100,78,-14.53,6.85,62.4,89.6,115.5,78.0,Improving,Sr Secondary Only
AZAMGARH,FOOLPOOR,9610806403,RAJKIYA UMV FATTEPUR FOOLPUR,70,0,64,0,-8.57,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AZAMGARH,HARRAIYA,9611410802,G.B.U.M.V. PIHAR,78,0,40,0,-48.72,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AZAMGARH,HARRAIYA,9611400505,MAHANT RAMASHRYA DAS GOVT. I.C.,159,170,102,100,-35.85,-41.18,106.9,100.0,85.1,98.0,Declining,Both Declining
AZAMGARH,HARRAIYA,9611400703,R.U.M.V. ETAILY,181,0,28,0,-84.53,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AZAMGARH,JAHANAGANJ,9612000408,GOVT HSS MITTUPUR,124,0,166,0,33.87,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AZAMGARH,JAHANAGANJ,9612014707,RAJKIYA U.M.V. KANAILA,148,0,109,0,-26.35,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AZAMGARH,LALGANJ,9610401511,G.G.I.C. DEVGAON,136,0,160,0,17.65,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AZAMGARH,LALGANJ,9610400611,G.G.I.C. KATGHAR LALGANJ,110,88,137,75,24.55,-14.77,80.0,160.6,110.9,54.7,Declining,Secondary Only
AZAMGARH,LALGANJ,9610405403,RAJKIYA UMV RASULPUR,117,0,126,0,7.69,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AZAMGARH,MAHARAJ GANJ,9610104507,"GOVT ABHINAV SCHOOL, TERAHI",22,15,42,8,90.91,-46.67,68.2,78.3,30.4,19.0,Declining,Senior Collapse
AZAMGARH,MIRZAPUR,9611703403,G.G.H.S.S.SARAIMIR,277,160,276,172,-0.36,7.5,57.8,70.0,66.3,62.3,Improving,Sr Secondary Only
AZAMGARH,MOHAMMADPUR,9611800313,G G I C NANDAV,25,0,60,17,140.0,,0.0,0.0,0.0,28.3,Improving,Senior Collapse
AZAMGARH,MOHAMMADPUR,9611803703,G.U.M.V. KHARATI,22,0,74,0,236.36,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AZAMGARH,MOHAMMADPUR,9611801105,GOVT H S S SURJANPUR,87,0,88,0,1.15,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AZAMGARH,PALHNA,9612205105,R.UMV DUBHAV,53,0,88,0,66.04,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AZAMGARH,PAWAE,9610701108,GOVT. GIRLS H.S. SCHOOL PAWAI,213,206,192,126,-9.86,-38.83,96.7,138.7,113.6,65.6,Declining,Both Declining
AZAMGARH,PAWAE,9610705504,RAJKIYA U.M.V. SARAIPUL,110,0,71,0,-35.45,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AZAMGARH,TAHBERPUR,9611006403,RAJKIYA U.M.V. RAISINGHPUR,160,0,125,0,-21.88,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
AZAMGARH,TARWA,9610611101,R.B.U.M.V. BARAWANLALGANJ,16,9,19,13,18.75,44.44,56.2,39.1,45.5,68.4,Improving,Both Growing
AZAMGARH,THEKMA,9612106802,GOVT GIRLS I.C.  ASHWANIYA,65,0,34,0,-47.69,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAGHPAT,BAGPAT,9080104909,G.G.I.C BAGHPAT,385,221,426,267,10.65,20.81,57.4,53.0,53.0,62.7,Improving,Both Growing
BAGHPAT,BAGPAT,9080104207,G.H.S AHERA,100,0,77,0,-23.0,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAGHPAT,BAGPAT,9080103506,G.H.S FATEHPUR POOTHI,66,0,62,0,-6.06,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAGHPAT,BAGPAT,9080103703,GIC JAHANGARH DAUJHA,157,74,142,98,-9.55,32.43,47.1,55.7,57.0,69.0,Improving,Sr Secondary Only
BAGHPAT,BAROUT,9080203312,G. G.I.C. BAVLI,142,66,129,92,-9.15,39.39,46.5,61.1,68.4,71.3,Improving,Sr Secondary Only
BAGHPAT,BAROUT,9080202903,G.H.S CHOBLI,48,0,50,0,4.17,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAGHPAT,BAROUT URBAN,9080400107,G.G.I.C BAROUT,117,75,99,77,-15.38,2.67,64.1,50.8,86.5,77.8,Improving,Sr Secondary Only
BAGHPAT,BINOLY,9080304608,G.G.I.C. DAHA,115,96,101,87,-12.17,-9.38,83.5,79.8,105.1,86.1,Improving,Both Declining
BAGHPAT,BINOLY,9080305606,G.H.S GANGNOLI,35,0,86,0,145.71,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAGHPAT,BINOLY,9080302506,G.H.S MAVIKALAN,61,0,77,0,26.23,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAGHPAT,CHHAPROLI,9080501906,G.G.I.C TUGANA,53,32,64,29,20.75,-9.38,60.4,64.9,73.5,45.3,Declining,Secondary Only
BAGHPAT,CHHAPROLI,9080502304,G.H.S BADARKHA,32,0,57,0,78.12,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAGHPAT,CHHAPROLI,9080502006,G.H.S BODHA,39,0,49,0,25.64,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAGHPAT,CHHAPROLI,9080501109,G.H.S SOOP,44,0,60,0,36.36,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAGHPAT,KHEKRA,9080602704,G.H.S GONA,109,0,87,0,-20.18,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAGHPAT,KHEKRA,9080601605,G.H.S MUBARIKPUR,54,0,61,0,12.96,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAGHPAT,KHEKRA,9080602802,G.H.S SUBHANPR,40,0,48,0,20.0,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAGHPAT,PILANA,9080705205,G.H.S BASAUD,120,0,101,0,-15.83,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAGHPAT,PILANA,9080700903,G.H.S TIPANI,59,0,74,0,25.42,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,BALHA,9501001805,R H S SCHOOL RAJAPUR KALAN,130,0,200,0,53.85,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,BALHA,9501003802,R H SCHOOL PATRAHIYA,103,0,74,0,-28.16,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,BALHA,9501002506,R.H. SCHOOL PAKDIYA DIWAN,76,0,87,0,14.47,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,CHITTAURA,9500801802,R H SCHOOL KISHUNPURMAFI CHITTAURA,104,0,61,0,-41.35,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,CHITTAURA,9500814601,R H SCHOOL SAMSA TARHAR CHITTAURA,93,0,107,0,15.05,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,FAKHAR PUR,9500308406,GOVT. HIGH SCHOOL BAUNDI,212,0,164,0,-22.64,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,HUJUR PUR,9500612301,GIC BHAGADWA BAZAR HUJURPUR,176,41,368,172,109.09,319.51,23.3,55.8,63.4,46.7,Improving,Both Growing
BAHRAICH,HUJUR PUR,9500600107,GOVERNMENT G.H.S. SCHOOL,54,20,27,34,-50.0,70.0,37.0,82.2,262.5,125.9,Improving,Sr Secondary Only
BAHRAICH,HUJUR PUR,9500608704,R H S JIGANIYA CHHATER PAL,53,0,40,0,-24.53,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,HUJUR PUR,9500607203,R H SCHOOL CHAKUJOT,122,0,184,0,50.82,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,HUJUR PUR,9500608004,R. H. AILIHA,74,0,62,0,-16.22,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,JARWAL,9500108805,GOVT H S MUSTAFA BAD JARWAL,92,0,127,0,38.04,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,JARWAL,9500102903,GOVT H S SONBARSA JARAWAL,85,0,88,0,3.53,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,JARWAL,9500102506,R H S  KURSANDA,58,0,55,0,-5.17,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,JARWAL,9500108207,R H S AHATA,159,0,165,0,3.77,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,JARWAL,9500100805,R HS NARAUDA,89,0,88,0,-1.12,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,KAISER GANJ,9500205111,GOV. HIGH SCHOOL LUDIYA NO-4,181,0,150,0,-17.13,,0.0,0.0,0.0,0.0,Stable,Senior Collapse
BAHRAICH,KAISER GANJ,9500204403,GOV. INTER COLLEGE,198,84,293,249,47.98,196.43,42.4,101.7,69.0,85.0,Improving,Both Growing
